indicator,median_p,mean_p,std_p,min_p,sig5,sig1,n,family
VIX,0.1188,0.2328,0.2684,0.0,0.3945,0.2911,474,Volatility & Tail-Risk
Downside_Beta,0.1283,0.2602,0.2873,0.0,0.365,0.2405,474,Systemic-Risk & Contagion
CFNAI,0.1322,0.2702,0.3025,0.0,0.3987,0.2827,474,Macro & Real-Activity
NFCI,0.1326,0.2441,0.2776,0.0,0.3882,0.3017,474,Systemic-Risk & Contagion
BuffettDeviation,0.1574,0.2809,0.2962,0.0,0.3502,0.1899,474,Valuation & Trend
PatroCorr,0.2113,0.3207,0.3111,0.0,0.289,0.1962,474,Systemic-Risk & Contagion
Shiller_CAPE,0.2114,0.3207,0.322,0.0,0.3101,0.2363,474,Valuation & Trend
EPU,0.2252,0.3183,0.302,0.0,0.27,0.1477,474,Macro & Real-Activity
RSV_Ratio,0.2405,0.3307,0.325,0.0,0.3186,0.2321,474,Volatility & Tail-Risk
Neely,0.2452,0.3661,0.3629,0.0,0.3523,0.27,474,Valuation & Trend
HY_Spread,0.2476,0.329,0.3208,0.0,0.3038,0.2405,474,Credit & Term-Structure
M2_Growth,0.2519,0.3173,0.2836,0.0,0.2194,0.1097,474,Macro & Real-Activity
HillTail,0.256,0.3425,0.3067,0.0,0.2046,0.1118,474,Volatility & Tail-Risk
Systemic_Corr,0.283,0.3378,0.3092,0.0,0.2743,0.211,474,Systemic-Risk & Contagion
CISS,0.293,0.3394,0.3098,0.0,0.289,0.2194,474,Systemic-Risk & Contagion
YC_10Y3M,0.2945,0.3646,0.3191,0.0,0.2424,0.1769,458,Credit & Term-Structure
SahmIndicator,0.3057,0.3779,0.3142,0.0,0.1793,0.0781,474,Macro & Real-Activity
RSkew,0.3075,0.3689,0.3182,0.0,0.2426,0.1667,474,Volatility & Tail-Risk
Yield_Curve,0.3587,0.3956,0.3165,0.0,0.1856,0.1332,458,Credit & Term-Structure
