market,freq,horizon,drawdown,indicator,logit,probit
ASX200,D,10,0.05,VIX,1.0071405554002696e-37,8.671161366360037e-35
ASX200,M,6,0.05,VIX,0.8989819581001951,0.8957745824150749
ASX200,M,6,0.1,VIX,0.7039702891359223,0.6955505091552758
ASX200,W,8,0.05,VIX,7.602423205967138e-05,0.00014243596135300588
ASX200,W,8,0.1,VIX,4.4046229171929923e-07,3.134901448459061e-06
CAC40,D,10,0.05,VIX,9.57941195937093e-35,2.647007512911386e-34
CAC40,M,6,0.05,VIX,0.44497450299320407,0.43925194108036836
CAC40,M,6,0.1,VIX,0.662903603770749,0.6509583225586981
CAC40,W,8,0.05,VIX,0.14821429642150163,0.14613154904252262
CAC40,W,8,0.1,VIX,0.041372033409471196,0.03977262421928018
China,D,10,0.05,VIX,0.00011359625929369833,0.00015407523002542277
China,M,6,0.05,VIX,0.10254771911636713,0.1061389084009636
China,M,6,0.1,VIX,0.03678623056810083,0.047805942580421715
China,W,8,0.05,VIX,0.3125050117170157,0.31471368347398143
China,W,8,0.1,VIX,0.013479361667506623,0.014833023076868368
DAX,D,10,0.05,VIX,9.378171462787994e-46,7.806033239649387e-47
DAX,M,6,0.05,VIX,0.553698877174621,0.5417035074310098
DAX,M,6,0.1,VIX,0.3214584101817649,0.30240146101529486
DAX,W,8,0.05,VIX,0.0021797559732213835,0.0020698483827141447
DAX,W,8,0.1,VIX,1.1383386688233841e-05,9.200448920578877e-06
EuroStoxx,D,10,0.05,VIX,1.9963695158073177e-14,5.877629669650491e-14
EuroStoxx,M,6,0.05,VIX,0.7737607492924328,0.764362894995798
EuroStoxx,M,6,0.1,VIX,0.4841499195894162,0.46328149449447653
EuroStoxx,W,8,0.05,VIX,0.9238885872166073,0.9235310262599752
EuroStoxx,W,8,0.1,VIX,0.1262743599638533,0.12700900206657523
FTSE100,D,10,0.05,VIX,7.299479273838082e-36,8.206862448017839e-35
FTSE100,M,6,0.05,VIX,0.33044359757817254,0.31689237129601544
FTSE100,M,6,0.1,VIX,0.3143377698887362,0.30236541061175437
FTSE100,W,8,0.05,VIX,0.15615243341295382,0.15174478187064291
FTSE100,W,8,0.1,VIX,0.024607526349945057,0.02382092298932681
Nikkei,D,10,0.05,VIX,2.2800421881929407e-17,5.076227111174851e-17
Nikkei,M,6,0.05,VIX,0.8905006419430394,0.8872015233950074
Nikkei,M,6,0.1,VIX,0.37229652898645926,0.3540428554572288
Nikkei,W,8,0.05,VIX,0.06443075842447311,0.05935617332557417
Nikkei,W,8,0.1,VIX,0.6178790451101177,0.6100517037567421
SP500,D,10,0.05,VIX,1.279809459429477e-49,3.829749458336143e-50
SP500,M,6,0.05,VIX,0.0061268572819080215,0.005036589079491013
SP500,M,6,0.1,VIX,0.17224574732468334,0.15301160556741758
SP500,W,8,0.05,VIX,8.940804855207608e-05,7.298198308761972e-05
SP500,W,8,0.1,VIX,0.005069931403549429,0.005197772569406261
