indicator,med_full,sig_full,med_rec,sig_rec
VIX,0.11880521330551605,0.39451476793248946,0.14618682729140642,0.3827433628318584
Downside_Beta,0.1283042354465111,0.3649789029535865,0.13890634618411174,0.334070796460177
CFNAI,0.13216881611102893,0.3987341772151899,0.17651342862828973,0.38495575221238937
NFCI,0.13259534527210282,0.3881856540084388,0.22032410434744765,0.3230088495575221
BuffettDeviation,0.15737966936496783,0.350210970464135,0.1495836534040556,0.3672566371681416
PatroCorr,0.21125359629587936,0.2890295358649789,0.16130046402202575,0.3606194690265487
Shiller_CAPE,0.21144952600921174,0.310126582278481,0.22040637872854363,0.3163716814159292
EPU,0.22519273782926855,0.270042194092827,0.2455217600419914,0.2411504424778761
RSV_Ratio,0.2405416364104942,0.31856540084388185,0.17929989925694756,0.30973451327433627
Neely,0.24518137846978844,0.35232067510548526,0.23235030316050947,0.334070796460177
HY_Spread,0.24764692718309989,0.3037974683544304,0.24672768975739512,0.28761061946902655
M2_Growth,0.2518928635500939,0.21940928270042195,0.21344528904981547,0.2676991150442478
HillTail,0.25599251201713724,0.20464135021097046,0.3018348432226808,0.22123893805309736
Systemic_Corr,0.283045161477015,0.2742616033755274,0.27210070567477396,0.2411504424778761
CISS,0.29303232436788496,0.2890295358649789,0.3013377145903431,0.29646017699115046
YC_10Y3M,0.2945281069796112,0.2423580786026201,0.1759174108041533,0.32079646017699115
SahmIndicator,0.30574731100719715,0.17932489451476794,0.33477409308587613,0.19247787610619468
RSkew,0.3074904771964727,0.24261603375527427,0.24212622725838256,0.2588495575221239
Yield_Curve,0.3586802475670645,0.185589519650655,0.2095931930865363,0.3053097345132743
