market,drawdown,rank,indicator,median_p
ASX200,0.03,1,NFCI,0.0518
ASX200,0.03,2,Downside_Beta,0.0663
ASX200,0.03,3,HY_Spread,0.0867
ASX200,0.05,1,Downside_Beta,0.0854
ASX200,0.05,2,Shiller_CAPE,0.0861
ASX200,0.05,3,RSV_Ratio,0.1084
ASX200,0.08,1,BuffettDeviation,0.0515
ASX200,0.08,2,VIX,0.108
ASX200,0.08,3,RSkew,0.1115
ASX200,0.1,1,BuffettDeviation,0.0681
ASX200,0.1,2,M2_Growth,0.0949
ASX200,0.1,3,VIX,0.1014
ASX200,0.12,1,VIX,0.0842
ASX200,0.12,2,RSkew,0.0865
ASX200,0.12,3,M2_Growth,0.1091
ASX200,0.15,1,RSkew,0.093
ASX200,0.15,2,BuffettDeviation,0.1606
ASX200,0.15,3,M2_Growth,0.2159
CAC40,0.03,1,Neely,0.0259
CAC40,0.03,2,BuffettDeviation,0.0341
CAC40,0.03,3,Downside_Beta,0.0662
CAC40,0.05,1,Downside_Beta,0.0238
CAC40,0.05,2,CFNAI,0.0307
CAC40,0.05,3,Neely,0.0491
CAC40,0.08,1,CFNAI,0.0264
CAC40,0.08,2,VIX,0.0515
CAC40,0.08,3,Neely,0.0568
CAC40,0.1,1,CFNAI,0.0195
CAC40,0.1,2,VIX,0.0789
CAC40,0.1,3,Neely,0.0888
CAC40,0.12,1,CFNAI,0.0182
CAC40,0.12,2,NFCI,0.1295
CAC40,0.12,3,Neely,0.1448
CAC40,0.15,1,CFNAI,0.1151
CAC40,0.15,2,NFCI,0.1403
CAC40,0.15,3,Downside_Beta,0.1478
China,0.03,1,RSkew,0.0004
China,0.03,2,M2_Growth,0.0016
China,0.03,3,NFCI,0.0026
China,0.05,1,RSkew,0.0142
China,0.05,2,M2_Growth,0.0406
China,0.05,3,Downside_Beta,0.0457
China,0.08,1,BuffettDeviation,0.2834
China,0.08,2,M2_Growth,0.2918
China,0.08,3,EPU,0.2974
China,0.1,1,VIX,0.2607
China,0.1,2,EPU,0.2785
China,0.1,3,NFCI,0.308
China,0.12,1,CISS,0.2501
China,0.12,2,SahmIndicator,0.3201
China,0.12,3,NFCI,0.3348
China,0.15,1,CISS,0.2501
China,0.15,2,SahmIndicator,0.3201
China,0.15,3,NFCI,0.3348
DAX,0.03,1,Shiller_CAPE,0.0015
DAX,0.03,2,BuffettDeviation,0.0055
DAX,0.03,3,HY_Spread,0.0062
DAX,0.05,1,CFNAI,0.0012
DAX,0.05,2,VIX,0.0102
DAX,0.05,3,Shiller_CAPE,0.012
DAX,0.08,1,Shiller_CAPE,0.014
DAX,0.08,2,CFNAI,0.0174
DAX,0.08,3,VIX,0.0201
DAX,0.1,1,CFNAI,0.0114
DAX,0.1,2,Downside_Beta,0.0326
DAX,0.1,3,NFCI,0.0452
DAX,0.12,1,CFNAI,0.0034
DAX,0.12,2,VIX,0.0763
DAX,0.12,3,HY_Spread,0.089
DAX,0.15,1,CFNAI,0.0042
DAX,0.15,2,NFCI,0.0512
DAX,0.15,3,HY_Spread,0.089
EuroStoxx,0.03,1,CFNAI,0.0006
EuroStoxx,0.03,2,EPU,0.0111
EuroStoxx,0.03,3,BuffettDeviation,0.0389
EuroStoxx,0.05,1,CFNAI,0.0037
EuroStoxx,0.05,2,EPU,0.0129
EuroStoxx,0.05,3,Downside_Beta,0.0282
EuroStoxx,0.08,1,CFNAI,0.0191
EuroStoxx,0.08,2,EPU,0.0354
EuroStoxx,0.08,3,Downside_Beta,0.0457
EuroStoxx,0.1,1,EPU,0.0621
EuroStoxx,0.1,2,Downside_Beta,0.0738
EuroStoxx,0.1,3,VIX,0.0892
EuroStoxx,0.12,1,Downside_Beta,0.0821
EuroStoxx,0.12,2,M2_Growth,0.1027
EuroStoxx,0.12,3,EPU,0.1543
EuroStoxx,0.15,1,Downside_Beta,0.0893
EuroStoxx,0.15,2,CFNAI,0.0963
EuroStoxx,0.15,3,VIX,0.1487
FTSE100,0.03,1,BuffettDeviation,0.0208
FTSE100,0.03,2,CFNAI,0.0359
FTSE100,0.03,3,VIX,0.0781
FTSE100,0.05,1,VIX,0.031
FTSE100,0.05,2,CFNAI,0.0827
FTSE100,0.05,3,BuffettDeviation,0.0897
FTSE100,0.08,1,BuffettDeviation,0.0301
FTSE100,0.08,2,VIX,0.0766
FTSE100,0.08,3,NFCI,0.1013
FTSE100,0.1,1,HillTail,0.096
FTSE100,0.1,2,NFCI,0.1037
FTSE100,0.1,3,VIX,0.1243
FTSE100,0.12,1,HillTail,0.0691
FTSE100,0.12,2,NFCI,0.1159
FTSE100,0.12,3,BuffettDeviation,0.1385
