DATE,AUSLORSGPNOSTSAM
1960-02-01,102.5594
1960-03-01,102.8785
1960-04-01,103.1563
1960-05-01,103.334
1960-06-01,103.3649
1960-07-01,103.2491
1960-08-01,103.0093
1960-09-01,102.6754
1960-10-01,102.2788
1960-11-01,101.8417
1960-12-01,101.3705
1961-01-01,100.8537
1961-02-01,100.2742
1961-03-01,99.62677
1961-04-01,98.9378
1961-05-01,98.25169
1961-06-01,97.62052
1961-07-01,97.09399
1961-08-01,96.71667
1961-09-01,96.5179
1961-10-01,96.50562
1961-11-01,96.6678
1961-12-01,96.97426
1962-01-01,97.36513
1962-02-01,97.77372
1962-03-01,98.14299
1962-04-01,98.44066
1962-05-01,98.65451
1962-06-01,98.79237
1962-07-01,98.88719
1962-08-01,98.97756
1962-09-01,99.09073
1962-10-01,99.22586
1962-11-01,99.36261
1962-12-01,99.46778
1963-01-01,99.50142
1963-02-01,99.43975
1963-03-01,99.30269
1963-04-01,99.18694
1963-05-01,99.20601
1963-06-01,99.4294
1963-07-01,99.81152
1963-08-01,100.2529
1963-09-01,100.6482
1963-10-01,100.9306
1963-11-01,101.0685
1963-12-01,101.0705
1964-01-01,100.9987
1964-02-01,100.9289
1964-03-01,100.9148
1964-04-01,100.9534
1964-05-01,101.019
1964-06-01,101.0929
1964-07-01,101.1907
1964-08-01,101.3382
1964-09-01,101.5461
1964-10-01,101.7804
1964-11-01,101.9904
1964-12-01,102.1343
1965-01-01,102.2065
1965-02-01,102.2145
1965-03-01,102.1611
1965-04-01,102.0306
1965-05-01,101.8003
1965-06-01,101.4575
1965-07-01,101.0223
1965-08-01,100.5273
1965-09-01,100.0037
1965-10-01,99.47164
1965-11-01,98.94868
1965-12-01,98.4579
1966-01-01,98.03586
1966-02-01,97.7235
1966-03-01,97.55275
1966-04-01,97.52539
1966-05-01,97.62647
1966-06-01,97.82684
1966-07-01,98.07582
1966-08-01,98.32646
1966-09-01,98.55686
1966-10-01,98.79095
1966-11-01,99.06301
1966-12-01,99.38123
1967-01-01,99.68804
1967-02-01,99.90572
1967-03-01,99.9826
1967-04-01,99.94468
1967-05-01,99.84787
1967-06-01,99.73788
1967-07-01,99.61468
1967-08-01,99.45375
1967-09-01,99.22807
1967-10-01,98.93215
1967-11-01,98.58338
1967-12-01,98.22809
1968-01-01,97.95123
1968-02-01,97.83902
1968-03-01,97.93706
1968-04-01,98.2047
1968-05-01,98.56512
1968-06-01,98.95007
1968-07-01,99.33778
1968-08-01,99.72356
1968-09-01,100.0896
1968-10-01,100.3746
1968-11-01,100.5111
1968-12-01,100.4689
1969-01-01,100.3083
1969-02-01,100.124
1969-03-01,99.99928
1969-04-01,99.96148
1969-05-01,100.0086
1969-06-01,100.129
1969-07-01,100.3145
1969-08-01,100.5603
1969-09-01,100.8608
1969-10-01,101.2002
1969-11-01,101.5584
1969-12-01,101.914
1970-01-01,102.2454
1970-02-01,102.5281
1970-03-01,102.7331
1970-04-01,102.8292
1970-05-01,102.7903
1970-06-01,102.6105
1970-07-01,102.3282
1970-08-01,101.9991
1970-09-01,101.6759
1970-10-01,101.393
1970-11-01,101.1709
1970-12-01,101.0178
1971-01-01,100.9273
1971-02-01,100.892
1971-03-01,100.9133
1971-04-01,101.0063
1971-05-01,101.1816
1971-06-01,101.42
1971-07-01,101.643
1971-08-01,101.7537
1971-09-01,101.68
1971-10-01,101.4249
1971-11-01,101.0352
1971-12-01,100.5824
1972-01-01,100.1534
1972-02-01,99.82253
1972-03-01,99.62338
1972-04-01,99.51355
1972-05-01,99.42601
1972-06-01,99.31322
1972-07-01,99.18949
1972-08-01,99.10065
1972-09-01,99.09504
1972-10-01,99.19254
1972-11-01,99.39094
1972-12-01,99.66473
1973-01-01,99.95667
1973-02-01,100.2063
1973-03-01,100.3775
1973-04-01,100.4895
1973-05-01,100.5881
1973-06-01,100.7211
1973-07-01,100.916
1973-08-01,101.1765
1973-09-01,101.4759
1973-10-01,101.7452
1973-11-01,101.9003
1973-12-01,101.8719
1974-01-01,101.6445
1974-02-01,101.2384
1974-03-01,100.7065
1974-04-01,100.1433
1974-05-01,99.64567
1974-06-01,99.27783
1974-07-01,99.03245
1974-08-01,98.87234
1974-09-01,98.76226
1974-10-01,98.69439
1974-11-01,98.68053
1974-12-01,98.74167
1975-01-01,98.89371
1975-02-01,99.13618
1975-03-01,99.43405
1975-04-01,99.69279
1975-05-01,99.80553
1975-06-01,99.70363
1975-07-01,99.41715
1975-08-01,99.03345
1975-09-01,98.66833
1975-10-01,98.445
1975-11-01,98.46194
1975-12-01,98.75151
1976-01-01,99.21951
1976-02-01,99.72518
1976-03-01,100.1479
1976-04-01,100.4521
1976-05-01,100.65
1976-06-01,100.7707
1976-07-01,100.8371
1976-08-01,100.8623
1976-09-01,100.849
1976-10-01,100.793
1976-11-01,100.6907
1976-12-01,100.5494
1977-01-01,100.4012
1977-02-01,100.2802
1977-03-01,100.2003
1977-04-01,100.1314
1977-05-01,100.0271
1977-06-01,99.85094
1977-07-01,99.60527
1977-08-01,99.31429
1977-09-01,99.01182
1977-10-01,98.73248
1977-11-01,98.50712
1977-12-01,98.35649
1978-01-01,98.2813
1978-02-01,98.27485
1978-03-01,98.32994
1978-04-01,98.44089
1978-05-01,98.60413
1978-06-01,98.81479
1978-07-01,99.05939
1978-08-01,99.32417
1978-09-01,99.601
1978-10-01,99.89162
1978-11-01,100.1924
1978-12-01,100.4775
1979-01-01,100.6818
1979-02-01,100.7374
1979-03-01,100.6169
1979-04-01,100.3857
1979-05-01,100.1467
1979-06-01,99.99262
1979-07-01,99.95976
1979-08-01,100.0473
1979-09-01,100.2269
1979-10-01,100.4435
1979-11-01,100.6373
1979-12-01,100.7625
1980-01-01,100.8086
1980-02-01,100.7858
1980-03-01,100.7158
1980-04-01,100.6273
1980-05-01,100.5505
1980-06-01,100.5117
1980-07-01,100.5289
1980-08-01,100.6106
1980-09-01,100.7523
1980-10-01,100.9268
1980-11-01,101.1043
1980-12-01,101.2693
1981-01-01,101.438
1981-02-01,101.6394
1981-03-01,101.8969
