Date,1,2,3,4
1990-07-01,4.2,-3.02,-1.46,0.68
1990-08-01,-8.68,3.17,1.73,0.66
1990-09-01,-8.8,4.03,-0.06,0.6
1990-10-01,-1.95,-5.18,-1.48,0.68
1990-11-01,-2.98,-1.61,-0.77,0.57
1990-12-01,-1.1,-3.05,-1.02,0.6
1991-01-01,5.28,-3.45,1.34,0.52
1991-02-01,9.08,-1.34,-1.6,0.48
1991-03-01,2.28,-1.14,1.8,0.44
1991-04-01,2.09,1.46,-0.12,0.53
1991-05-01,-0.55,-1.49,1.45,0.47
1991-06-01,-0.64,0.52,-0.29,0.42
1991-07-01,5.78,-1.11,4.39,0.49
1991-08-01,-1.59,-0.75,1.41,0.46
1991-09-01,0.81,1.1,1.8,0.46
1991-10-01,3.77,0.43,1.29,0.42
1991-11-01,-0.35,2.45,0.51,0.39
1991-12-01,1.36,-2.4,-0.96,0.38
1992-01-01,1.3,-0.04,0.63,0.34
1992-02-01,2.0,-0.08,2.17,0.28
1992-03-01,-0.27,0.28,-1.17,0.34
1992-04-01,5.39,-4.26,-0.23,0.32
1992-05-01,7.92,-2.84,4.41,0.28
1992-06-01,-1.18,-0.12,0.08,0.32
1992-07-01,-3.37,1.48,-0.56,0.31
1992-08-01,-6.07,-0.22,1.25,0.26
1992-09-01,-2.51,0.75,2.43,0.26
1992-10-01,2.89,-2.99,2.21,0.23
1992-11-01,-1.98,2.29,-0.58,0.23
1992-12-01,0.63,1.48,-4.75,0.28
1993-01-01,1.03,0.31,1.09,0.23
1993-02-01,8.06,-1.47,1.32,0.22
1993-03-01,2.76,3.76,-1.29,0.25
1993-04-01,5.51,3.73,1.3,0.24
1993-05-01,4.89,2.72,0.79,0.22
1993-06-01,-2.79,2.44,2.33,0.25
1993-07-01,2.21,1.11,-1.86,0.24
1993-08-01,6.37,-1.38,0.86,0.25
1993-09-01,0.01,-2.97,0.53,0.26
1993-10-01,15.82,-5.09,1.71,0.22
1993-11-01,-2.38,2.41,1.83,0.25
1993-12-01,20.52,-6.15,7.23,0.23
1994-01-01,0.86,3.76,2.16,0.25
1994-02-01,-6.52,5.91,0.76,0.21
1994-03-01,-9.99,0.65,0.38,0.27
1994-04-01,2.14,-1.59,-0.06,0.27
1994-05-01,4.24,-4.3,0.54,0.32
1994-06-01,-6.39,2.58,-1.73,0.31
1994-07-01,4.75,-4.28,1.68,0.28
1994-08-01,3.63,-2.7,-0.24,0.37
1994-09-01,-2.53,0.88,-0.16,0.37
1994-10-01,0.94,-2.8,0.85,0.38
1994-11-01,-8.43,1.15,0.83,0.37
1994-12-01,-1.44,-1.55,0.94,0.44
1995-01-01,-7.64,-1.79,1.85,0.42
1995-02-01,5.83,-6.36,2.38,0.4
1995-03-01,0.51,-3.03,-0.5,0.46
1995-04-01,1.02,-0.58,0.02,0.45
1995-05-01,4.15,-4.11,-1.38,0.54
1995-06-01,-2.35,2.17,0.49,0.47
1995-07-01,4.83,3.28,-2.28,0.45
1995-08-01,-1.47,5.07,-3.64,0.47
1995-09-01,1.75,-1.17,3.45,0.43
1995-10-01,-0.78,-2.16,0.15,0.47
1995-11-01,0.81,-0.37,0.71,0.42
1995-12-01,2.82,-2.14,0.06,0.49
1996-01-01,8.33,-2.06,3.05,0.43
1996-02-01,0.34,2.21,-1.34,0.39
1996-03-01,-0.98,0.19,-0.22,0.39
1996-04-01,1.58,1.11,-0.31,0.46
1996-05-01,0.72,1.12,-1.13,0.42
1996-06-01,-2.13,-0.13,1.76,0.4
1996-07-01,-5.34,-0.2,2.41,0.45
1996-08-01,3.89,0.53,-2.02,0.41
1996-09-01,2.31,-0.51,0.85,0.44
1996-10-01,2.34,1.97,-0.5,0.42
1996-11-01,6.48,-0.89,4.74,0.41
1996-12-01,-0.45,-0.32,0.57,0.46
1997-01-01,-2.17,2.53,-1.13,0.45
1997-02-01,0.87,4.15,-0.27,0.39
1997-03-01,-4.71,2.1,0.31,0.43
1997-04-01,-0.01,-0.86,2.81,0.43
1997-05-01,6.9,-3.4,1.46,0.49
1997-06-01,2.22,-3.31,-0.23,0.37
1997-07-01,1.69,1.81,1.86,0.43
1997-08-01,-8.43,8.43,8.17,0.41
1997-09-01,3.75,-6.67,-5.05,0.44
1997-10-01,-22.35,-1.46,-4.43,0.42
1997-11-01,-1.53,-5.07,-2.07,0.39
1997-12-01,-1.47,-6.12,-1.38,0.48
1998-01-01,-8.61,-3.46,-8.91,0.43
1998-02-01,11.87,1.06,5.07,0.39
1998-03-01,-1.87,-0.55,1.8,0.39
1998-04-01,-5.69,1.91,0.12,0.43
1998-05-01,-11.07,1.05,-0.66,0.4
1998-06-01,-6.01,-5.32,3.7,0.41
1998-07-01,-3.72,0.21,-7.12,0.4
1998-08-01,-13.36,-1.65,-5.47,0.43
1998-09-01,10.76,-5.31,1.11,0.46
1998-10-01,18.07,-6.08,23.7,0.32
1998-11-01,4.62,2.48,2.1,0.31
1998-12-01,-2.67,-0.33,-2.17,0.38
1999-01-01,-0.4,2.46,-7.07,0.35
1999-02-01,-1.28,-0.61,-0.34,0.35
1999-03-01,8.14,-6.47,3.51,0.43
1999-04-01,16.83,2.04,11.48,0.37
1999-05-01,-5.42,12.41,5.85,0.34
1999-06-01,9.18,4.8,8.24,0.4
1999-07-01,-2.19,-1.93,-4.12,0.38
1999-08-01,-2.28,-0.79,-1.87,0.39
1999-09-01,-2.3,4.22,0.29,0.39
1999-10-01,1.19,-1.27,-3.11,0.39
1999-11-01,7.08,-0.94,-5.02,0.36
1999-12-01,8.98,-0.69,4.12,0.44
2000-01-01,-6.83,6.76,2.74,0.41
2000-02-01,-0.74,5.7,-1.35,0.43
2000-03-01,0.61,-1.86,0.97,0.47
2000-04-01,-6.45,-11.74,-0.32,0.46
2000-05-01,-8.45,-0.32,-3.1,0.5
2000-06-01,10.79,-4.49,1.63,0.4
2000-07-01,-0.65,-0.67,3.66,0.48
2000-08-01,2.21,-2.89,4.97,0.5
2000-09-01,-7.45,-4.46,4.69,0.51
2000-10-01,-6.09,-2.51,1.54,0.56
2000-11-01,-0.98,-0.26,3.19,0.51
2000-12-01,4.09,-5.74,6.03,0.5
2001-01-01,2.8,-2.23,-0.67,0.54
2001-02-01,-3.7,0.22,8.66,0.38
2001-03-01,-13.24,-1.25,8.04,0.42
2001-04-01,6.5,0.33,-5.28,0.39
2001-05-01,-0.15,4.92,5.19,0.32
2001-06-01,1.36,0.0,0.06,0.28
2001-07-01,-3.97,-3.35,1.23,0.3
2001-08-01,-1.08,-0.77,-1.95,0.31
2001-09-01,-14.18,-2.19,0.23,0.28
2001-10-01,5.8,3.55,-1.13,0.22
2001-11-01,8.57,-0.42,0.88,0.17
2001-12-01,2.3,-2.61,2.98,0.15
2002-01-01,1.52,3.47,2.54,0.14
2002-02-01,-1.64,0.88,1.79,0.13
2002-03-01,4.54,0.79,0.23,0.13
2002-04-01,0.64,-2.1,6.08,0.15
2002-05-01,1.99,3.98,0.37,0.14
2002-06-01,-5.51,-0.8,4.01,0.13
2002-07-01,-6.15,-3.51,1.21,0.15
2002-08-01,0.03,1.72,-2.62,0.14
2002-09-01,-7.4,-0.72,-0.84,0.14
2002-10-01,4.55,-3.08,0.65,0.14
2002-11-01,2.57,-2.88,3.42,0.12
2002-12-01,-3.14,4.39,-1.3,0.11
2003-01-01,1.66,1.48,-0.47,0.1
2003-02-01,-1.4,0.67,3.56,0.09
2003-03-01,-0.52,-1.91,-2.76,0.1
2003-04-01,4.54,-1.43,-3.52,0.1
2003-05-01,7.17,2.07,6.16,0.09
2003-06-01,3.77,1.16,0.44,0.1
2003-07-01,3.38,5.0,6.31,0.07
2003-08-01,6.35,1.91,7.04,0.07
2003-09-01,5.34,3.37,1.11,0.08
2003-10-01,6.24,-0.41,0.44,0.07
2003-11-01,0.19,0.67,-1.9,0.07
2003-12-01,5.18,-0.59,-2.31,0.08
2004-01-01,4.44,0.48,8.28,0.07
2004-02-01,3.73,0.83,0.89,0.06
2004-03-01,-1.59,-1.6,-2.69,0.09
2004-04-01,-5.53,-1.89,-0.38,0.08
2004-05-01,0.11,-2.34,-0.16,0.06
2004-06-01,0.45,-0.95,-0.04,0.08
2004-07-01,0.98,0.87,-0.27,0.1
2004-08-01,2.6,-3.15,3.82,0.11
2004-09-01,5.37,0.83,-2.3,0.11
2004-10-01,3.21,1.87,-2.53,0.11
2004-11-01,7.7,-0.07,2.05,0.15
2004-12-01,2.86,-0.76,2.38,0.16
2005-01-01,-0.38,3.08,-0.74,0.16
2005-02-01,3.74,-1.33,-0.46,0.16
2005-03-01,-3.07,-0.61,1.2,0.21
2005-04-01,-0.71,-3.23,3.93,0.21
2005-05-01,-0.21,-3.22,1.05,0.24
2005-06-01,4.0,-2.35,-0.59,0.23
2005-07-01,3.56,-1.6,0.54,0.24
2005-08-01,0.08,1.36,-1.83,0.3
2005-09-01,3.96,0.09,-2.72,0.29
2005-10-01,-6.02,1.53,0.39,0.27
2005-11-01,3.11,-1.49,-0.6,0.31
2005-12-01,1.97,-0.88,-0.32,0.32
2006-01-01,6.18,0.77,-0.33,0.35
2006-02-01,-0.25,2.48,2.81,0.34
2006-03-01,1.98,3.02,1.27,0.37
2006-04-01,6.53,-0.64,-1.62,0.36
2006-05-01,-5.75,0.3,-0.31,0.43
2006-06-01,-0.39,-2.56,0.64,0.4
2006-07-01,1.11,1.71,-0.78,0.4
2006-08-01,2.46,-0.5,-0.2,0.42
2006-09-01,-0.11,-0.23,2.4,0.41
2006-10-01,6.02,2.28,-5.22,0.41
2006-11-01,4.49,1.24,1.6,0.42
2006-12-01,4.0,-1.35,-0.22,0.4
2007-01-01,1.77,3.39,3.26,0.44
2007-02-01,0.9,1.78,-0.06,0.38
2007-03-01,4.65,1.27,-2.02,0.43
2007-04-01,4.7,4.27,-0.06,0.44
2007-05-01,3.15,5.19,4.29,0.41
2007-06-01,2.33,3.51,0.31,0.4
2007-07-01,1.31,2.51,3.51,0.4
2007-08-01,-4.2,-10.58,-0.51,0.42
2007-09-01,12.8,-3.71,-4.95,0.32
2007-10-01,8.2,-2.75,-1.12,0.32
2007-11-01,-6.55,-3.28,2.71,0.34
2007-12-01,-0.74,-0.38,0.81,0.27
2008-01-01,-10.82,-4.53,1.29,0.21
2008-02-01,2.89,2.37,-4.47,0.13
2008-03-01,-5.53,-4.28,2.26,0.17
2008-04-01,7.19,-2.92,-0.87,0.18
2008-05-01,3.2,3.4,-4.55,0.18
2008-06-01,-8.12,-0.12,-1.39,0.17
2008-07-01,-5.26,-3.57,5.65,0.15
2008-08-01,-6.64,-4.06,-1.58,0.13
2008-09-01,-17.71,-1.72,3.34,0.15
2008-10-01,-26.0,-7.38,3.62,0.08
2008-11-01,-6.16,-1.8,4.33,0.03
2008-12-01,7.41,1.93,2.54,0.0
2009-01-01,-7.6,-0.77,3.12,0.0
2009-02-01,-4.79,3.8,-4.25,0.01
2009-03-01,10.81,-1.98,-6.5,0.02
2009-04-01,13.95,0.68,-1.53,0.01
2009-05-01,18.49,10.37,5.35,0.0
2009-06-01,1.82,-0.42,-2.7,0.01
2009-07-01,12.82,-1.32,6.68,0.01
2009-08-01,1.64,4.51,-5.1,0.01
2009-09-01,8.7,0.32,0.52,0.01
2009-10-01,1.25,1.55,2.16,0.0
2009-11-01,2.65,2.16,-2.57,0.0
2009-12-01,2.45,-0.75,1.5,0.01
2010-01-01,-6.25,4.33,-0.02,0.0
2010-02-01,2.63,-2.47,1.57,0.0
2010-03-01,7.65,-0.63,1.21,0.01
2010-04-01,0.76,4.12,-0.87,0.01
2010-05-01,-12.22,-3.25,1.56,0.01
2010-06-01,-0.2,-1.54,1.3,0.01
2010-07-01,9.56,-0.69,-0.91,0.01
2010-08-01,-0.79,-0.1,0.47,0.01
2010-09-01,12.84,1.7,-0.8,0.01
2010-10-01,3.7,1.78,-2.32,0.01
2010-11-01,-1.15,0.95,0.66,0.01
2010-12-01,6.76,3.19,-2.82,0.01
2011-01-01,-0.79,-1.37,3.0,0.01
2011-02-01,-0.07,1.02,-4.36,0.01
2011-03-01,2.08,-0.61,-1.68,0.01
2011-04-01,4.77,-0.57,-0.53,0.0
2011-05-01,-2.53,-2.3,2.01,0.0
2011-06-01,-2.32,-2.29,-0.06,0.0
2011-07-01,1.29,1.84,-1.06,0.0
2011-08-01,-6.67,-2.08,-1.88,0.01
2011-09-01,-15.79,-0.56,1.92,0.0
2011-10-01,13.98,-3.0,-0.89,0.0
2011-11-01,-6.53,1.25,-1.07,0.0
2011-12-01,-1.04,-2.01,1.2,0.0
2012-01-01,9.86,-2.58,0.69,0.0
2012-02-01,5.28,2.89,0.8,0.0
2012-03-01,-2.16,0.47,-0.12,0.0
2012-04-01,1.16,-2.35,1.32,0.0
2012-05-01,-11.42,0.15,3.62,0.01
2012-06-01,4.47,-3.3,1.26,0.0
2012-07-01,4.76,-3.97,1.48,0.0
2012-08-01,1.14,0.77,0.23,0.01
2012-09-01,4.46,0.75,1.61,0.01
2012-10-01,1.77,-0.49,-0.64,0.01
2012-11-01,1.61,-3.16,2.89,0.01
2012-12-01,2.84,1.48,0.85,0.01
2013-01-01,5.54,0.83,2.94,0.0
2013-02-01,1.15,-0.92,1.44,0.0
2013-03-01,-0.31,0.0,-0.88,0.0
2013-04-01,2.46,-5.84,2.16,0.0
2013-05-01,-6.2,1.28,3.11,0.0
2013-06-01,-6.22,-0.36,1.5,0.0
2013-07-01,3.47,2.43,-2.91,0.0
2013-08-01,-0.22,1.25,-1.75,0.0
2013-09-01,6.78,0.78,-1.98,0.0
2013-10-01,3.49,-2.86,0.74,0.0
2013-11-01,-2.21,-0.62,1.75,0.0
2013-12-01,-0.2,0.88,-1.19,0.0
2014-01-01,-4.44,3.89,-1.2,0.0
2014-02-01,5.49,-1.47,-1.06,0.0
2014-03-01,1.66,-0.28,0.7,0.0
2014-04-01,1.42,-4.16,2.57,0.0
2014-05-01,1.75,-0.8,1.59,0.0
2014-06-01,0.13,1.29,0.79,0.0
2014-07-01,3.32,-0.1,2.77,0.0
2014-08-01,-0.14,2.18,-0.08,0.0
2014-09-01,-8.15,1.64,3.9,0.0
2014-10-01,3.56,-4.85,-1.98,0.0
2014-11-01,-2.72,-0.06,2.24,0.0
2014-12-01,-3.1,-2.34,0.8,0.0
2015-01-01,0.38,-3.42,4.42,0.0
2015-02-01,3.25,0.01,-3.19,0.0
2015-03-01,-0.83,0.14,1.08,0.0
2015-04-01,6.22,10.72,0.52,0.0
2015-05-01,-1.55,8.72,0.64,0.0
2015-06-01,-4.47,1.21,-0.26,0.0
2015-07-01,-3.45,-6.19,-2.77,0.0
2015-08-01,-10.81,-1.13,0.8,0.0
2015-09-01,-3.09,3.17,-0.32,0.0
2015-10-01,7.3,-1.32,1.17,0.0
2015-11-01,-2.08,2.12,-2.92,0.0
2015-12-01,1.88,-0.02,-2.65,0.01
2016-01-01,-9.03,-0.84,-0.35,0.01
2016-02-01,0.75,-0.74,3.21,0.02
2016-03-01,10.65,-2.45,1.04,0.02
2016-04-01,1.44,1.67,1.95,0.01
2016-05-01,-1.79,0.15,-2.04,0.01
2016-06-01,0.44,0.55,1.03,0.02
2016-07-01,5.87,-3.71,1.94,0.02
2016-08-01,-0.45,1.21,1.89,0.02
2016-09-01,2.68,1.55,0.6,0.02
2016-10-01,-1.45,1.22,2.81,0.02
2016-11-01,-0.29,-1.72,0.94,0.01
2016-12-01,-1.9,0.87,1.19,0.03
2017-01-01,5.9,-1.77,3.33,0.04
2017-02-01,2.23,-1.58,2.62,0.04
2017-03-01,2.82,-2.54,-1.06,0.03
2017-04-01,0.27,-1.64,1.25,0.05
2017-05-01,-0.21,-1.3,0.69,0.06
2017-06-01,1.91,-1.81,-0.92,0.06
2017-07-01,3.21,-0.11,2.57,0.07
2017-08-01,0.59,-1.02,1.76,0.09
2017-09-01,-0.21,1.69,-1.81,0.09
2017-10-01,1.52,1.51,1.27,0.09
2017-11-01,1.0,-1.75,-0.82,0.08
2017-12-01,3.03,1.02,-3.63,0.09
2018-01-01,4.12,-1.76,1.26,0.11
2018-02-01,-3.15,-0.46,0.26,0.11
2018-03-01,-3.36,0.98,0.66,0.12
2018-04-01,1.83,-4.84,2.19,0.14
2018-05-01,0.26,0.82,-2.69,0.14
2018-06-01,-3.0,-1.23,-0.58,0.14
2018-07-01,1.17,-2.72,1.35,0.16
2018-08-01,-2.43,-1.55,-3.02,0.16
2018-09-01,-0.82,0.29,3.15,0.15
2018-10-01,-9.4,0.24,1.52,0.19
2018-11-01,3.36,-1.44,-1.21,0.18
2018-12-01,-2.6,-2.5,1.17,0.19
2019-01-01,6.4,-4.96,0.94,0.21
2019-02-01,3.35,-1.02,-0.18,0.18
2019-03-01,0.75,-0.26,1.27,0.19
2019-04-01,1.61,-0.44,-2.37,0.21
2019-05-01,-4.3,0.74,-1.79,0.21
2019-06-01,5.07,-4.29,0.11,0.18
2019-07-01,-1.44,1.38,-3.51,0.19
2019-08-01,-6.27,1.97,-2.94,0.16
