DATE,GDP
1960-01-01,4167000000.0
1960-04-01,4378000000.0
1960-07-01,4400000000.0
1960-10-01,4428000000.0
1961-01-01,4420000000.0
1961-04-01,4322000000.0
1961-07-01,4331000000.0
1961-10-01,4367000000.0
1962-01-01,4498000000.0
1962-04-01,4594000000.0
1962-07-01,4651000000.0
1962-10-01,4782000000.0
1963-01-01,4925000000.0
1963-04-01,4890000000.0
1963-07-01,5151000000.0
1963-10-01,5258000000.0
1964-01-01,5320000000.0
1964-04-01,5501000000.0
1964-07-01,5586000000.0
1964-10-01,5765000000.0
1965-01-01,5851000000.0
1965-04-01,5966000000.0
1965-07-01,5986000000.0
1965-10-01,6058000000.0
1966-01-01,6092000000.0
1966-04-01,6250000000.0
1966-07-01,6536000000.0
1966-10-01,6701000000.0
1967-01-01,6938000000.0
1967-04-01,6988000000.0
1967-07-01,7094000000.0
1967-10-01,7235000000.0
1968-01-01,7346000000.0
1968-04-01,7532000000.0
1968-07-01,7756000000.0
1968-10-01,8169000000.000001
1969-01-01,8282999999.999999
1969-04-01,8545000000.0
1969-07-01,8858000000.0
1969-10-01,9074000000.0
1970-01-01,9299000000.0
1970-04-01,9656000000.0
1970-07-01,9719000000.0
1970-10-01,9881000000.0
1971-01-01,10261000000.0
1971-04-01,10493000000.0
1971-07-01,10903000000.0
1971-10-01,10917000000.0
1972-01-01,11116000000.0
1972-04-01,11541000000.0
1972-07-01,11702000000.0
1972-10-01,12093000000.0
1973-01-01,12696000000.0
1973-04-01,13294000000.0
1973-07-01,14040000000.0
1973-10-01,14972000000.0
1974-01-01,15499000000.0
1974-04-01,15770000000.0
1974-07-01,16756000000.0
1974-10-01,17648000000.0
1975-01-01,18001000000.0
1975-04-01,18830000000.0
1975-07-01,19401000000.0
1975-10-01,20335000000.0
1976-01-01,21298000000.0
1976-04-01,22239000000.0
1976-07-01,23017000000.0
1976-10-01,23752000000.0
1977-01-01,24282000000.0
1977-04-01,25105000000.0
1977-07-01,25444000000.0
1977-10-01,25731000000.0
1978-01-01,26582000000.0
1978-04-01,27373000000.0
1978-07-01,28289000000.0
1978-10-01,29036000000.0
1979-01-01,30490000000.0
1979-04-01,30960000000.0
1979-07-01,32033000000.0
1979-10-01,33313000000.000004
1980-01-01,34212000000.000004
1980-04-01,34991000000.0
1980-07-01,36146000000.0
1980-10-01,37805000000.0
1981-01-01,38562000000.0
1981-04-01,39990000000.0
1981-07-01,42164000000.0
1981-10-01,43361000000.0
1982-01-01,44288000000.0
1982-04-01,45976000000.0
1982-07-01,46558000000.0
1982-10-01,47291000000.0
1983-01-01,47694000000.0
1983-04-01,48209000000.0
1983-07-01,51003000000.0
1983-10-01,52396000000.0
1984-01-01,54592000000.0
1984-04-01,55821000000.0
1984-07-01,56468000000.0
1984-10-01,57430000000.0
1985-01-01,59613000000.0
1985-04-01,61960000000.0
1985-07-01,63411000000.0
1985-10-01,64649000000.0
1986-01-01,65860000000.0
1986-04-01,67040000000.00001
1986-07-01,68286000000.0
1986-10-01,70564000000.0
1987-01-01,72338000000.0
1987-04-01,75076000000.0
1987-07-01,77494000000.0
1987-10-01,79814000000.0
1988-01-01,82706000000.0
1988-04-01,84744000000.0
1988-07-01,87764000000.0
1988-10-01,90590000000.0
1989-01-01,93253000000.0
1989-04-01,96846000000.0
1989-07-01,98674000000.0
1989-10-01,100410000000.0
1990-01-01,102271000000.0
1990-04-01,104187000000.0
1990-07-01,103561000000.0
1990-10-01,104843000000.0
1991-01-01,103410000000.0
1991-04-01,103490000000.0
1991-07-01,104295000000.0
1991-10-01,105261000000.0
1992-01-01,106806000000.0
1992-04-01,107186000000.0
1992-07-01,108220000000.0
1992-10-01,110394000000.0
1993-01-01,112257000000.0
1993-04-01,113397000000.0
1993-07-01,113257000000.0
1993-10-01,115659000000.0
1994-01-01,117985000000.0
1994-04-01,119523000000.0
1994-07-01,123075000000.0
1994-10-01,122390000000.0
1995-01-01,124634000000.0
1995-04-01,126251000000.0
1995-07-01,128919000000.0
1995-10-01,131454000000.0
1996-01-01,133179000000.0
1996-04-01,135312000000.0
1996-07-01,136041000000.0
1996-10-01,137976000000.0
1997-01-01,139192000000.0
1997-04-01,142708000000.0
1997-07-01,143689000000.0
1997-10-01,147499000000.0
1998-01-01,148549000000.0
1998-04-01,149790000000.0
1998-07-01,152464000000.0
1998-10-01,155332000000.0
1999-01-01,156785000000.0
1999-04-01,157702000000.0
1999-07-01,160590000000.0
1999-10-01,163452000000.0
2000-01-01,168406000000.0
2000-04-01,170526000000.0
2000-07-01,174683000000.0
2000-10-01,173770000000.0
2001-01-01,178724000000.0
2001-04-01,180494000000.0
2001-07-01,184236000000.0
2001-10-01,186823000000.0
2002-01-01,190935000000.0
2002-04-01,194244000000.0
2002-07-01,196919000000.0
2002-10-01,200215000000.0
2003-01-01,202404000000.0
2003-04-01,204459000000.0
2003-07-01,209199000000.0
2003-10-01,214403000000.0
2004-01-01,218589000000.0
2004-04-01,221941000000.0
2004-07-01,225078000000.0
2004-10-01,228980000000.0
2005-01-01,233171000000.0
2005-04-01,238126000000.0
2005-07-01,243762000000.0
2005-10-01,249026000000.0
2006-01-01,252113000000.0
2006-04-01,255350000000.0
2006-07-01,262675000000.0
2006-10-01,269680000000.0
2007-01-01,276691000000.0
2007-04-01,280622000000.0
2007-07-01,285076000000.0
2007-10-01,290540000000.0
2008-01-01,298154000000.0
2008-04-01,305771000000.0
2008-07-01,315575000000.0
2008-10-01,316027000000.0
2009-01-01,317304000000.0
2009-04-01,312800000000.0
2009-07-01,313961000000.0
2009-10-01,320902000000.0
2010-01-01,328507000000.0
2010-04-01,340026000000.0
2010-07-01,344946000000.0
2010-10-01,351132000000.0
