DATE,M2
1960-01-01,6999000000.0
1960-02-01,7085000000.0
1960-03-01,7112000000.0
1960-04-01,7177000000.0
1960-05-01,7271000000.0
1960-06-01,7257000000.0
1960-07-01,7313000000.0
1960-08-01,7310000000.0
1960-09-01,7323000000.0
1960-10-01,7338000000.0
1960-11-01,7308000000.0
1960-12-01,7297000000.0
1961-01-01,7262000000.0
1961-02-01,7272000000.0
1961-03-01,7256000000.0
1961-04-01,7345000000.0
1961-05-01,7367000000.0
1961-06-01,7403000000.0
1961-07-01,7432000000.0
1961-08-01,7454000000.0
1961-09-01,7526000000.0
1961-10-01,7577000000.0
1961-11-01,7573000000.0
1961-12-01,7648000000.0
1962-01-01,7688000000.0
1962-02-01,7747000000.0
1962-03-01,7810000000.0
1962-04-01,7867000000.0
1962-05-01,7893000000.0
1962-06-01,7957000000.0
1962-07-01,8041000000.0
1962-08-01,8042999999.999999
1962-09-01,8117000000.000001
1962-10-01,8159000000.000001
1962-11-01,8201000000.000001
1962-12-01,8257999999.999999
1963-01-01,8303000000.000001
1963-02-01,8364000000.000001
1963-03-01,8438000000.000001
1963-04-01,8507999999.999999
1963-05-01,8548999999.999999
1963-06-01,8645000000.0
1963-07-01,8707000000.0
1963-08-01,8786000000.0
1963-09-01,8850000000.0
1963-10-01,8899000000.0
1963-11-01,9024000000.0
1963-12-01,9129000000.0
1964-01-01,9191000000.0
1964-02-01,9270000000.0
1964-03-01,9422000000.0
1964-04-01,9500000000.0
1964-05-01,9607000000.0
1964-06-01,9704000000.0
1964-07-01,9774000000.0
1964-08-01,9882000000.0
1964-09-01,9935000000.0
1964-10-01,10019000000.0
1964-11-01,10100000000.0
1964-12-01,10136000000.0
1965-01-01,10188000000.0
1965-02-01,10273000000.0
1965-03-01,10400000000.0
1965-04-01,10400000000.0
1965-05-01,10400000000.0
1965-06-01,10500000000.0
1965-07-01,10500000000.0
1965-08-01,10500000000.0
1965-09-01,10500000000.0
1965-10-01,10600000000.0
1965-11-01,10600000000.0
1965-12-01,10700000000.0
1966-01-01,10700000000.0
1966-02-01,10900000000.0
1966-03-01,10900000000.0
1966-04-01,10900000000.0
1966-05-01,11000000000.0
1966-06-01,11100000000.0
1966-07-01,11100000000.0
1966-08-01,11200000000.0
1966-09-01,11300000000.0
1966-10-01,11400000000.0
1966-11-01,11500000000.0
1966-12-01,11500000000.0
1967-01-01,11600000000.0
1967-02-01,11700000000.0
1967-03-01,11700000000.0
1967-04-01,11800000000.0
1967-05-01,11900000000.0
1967-06-01,12000000000.0
1967-07-01,12100000000.0
1967-08-01,12200000000.0
1967-09-01,12300000000.0
1967-10-01,12300000000.0
1967-11-01,12400000000.0
1967-12-01,12500000000.0
1968-01-01,12600000000.0
1968-02-01,12600000000.0
1968-03-01,12700000000.0
1968-04-01,12700000000.0
1968-05-01,12800000000.0
1968-06-01,13000000000.0
1968-07-01,13100000000.0
1968-08-01,13100000000.0
1968-09-01,13200000000.0
1968-10-01,13300000000.0
1968-11-01,13300000000.0
1968-12-01,13400000000.0
1969-01-01,13600000000.0
1969-02-01,13700000000.0
1969-03-01,13800000000.0
1969-04-01,13900000000.0
1969-05-01,14000000000.0
1969-06-01,14200000000.0
1969-07-01,14300000000.0
1969-08-01,14400000000.0
1969-09-01,14400000000.0
1969-10-01,14500000000.0
1969-11-01,14600000000.0
1969-12-01,14700000000.0
1970-01-01,14700000000.0
1970-02-01,14800000000.0
1970-03-01,14900000000.0
1970-04-01,15000000000.0
1970-05-01,15000000000.0
1970-06-01,15000000000.0
1970-07-01,15100000000.0
1970-08-01,15100000000.0
1970-09-01,15200000000.0
1970-10-01,15200000000.0
1970-11-01,15300000000.0
1970-12-01,15400000000.0
1971-01-01,15400000000.0
1971-02-01,15600000000.0
1971-03-01,15700000000.0
1971-04-01,15800000000.0
1971-05-01,16000000000.0
1971-06-01,16100000000.000002
1971-07-01,16100000000.000002
1971-08-01,16300000000.0
1971-09-01,16500000000.0
1971-10-01,16600000000.000002
1971-11-01,16600000000.000002
1971-12-01,16800000000.0
1972-01-01,16899999999.999998
1972-02-01,17100000000.000002
1972-03-01,17200000000.0
1972-04-01,17400000000.0
1972-05-01,17600000000.0
1972-06-01,17800000000.0
1972-07-01,18200000000.0
1972-08-01,18600000000.0
1972-09-01,18900000000.0
1972-10-01,19300000000.0
1972-11-01,19600000000.0
1972-12-01,20100000000.0
1973-01-01,20400000000.0
1973-02-01,20800000000.0
1973-03-01,21000000000.0
1973-04-01,21500000000.0
1973-05-01,22000000000.0
1973-06-01,22400000000.0
1973-07-01,22900000000.0
1973-08-01,23300000000.0
1973-09-01,23700000000.0
1973-10-01,23900000000.0
1973-11-01,23900000000.0
1973-12-01,24300000000.0
1974-01-01,24500000000.0
1974-02-01,24900000000.0
1974-03-01,25100000000.0
1974-04-01,25300000000.0
1974-05-01,25700000000.0
1974-06-01,25300000000.0
1974-07-01,25000000000.0
1974-08-01,24700000000.0
1974-09-01,24800000000.0
1974-10-01,25300000000.0
1974-11-01,25700000000.0
1974-12-01,26000000000.0
1975-01-01,26600000000.0
1975-02-01,27200000000.0
1975-03-01,27800000000.0
1975-04-01,28400000000.0
1975-05-01,28800000000.0
1975-06-01,29200000000.0
1975-07-01,29900000000.0
1975-08-01,30300000000.0
1975-09-01,30600000000.0
1975-10-01,31000000000.0
1975-11-01,31300000000.0
1975-12-01,31700000000.0
1976-01-01,32000000000.0
1976-02-01,32000000000.0
1976-03-01,32500000000.0
1976-04-01,32800000000.0
1976-05-01,33200000000.000004
1976-06-01,33500000000.0
1976-07-01,33900000000.0
1976-08-01,38800000000.0
1976-09-01,39300000000.0
1976-10-01,39500000000.0
1976-11-01,40000000000.0
1976-12-01,40700000000.0
1977-01-01,41100000000.0
1977-02-01,41700000000.0
1977-03-01,42100000000.0
1977-04-01,42100000000.0
1977-05-01,42600000000.0
1977-06-01,42900000000.0
1977-07-01,43000000000.0
1977-08-01,43100000000.0
1977-09-01,43200000000.0
1977-10-01,43400000000.0
1977-11-01,43800000000.0
1977-12-01,44200000000.0
1978-01-01,44500000000.0
1978-02-01,45000000000.0
1978-03-01,45600000000.0
1978-04-01,46100000000.0
1978-05-01,46700000000.0
1978-06-01,47000000000.0
1978-07-01,47500000000.0
1978-08-01,48000000000.0
1978-09-01,48500000000.0
1978-10-01,48800000000.0
1978-11-01,49300000000.0
1978-12-01,49700000000.0
1979-01-01,50500000000.0
1979-02-01,51200000000.0
1979-03-01,51800000000.0
1979-04-01,52400000000.0
1979-05-01,52900000000.0
1979-06-01,53200000000.0
1979-07-01,53500000000.0
1979-08-01,54000000000.0
1979-09-01,54400000000.0
1979-10-01,54900000000.0
1979-11-01,55700000000.0
1979-12-01,56300000000.0
1980-01-01,57600000000.0
1980-02-01,58300000000.0
1980-03-01,58600000000.0
1980-04-01,59000000000.0
1980-05-01,59600000000.0
1980-06-01,60200000000.0
1980-07-01,61100000000.0
1980-08-01,61700000000.0
1980-09-01,62200000000.0
1980-10-01,63100000000.0
1980-11-01,63800000000.0
1980-12-01,64500000000.0
1981-01-01,65000000000.0
1981-02-01,65500000000.0
1981-03-01,66099999999.99999
1981-04-01,66700000000.0
1981-05-01,67500000000.0
1981-06-01,68300000000.0
1981-07-01,68800000000.0
1981-08-01,69300000000.0
1981-09-01,69900000000.0
1981-10-01,70600000000.0
1981-11-01,71200000000.0
1981-12-01,71700000000.0
1982-01-01,72400000000.0
1982-02-01,73000000000.0
1982-03-01,73600000000.0
1982-04-01,74500000000.0
1982-05-01,75800000000.0
1982-06-01,76000000000.0
1982-07-01,76400000000.0
1982-08-01,76800000000.0
1982-09-01,77700000000.0
1982-10-01,78000000000.0
1982-11-01,78900000000.0
1982-12-01,79900000000.0
1983-01-01,80500000000.0
1983-02-01,81400000000.0
1983-03-01,83100000000.0
1983-04-01,83600000000.0
1983-05-01,84800000000.0
1983-06-01,85700000000.0
1983-07-01,86500000000.0
1983-08-01,87400000000.0
1983-09-01,88300000000.0
1983-10-01,89100000000.0
1983-11-01,90100000000.0
1983-12-01,91300000000.0
1984-01-01,92400000000.0
1984-02-01,93700000000.0
1984-03-01,94500000000.0
1984-04-01,94900000000.0
1984-05-01,95600000000.0
1984-06-01,96400000000.0
1984-07-01,97600000000.0
1984-08-01,99000000000.0
1984-09-01,100000000000.0
1984-10-01,101100000000.0
1984-11-01,102700000000.0
1984-12-01,104100000000.0
1985-01-01,106000000000.0
1985-02-01,107300000000.0
1985-03-01,108700000000.0
1985-04-01,109900000000.0
1985-05-01,111400000000.0
1985-06-01,111500000000.0
1985-07-01,114400000000.0
1985-08-01,115700000000.0
1985-09-01,117200000000.0
1985-10-01,117900000000.0
1985-11-01,118900000000.0
1985-12-01,119300000000.0
1986-01-01,119600000000.0
1986-02-01,119800000000.0
1986-03-01,121500000000.0
1986-04-01,123900000000.0
1986-05-01,124900000000.0
1986-06-01,125500000000.0
1986-07-01,126300000000.0
1986-08-01,127200000000.0
1986-09-01,127600000000.0
1986-10-01,128699999999.99998
1986-11-01,128699999999.99998
1986-12-01,130199999999.99998
1987-01-01,131900000000.0
1987-02-01,133000000000.0
1987-03-01,133199999999.99998
1987-04-01,133800000000.0
1987-05-01,136000000000.0
1987-06-01,137500000000.0
1987-07-01,139400000000.0
1987-08-01,140700000000.0
1987-09-01,142200000000.0
1987-10-01,143900000000.0
1987-11-01,146000000000.0
1987-12-01,146600000000.0
1988-01-01,147300000000.0
1988-02-01,148200000000.0
1988-03-01,150200000000.0
1988-04-01,151300000000.0
1988-05-01,152800000000.0
1988-06-01,155200000000.0
1988-07-01,156200000000.0
1988-08-01,157900000000.0
1988-09-01,160400000000.0
1988-10-01,164000000000.0
1988-11-01,167100000000.0
1988-12-01,171100000000.0
1989-01-01,175100000000.0
1989-02-01,178800000000.0
1989-03-01,182100000000.0
1989-04-01,185500000000.0
1989-05-01,187900000000.0
1989-06-01,192900000000.0
1989-07-01,196100000000.0
1989-08-01,199900000000.0
1989-09-01,200100000000.0
1989-10-01,201900000000.0
1989-11-01,203400000000.0
1989-12-01,205200000000.0
1990-01-01,207100000000.0
1990-02-01,209600000000.0
1990-03-01,211700000000.0
1990-04-01,214200000000.0
1990-05-01,215000000000.0
1990-06-01,216600000000.0
1990-07-01,216900000000.0
1990-08-01,219100000000.0
1990-09-01,221600000000.0
1990-10-01,222900000000.0
1990-11-01,225300000000.0
1990-12-01,227100000000.0
1991-01-01,224900000000.0
1991-02-01,224700000000.0
1991-03-01,225600000000.0
1991-04-01,226000000000.0
1991-05-01,227400000000.0
1991-06-01,228300000000.0
1991-07-01,228900000000.0
1991-08-01,229700000000.0
1991-09-01,231100000000.0
1991-10-01,230600000000.0
1991-11-01,230200000000.0
1991-12-01,231700000000.0
1992-01-01,231900000000.0
1992-02-01,232800000000.0
1992-03-01,231700000000.0
1992-04-01,233500000000.0
1992-05-01,234600000000.0
1992-06-01,234900000000.0
1992-07-01,236700000000.0
1992-08-01,238900000000.0
1992-09-01,238700000000.0
1992-10-01,238800000000.0
1992-11-01,240000000000.0
1992-12-01,241000000000.0
1993-01-01,242900000000.0
1993-02-01,244500000000.0
1993-03-01,245800000000.0
1993-04-01,245900000000.0
1993-05-01,246500000000.0
1993-06-01,249800000000.0
1993-07-01,250800000000.0
1993-08-01,250200000000.0
1993-09-01,252100000000.0
1993-10-01,253500000000.0
1993-11-01,254500000000.0
1993-12-01,255700000000.0
1994-01-01,258500000000.0
1994-02-01,259900000000.0
1994-03-01,263100000000.00003
1994-04-01,264800000000.0
1994-05-01,266800000000.0
1994-06-01,267800000000.0
1994-07-01,269100000000.00003
1994-08-01,271400000000.0
1994-09-01,271200000000.0
1994-10-01,274900000000.0
1994-11-01,278000000000.0
1994-12-01,280600000000.0
1995-01-01,280400000000.0
1995-02-01,281800000000.0
1995-03-01,285100000000.0
1995-04-01,286400000000.0
1995-05-01,288000000000.0
1995-06-01,288200000000.0
1995-07-01,290300000000.0
1995-08-01,292900000000.0
1995-09-01,296300000000.0
1995-10-01,299200000000.0
1995-11-01,301600000000.0
1995-12-01,305900000000.0
1996-01-01,307000000000.0
1996-02-01,309200000000.0
1996-03-01,310900000000.0
1996-04-01,312600000000.0
1996-05-01,312600000000.0
1996-06-01,316000000000.0
1996-07-01,319500000000.0
1996-08-01,321200000000.0
1996-09-01,320100000000.0
1996-10-01,326800000000.0
1996-11-01,330200000000.0
1996-12-01,332200000000.0
1997-01-01,334100000000.0
1997-02-01,336900000000.0
1997-03-01,337800000000.0
1997-04-01,341400000000.0
1997-05-01,343500000000.0
1997-06-01,345100000000.0
1997-07-01,346100000000.0
1997-08-01,347500000000.0
1997-09-01,347300000000.0
1997-10-01,350500000000.0
1997-11-01,351800000000.0
1997-12-01,354100000000.0
1998-01-01,355700000000.0
1998-02-01,357500000000.0
1998-03-01,358500000000.0
1998-04-01,361100000000.0
1998-05-01,362700000000.0
1998-06-01,366200000000.0
1998-07-01,371100000000.0
1998-08-01,373900000000.0
1998-09-01,376200000000.0
1998-10-01,377700000000.0
1998-11-01,378800000000.0
1998-12-01,382100000000.0
1999-01-01,385100000000.0
1999-02-01,387500000000.0
1999-03-01,391500000000.0
1999-04-01,395800000000.0
1999-05-01,399900000000.0
1999-06-01,403100000000.0
1999-07-01,405500000000.0
1999-08-01,407900000000.0
1999-09-01,411000000000.0
1999-10-01,414500000000.0
1999-11-01,417800000000.0
1999-12-01,417800000000.0
2000-01-01,418800000000.0
2000-02-01,420600000000.0
2000-03-01,422700000000.0
2000-04-01,426400000000.0
2000-05-01,429600000000.0
2000-06-01,432000000000.0
2000-07-01,435000000000.0
2000-08-01,438300000000.0
2000-09-01,439900000000.0
2000-10-01,442300000000.0
2000-11-01,436600000000.0
2000-12-01,438400000000.0
2001-01-01,443300000000.0
2001-02-01,448700000000.0
2001-03-01,453500000000.0
2001-04-01,458100000000.0
2001-05-01,463600000000.0
2001-06-01,468500000000.0
2001-07-01,466800000000.0
2001-08-01,474300000000.0
2001-09-01,481000000000.0
2001-10-01,488300000000.0
2001-11-01,494000000000.0
2001-12-01,498500000000.0
2002-01-01,503400000000.0
2002-02-01,506300000000.0
2002-03-01,512500000000.0
2002-04-01,500300000000.0
2002-05-01,502800000000.0
2002-06-01,496200000000.0
2002-07-01,506200000000.0
2002-08-01,513100000000.0
2002-09-01,515900000000.0
2002-10-01,519299999999.99994
2002-11-01,526200000000.00006
2002-12-01,531500000000.0
2003-01-01,537500000000.0
2003-02-01,540600000000.0
2003-03-01,547700000000.00006
2003-04-01,553100000000.0
2003-05-01,563600000000.0
2003-06-01,564400000000.0
2003-07-01,557900000000.0
2003-08-01,570800000000.0
2003-09-01,577800000000.0
2003-10-01,582400000000.0
2003-11-01,587200000000.0
2003-12-01,594200000000.0
2004-01-01,595400000000.0
2004-02-01,603800000000.0
2004-03-01,610700000000.0
2004-04-01,616000000000.0
2004-05-01,616500000000.0
2004-06-01,621300000000.0
2004-07-01,628300000000.0
2004-08-01,631700000000.0
2004-09-01,631900000000.0
2004-10-01,636600000000.0
2004-11-01,643600000000.0
2004-12-01,647100000000.0
2005-01-01,652000000000.0
2005-02-01,655700000000.0
2005-03-01,657500000000.0
2005-04-01,663700000000.0
2005-05-01,670200000000.0
2005-06-01,677000000000.0
2005-07-01,678500000000.0
2005-08-01,681200000000.0
2005-09-01,690100000000.0
2005-10-01,688200000000.0
2005-11-01,692300000000.0
2005-12-01,700100000000.0
2006-01-01,708100000000.0
2006-02-01,711400000000.0
2006-03-01,722100000000.0
2006-04-01,736200000000.0
2006-05-01,740300000000.0
2006-06-01,746300000000.0
2006-07-01,753000000000.0
2006-08-01,761300000000.0
2006-09-01,767400000000.0
