DATE,UNRATE
1978-02-01,6.644475
1978-03-01,6.302643
1978-04-01,6.267338
1978-05-01,6.209373
1978-06-01,6.303958
1978-07-01,6.221767
1978-08-01,6.490038
1978-09-01,6.254707
1978-10-01,6.163115
1978-11-01,6.331088
1978-12-01,6.405406
1979-01-01,6.370093
1979-02-01,6.257012
1979-03-01,6.302918
1979-04-01,6.498288
1979-05-01,6.203638
1979-06-01,6.251704
1979-07-01,6.27201
1979-08-01,6.117978
1979-09-01,6.232102
1979-10-01,6.383617
1979-11-01,6.044902
1979-12-01,6.120146
1980-01-01,6.145885
1980-02-01,5.998559
1980-03-01,5.936421
1980-04-01,6.114621
1980-05-01,6.245893
1980-06-01,6.323356
1980-07-01,6.074534
1980-08-01,6.176955
1980-09-01,6.140752
1980-10-01,6.055031
1980-11-01,5.850238
1980-12-01,6.051065
1981-01-01,5.91629
1981-02-01,5.616373
1981-03-01,5.745863
1981-04-01,5.554833
1981-05-01,5.588787
1981-06-01,5.374516
1981-07-01,5.824625
1981-08-01,5.846012
1981-09-01,5.811805
1981-10-01,5.872391
1981-11-01,5.99504
1981-12-01,6.026875
1982-01-01,5.982619
1982-02-01,6.308198
1982-03-01,6.322735
1982-04-01,6.333211
1982-05-01,6.592748
1982-06-01,6.767257
1982-07-01,6.879552
1982-08-01,7.011253
1982-09-01,7.429126
1982-10-01,8.294883
1982-11-01,8.679349
1982-12-01,9.401729
1983-01-01,9.30031
1983-02-01,9.658314
1983-03-01,9.951107
1983-04-01,10.15201
1983-05-01,10.32293
1983-06-01,10.20515
1983-07-01,10.52187
1983-08-01,10.21852
1983-09-01,10.3375
1983-10-01,10.00795
1983-11-01,9.654131
1983-12-01,9.457046
1984-01-01,9.498779
1984-02-01,9.385393
1984-03-01,9.207853
1984-04-01,9.370098
1984-05-01,8.936268
1984-06-01,9.097484
1984-07-01,8.919163
1984-08-01,8.827919
1984-09-01,8.734409
1984-10-01,8.695375
1984-11-01,8.67906
1984-12-01,8.519245
1985-01-01,8.549402
1985-02-01,8.38908
1985-03-01,8.664977
1985-04-01,8.401617
1985-05-01,8.37548
1985-06-01,8.573008
1985-07-01,8.308286
1985-08-01,8.154869
1985-09-01,8.056966
1985-10-01,7.848611
1985-11-01,7.950161
1985-12-01,7.784441
1986-01-01,7.804358
1986-02-01,8.00238
1986-03-01,7.926239
1986-04-01,7.900575
1986-05-01,7.84623
1986-06-01,7.654387
1986-07-01,8.106526
1986-08-01,8.238532
1986-09-01,8.337688
1986-10-01,8.309752
1986-11-01,8.318656
1986-12-01,8.363222
1987-01-01,8.185802
1987-02-01,8.210242
1987-03-01,8.43431
1987-04-01,8.300104
1987-05-01,8.201519
1987-06-01,8.009217
1987-07-01,8.073475
1987-08-01,8.104599
1987-09-01,7.75483
1987-10-01,8.085565
1987-11-01,7.930696
1987-12-01,7.728134
1988-01-01,7.630591
1988-02-01,7.416121
1988-03-01,7.502586
1988-04-01,7.912768
1988-05-01,7.450922
1988-06-01,7.583298
1988-07-01,6.755384
1988-08-01,7.067866
1988-09-01,6.933939
1988-10-01,6.817587
1988-11-01,6.612247
1988-12-01,6.832599
1989-01-01,6.807445
1989-02-01,6.637
1989-03-01,6.343123
1989-04-01,6.200099
1989-05-01,6.279341
1989-06-01,6.011786
1989-07-01,6.042033
1989-08-01,5.943442
1989-09-01,6.030522
1989-10-01,5.923865
1989-11-01,5.786287
1989-12-01,5.848249
1990-01-01,6.112823
1990-02-01,6.391056
1990-03-01,6.18736
1990-04-01,6.279291
1990-05-01,6.504076
1990-06-01,6.608483
1990-07-01,7.096597
1990-08-01,7.211017
1990-09-01,7.373744
1990-10-01,7.63715
1990-11-01,7.94565
1990-12-01,8.01965
1991-01-01,8.396118
1991-02-01,8.616289
1991-03-01,9.184963
1991-04-01,9.861317
1991-05-01,9.502418
1991-06-01,9.555999
1991-07-01,9.676767
1991-08-01,9.790383
1991-09-01,10.03223
1991-10-01,9.987619
1991-11-01,10.19798
1991-12-01,10.47472
1992-01-01,10.34637
1992-02-01,10.40474
1992-03-01,10.4981
1992-04-01,10.47161
1992-05-01,10.6193
1992-06-01,10.81055
1992-07-01,11.13829
1992-08-01,10.72222
1992-09-01,10.61636
1992-10-01,11.09173
1992-11-01,11.13667
1992-12-01,11.21869
1993-01-01,10.83388
1993-02-01,11.01421
1993-03-01,10.85901
1993-04-01,10.7665
1993-05-01,10.78707
1993-06-01,10.99206
1993-07-01,10.94628
1993-08-01,10.98318
1993-09-01,10.74138
1993-10-01,10.95785
1993-11-01,10.94946
1993-12-01,10.75775
1994-01-01,10.56904
1994-02-01,10.39891
1994-03-01,10.35408
1994-04-01,10.06308
1994-05-01,9.767402
1994-06-01,9.818675
1994-07-01,9.632694
1994-08-01,9.444799
1994-09-01,9.353838
1994-10-01,9.092841
1994-11-01,9.143226
1994-12-01,8.936003
1995-01-01,8.857544
1995-02-01,8.823379
1995-03-01,8.617237
1995-04-01,8.267407
1995-05-01,8.474881
1995-06-01,8.352785
1995-07-01,8.427588
1995-08-01,8.320067
1995-09-01,8.362545
1995-10-01,8.575278
1995-11-01,8.452255
1995-12-01,8.144584
1996-01-01,8.454992
1996-02-01,8.326905
1996-03-01,8.421233
1996-04-01,8.578298
1996-05-01,8.414492
1996-06-01,8.25449
1996-07-01,8.568338
1996-08-01,8.722149
1996-09-01,8.576069
1996-10-01,8.759649
1996-11-01,8.470903
1996-12-01,8.630779
1997-01-01,8.565956
1997-02-01,8.70282
1997-03-01,8.592477
1997-04-01,8.568422
1997-05-01,8.547587
1997-06-01,8.331183
1997-07-01,8.589601
1997-08-01,8.465117
1997-09-01,8.067671
1997-10-01,8.03339
1997-11-01,7.98714
1997-12-01,7.910571
1998-01-01,7.865148
1998-02-01,7.772534
1998-03-01,7.883655
1998-04-01,7.603865
1998-05-01,7.764971
1998-06-01,7.832304
1998-07-01,7.974838
1998-08-01,7.755365
1998-09-01,7.633677
1998-10-01,7.313875
1998-11-01,7.62621
1998-12-01,7.183782
1999-01-01,7.119152
1999-02-01,7.115197
1999-03-01,7.012835
1999-04-01,6.979595
1999-05-01,7.025033
1999-06-01,6.653268
1999-07-01,6.675372
1999-08-01,6.905839
1999-09-01,7.041304
1999-10-01,6.776536
1999-11-01,6.440235
1999-12-01,6.684519
2000-01-01,6.768061
2000-02-01,6.619115
2000-03-01,6.565179
2000-04-01,6.376406
2000-05-01,6.4144
2000-06-01,6.114944
2000-07-01,5.954165
2000-08-01,6.051425
2000-09-01,5.963067
2000-10-01,6.009918
2000-11-01,6.261939
2000-12-01,6.243941
2001-01-01,6.140404
2001-02-01,6.501866
2001-03-01,6.458833
2001-04-01,6.782404
2001-05-01,6.892889
2001-06-01,6.932786
2001-07-01,6.879967
2001-08-01,6.881002
2001-09-01,6.841792
2001-10-01,7.193613
2001-11-01,6.88299
2001-12-01,6.861423
2002-01-01,6.912992
2002-02-01,6.536395
2002-03-01,6.430395
2002-04-01,6.345497
2002-05-01,6.372395
2002-06-01,6.495764
2002-07-01,6.179741
2002-08-01,6.34905
2002-09-01,6.312129
2002-10-01,6.128325
2002-11-01,6.162609
2002-12-01,6.18219
2003-01-01,6.080811
2003-02-01,5.95491
2003-03-01,6.13132
2003-04-01,6.029517
2003-05-01,6.068984
2003-06-01,6.054638
2003-07-01,6.127932
2003-08-01,5.817794
2003-09-01,5.775398
2003-10-01,5.783544
2003-11-01,5.66168
2003-12-01,5.681379
2004-01-01,5.530683
2004-02-01,5.642969
2004-03-01,5.437499
2004-04-01,5.50709
2004-05-01,5.33672
2004-06-01,5.463194
2004-07-01,5.550503
2004-08-01,5.517118
2004-09-01,5.370564
2004-10-01,5.122761
2004-11-01,5.161147
2004-12-01,5.068548
2005-01-01,5.073932
2005-02-01,5.084155
2005-03-01,5.162713
2005-04-01,5.121859
2005-05-01,5.099353
2005-06-01,4.949962
2005-07-01,4.971981
2005-08-01,4.901389
2005-09-01,5.002178
2005-10-01,5.015795
2005-11-01,4.938043
2005-12-01,5.069808
2006-01-01,5.16326
2006-02-01,5.103563
2006-03-01,4.867021
2006-04-01,4.965493
2006-05-01,4.798105
2006-06-01,4.80811
2006-07-01,4.656713
2006-08-01,4.712195
2006-09-01,4.666041
2006-10-01,4.463296
2006-11-01,4.514985
2006-12-01,4.568042
2007-01-01,4.555046
2007-02-01,4.634551
2007-03-01,4.45961
2007-04-01,4.385927
2007-05-01,4.264402
2007-06-01,4.324094
2007-07-01,4.25324
2007-08-01,4.299039
2007-09-01,4.213405
2007-10-01,4.32631
2007-11-01,4.426701
2007-12-01,4.308392
2008-01-01,4.220419
2008-02-01,3.979062
2008-03-01,4.057058
2008-04-01,4.265452
2008-05-01,4.266338
2008-06-01,4.243527
2008-07-01,4.25034
2008-08-01,4.015423
2008-09-01,4.289291
2008-10-01,4.290237
2008-11-01,4.462752
2008-12-01,4.570089
2009-01-01,4.907654
2009-02-01,5.302424
2009-03-01,5.711259
2009-04-01,5.512997
2009-05-01,5.812047
2009-06-01,5.861547
2009-07-01,5.672752
2009-08-01,5.714971
2009-09-01,5.662072
2009-10-01,5.623774
2009-11-01,5.558444
2009-12-01,5.491253
2010-01-01,5.266315
2010-02-01,5.29786
2010-03-01,5.422585
2010-04-01,5.498569
2010-05-01,5.229679
2010-06-01,5.14418
2010-07-01,5.288105
2010-08-01,5.032416
2010-09-01,5.054496
2010-10-01,5.284842
2010-11-01,5.108976
2010-12-01,4.876983
2011-01-01,5.00419
2011-02-01,4.971559
2011-03-01,4.926436
2011-04-01,4.95931
2011-05-01,5.01332
2011-06-01,4.916744
2011-07-01,5.092728
2011-08-01,5.270407
2011-09-01,5.221924
2011-10-01,5.187708
2011-11-01,5.231012
2011-12-01,5.196779
2012-01-01,5.049252
2012-02-01,5.191468
2012-03-01,5.18316
2012-04-01,4.994569
2012-05-01,5.20049
2012-06-01,5.162591
2012-07-01,5.182117
2012-08-01,5.15739
2012-09-01,5.488563
2012-10-01,5.410382
2012-11-01,5.256682
2012-12-01,5.432168
2013-01-01,5.392352
2013-02-01,5.394047
2013-03-01,5.640463
2013-04-01,5.588706
2013-05-01,5.609829
2013-06-01,5.695248
2013-07-01,5.63548
2013-08-01,5.844181
2013-09-01,5.706719
2013-10-01,5.822825
2013-11-01,5.79636
2013-12-01,5.900239
2014-01-01,5.945431
2014-02-01,5.875174
2014-03-01,5.875272
2014-04-01,5.804295
2014-05-01,5.930022
2014-06-01,6.048806
2014-07-01,6.173101
2014-08-01,6.100048
2014-09-01,6.236742
2014-10-01,6.356903
2014-11-01,6.296909
2014-12-01,6.105023
2015-01-01,6.350592
2015-02-01,6.154802
2015-03-01,6.103689
2015-04-01,6.112385
2015-05-01,5.931231
2015-06-01,6.008062
2015-07-01,6.275658
2015-08-01,6.087994
2015-09-01,6.174207
2015-10-01,5.911656
2015-11-01,5.850543
