DATE,IR3TIB01AUM156N
1968-01-01,5.1
1968-02-01,5.15
1968-03-01,5.15
1968-04-01,5.15
1968-05-01,5.3
1968-06-01,5.5
1968-07-01,5.1
1968-08-01,5.1
1968-09-01,5.05
1968-10-01,5.0
1968-11-01,4.9
1968-12-01,4.9
1969-01-01,5.1
1969-02-01,5.1
1969-03-01,5.15
1969-04-01,5.4
1969-05-01,5.5
1969-06-01,5.9
1969-07-01,5.8
1969-08-01,6.1
1969-09-01,5.8
1969-10-01,5.6
1969-11-01,0.0
1969-12-01,5.65
1970-01-01,5.8
1970-02-01,6.3
1970-03-01,7.15
1970-04-01,8.6
1970-05-01,9.1
1970-06-01,8.7
1970-07-01,7.4
1970-08-01,6.8
1970-09-01,6.35
1970-10-01,6.4
1970-11-01,6.2
1970-12-01,6.5
1971-01-01,6.6
1971-02-01,7.6
1971-03-01,8.0
1971-04-01,7.8
1971-05-01,7.8
1971-06-01,8.15
1971-07-01,6.8
1971-08-01,6.7
1971-09-01,6.45
1971-10-01,6.3
1971-11-01,6.0
1971-12-01,5.9
1972-01-01,5.6
1972-02-01,5.5
1972-03-01,5.5
1972-04-01,5.5
1972-05-01,5.6
1972-06-01,5.75
1972-07-01,4.6
1972-08-01,4.6
1972-09-01,4.5
1972-10-01,4.3
1972-11-01,5.1
1972-12-01,4.45
1973-01-01,4.7
1973-02-01,4.8
1973-03-01,5.45
1973-04-01,5.8
1973-05-01,6.4
1973-06-01,6.4
1973-07-01,6.5
1973-08-01,6.4
1973-09-01,9.25
1973-10-01,9.65
1973-11-01,9.2
1973-12-01,9.25
1974-01-01,9.25
1974-02-01,9.5
1974-03-01,10.1
1974-04-01,16.25
1974-05-01,21.75
1974-06-01,18.8
1974-07-01,15.0
1974-08-01,14.2
1974-09-01,12.6
1974-10-01,10.4
1974-11-01,10.3
1974-12-01,9.75
1975-01-01,8.95
1975-02-01,9.0
1975-03-01,8.75
1975-04-01,9.8
1975-05-01,8.9
1975-06-01,8.8
1975-07-01,8.15
1975-08-01,8.15
1975-09-01,8.1
1975-10-01,7.95
1975-11-01,8.05
1975-12-01,7.7
1976-01-01,7.65
1976-02-01,8.35
1976-03-01,8.4
1976-04-01,9.61
1976-05-01,10.24
1976-06-01,10.27
1976-07-01,9.67
1976-08-01,9.36
1976-09-01,9.31
1976-10-01,9.06
