DATE,FRALOLITONOSTSAM
1966-11-01,99.82153
1966-12-01,99.54844
1967-01-01,99.28378
1967-02-01,99.01906
1967-03-01,98.75162
1967-04-01,98.49348
1967-05-01,98.26476
1967-06-01,98.09464
1967-07-01,98.00847
1967-08-01,98.01595
1967-09-01,98.09869
1967-10-01,98.20232
1967-11-01,98.29834
1967-12-01,98.38985
1968-01-01,98.49194
1968-02-01,98.6371
1968-03-01,98.82686
1968-04-01,99.05096
1968-05-01,99.29708
1968-06-01,99.6115
1968-07-01,99.95132
1968-08-01,100.2716
1968-09-01,100.5663
1968-10-01,100.8637
1968-11-01,101.139
1968-12-01,101.3559
1969-01-01,101.489
1969-02-01,101.6004
1969-03-01,101.7422
1969-04-01,101.9195
1969-05-01,102.0775
1969-06-01,102.1657
1969-07-01,102.1629
1969-08-01,102.0764
1969-09-01,101.9068
1969-10-01,101.7206
1969-11-01,101.5336
1969-12-01,101.3511
1970-01-01,101.1547
1970-02-01,100.9279
1970-03-01,100.6829
1970-04-01,100.4225
1970-05-01,100.1656
1970-06-01,99.92801
1970-07-01,99.74641
1970-08-01,99.6619
1970-09-01,99.68974
1970-10-01,99.81184
1970-11-01,99.99833
1970-12-01,100.1916
1971-01-01,100.3398
1971-02-01,100.4304
1971-03-01,100.4506
1971-04-01,100.4066
1971-05-01,100.3231
1971-06-01,100.2352
1971-07-01,100.1535
1971-08-01,100.0578
1971-09-01,99.95551
1971-10-01,99.86448
1971-11-01,99.8209
1971-12-01,99.83745
1972-01-01,99.92329
1972-02-01,100.0717
1972-03-01,100.2689
1972-04-01,100.5121
1972-05-01,100.7938
1972-06-01,101.0861
1972-07-01,101.3798
1972-08-01,101.6612
1972-09-01,101.9156
1972-10-01,102.1276
1972-11-01,102.2876
1972-12-01,102.4129
1973-01-01,102.5268
1973-02-01,102.6014
1973-03-01,102.6783
1973-04-01,102.7477
1973-05-01,102.7999
1973-06-01,102.8261
1973-07-01,102.8027
1973-08-01,102.7093
1973-09-01,102.5528
1973-10-01,102.3295
1973-11-01,102.0349
1973-12-01,101.6955
1974-01-01,101.347
1974-02-01,100.9855
1974-03-01,100.6113
1974-04-01,100.2191
1974-05-01,99.78042
1974-06-01,99.26836
1974-07-01,98.69701
1974-08-01,98.10428
1974-09-01,97.54007
1974-10-01,97.06898
1974-11-01,96.75322
1974-12-01,96.58624
1975-01-01,96.52256
1975-02-01,96.53448
1975-03-01,96.59793
1975-04-01,96.72703
1975-05-01,96.94123
1975-06-01,97.26273
1975-07-01,97.6952
1975-08-01,98.23474
1975-09-01,98.8589
1975-10-01,99.5183
1975-11-01,100.1338
1975-12-01,100.6491
1976-01-01,101.0344
1976-02-01,101.2838
1976-03-01,101.4344
1976-04-01,101.5007
1976-05-01,101.4732
1976-06-01,101.3564
1976-07-01,101.1647
1976-08-01,100.9288
1976-09-01,100.692
1976-10-01,100.4627
1976-11-01,100.2579
1976-12-01,100.0717
1977-01-01,99.87053
1977-02-01,99.62551
1977-03-01,99.35271
1977-04-01,99.10011
1977-05-01,98.93001
1977-06-01,98.87522
1977-07-01,98.9116
1977-08-01,99.00899
1977-09-01,99.1412
1977-10-01,99.29152
1977-11-01,99.44043
1977-12-01,99.6069
1978-01-01,99.82391
1978-02-01,100.1238
1978-03-01,100.4674
1978-04-01,100.7952
1978-05-01,101.0776
1978-06-01,101.3021
1978-07-01,101.4904
1978-08-01,101.6405
1978-09-01,101.7469
1978-10-01,101.7875
1978-11-01,101.7594
1978-12-01,101.6565
1979-01-01,101.5003
1979-02-01,101.3391
1979-03-01,101.1984
1979-04-01,101.1076
1979-05-01,101.0807
1979-06-01,101.1052
1979-07-01,101.1453
1979-08-01,101.1772
1979-09-01,101.1806
1979-10-01,101.1509
1979-11-01,101.0904
1979-12-01,100.9927
1980-01-01,100.8557
1980-02-01,100.6759
1980-03-01,100.4595
1980-04-01,100.2219
1980-05-01,99.97954
1980-06-01,99.78791
1980-07-01,99.67514
1980-08-01,99.62571
1980-09-01,99.62061
1980-10-01,99.64184
1980-11-01,99.66637
1980-12-01,99.68608
1981-01-01,99.69659
1981-02-01,99.71786
1981-03-01,99.75394
1981-04-01,99.7958
1981-05-01,99.83617
1981-06-01,99.88158
1981-07-01,99.94845
1981-08-01,100.0463
1981-09-01,100.1613
1981-10-01,100.2913
1981-11-01,100.4445
1981-12-01,100.6253
1982-01-01,100.8045
1982-02-01,100.9191
1982-03-01,100.9411
1982-04-01,100.8687
1982-05-01,100.7386
1982-06-01,100.5793
1982-07-01,100.4214
1982-08-01,100.3035
1982-09-01,100.2342
1982-10-01,100.2025
1982-11-01,100.1883
1982-12-01,100.148
1983-01-01,100.0688
1983-02-01,99.94511
1983-03-01,99.78501
1983-04-01,99.61152
1983-05-01,99.4563
1983-06-01,99.34671
1983-07-01,99.29494
1983-08-01,99.2911
1983-09-01,99.31071
1983-10-01,99.32193
1983-11-01,99.30945
1983-12-01,99.25909
1984-01-01,99.1869
1984-02-01,99.12301
1984-03-01,99.07659
1984-04-01,99.03173
1984-05-01,98.97579
1984-06-01,98.91547
1984-07-01,98.85617
1984-08-01,98.80817
1984-09-01,98.74903
1984-10-01,98.70458
1984-11-01,98.70905
1984-12-01,98.77827
1985-01-01,98.89787
1985-02-01,99.05464
1985-03-01,99.17946
1985-04-01,99.25813
1985-05-01,99.28065
1985-06-01,99.24492
1985-07-01,99.18026
1985-08-01,99.14683
1985-09-01,99.18326
1985-10-01,99.2967
1985-11-01,99.46171
1985-12-01,99.65342
1986-01-01,99.86109
1986-02-01,100.0558
1986-03-01,100.2073
1986-04-01,100.2902
1986-05-01,100.3092
1986-06-01,100.2932
1986-07-01,100.2735
1986-08-01,100.2505
1986-09-01,100.2117
1986-10-01,100.1657
1986-11-01,100.1303
1986-12-01,100.1171
1987-01-01,100.1258
1987-02-01,100.1637
1987-03-01,100.2106
1987-04-01,100.2367
1987-05-01,100.2262
1987-06-01,100.2031
1987-07-01,100.1881
1987-08-01,100.1771
1987-09-01,100.1711
1987-10-01,100.1827
1987-11-01,100.2054
1987-12-01,100.2364
1988-01-01,100.2761
1988-02-01,100.3342
1988-03-01,100.4265
1988-04-01,100.5552
1988-05-01,100.7227
1988-06-01,100.9311
1988-07-01,101.1904
1988-08-01,101.4639
1988-09-01,101.7351
1988-10-01,101.9829
1988-11-01,102.1738
1988-12-01,102.2887
1989-01-01,102.3108
1989-02-01,102.258
1989-03-01,102.1659
1989-04-01,102.0692
1989-05-01,101.9883
1989-06-01,101.942
1989-07-01,101.9237
1989-08-01,101.9164
1989-09-01,101.9103
1989-10-01,101.9029
1989-11-01,101.8971
1989-12-01,101.8833
1990-01-01,101.8615
1990-02-01,101.8022
1990-03-01,101.7177
1990-04-01,101.5951
1990-05-01,101.4359
1990-06-01,101.2244
1990-07-01,100.9554
1990-08-01,100.6413
1990-09-01,100.3181
1990-10-01,100.0427
1990-11-01,99.84301
1990-12-01,99.72604
1991-01-01,99.67576
1991-02-01,99.67921
1991-03-01,99.71413
1991-04-01,99.74548
1991-05-01,99.76038
1991-06-01,99.75217
1991-07-01,99.71888
1991-08-01,99.66858
1991-09-01,99.60728
1991-10-01,99.53838
1991-11-01,99.49443
1991-12-01,99.48013
1992-01-01,99.49749
1992-02-01,99.53158
1992-03-01,99.55034
1992-04-01,99.54531
1992-05-01,99.51086
1992-06-01,99.42245
1992-07-01,99.27576
1992-08-01,99.07654
1992-09-01,98.83121
1992-10-01,98.54798
1992-11-01,98.24805
1992-12-01,97.95987
1993-01-01,97.72237
1993-02-01,97.57249
1993-03-01,97.49912
1993-04-01,97.48324
1993-05-01,97.51682
1993-06-01,97.60239
1993-07-01,97.74979
1993-08-01,97.96343
1993-09-01,98.2346
1993-10-01,98.54829
1993-11-01,98.89303
1993-12-01,99.26463
1994-01-01,99.64761
1994-02-01,100.022
1994-03-01,100.3722
1994-04-01,100.6693
1994-05-01,100.8939
1994-06-01,101.0599
1994-07-01,101.1922
1994-08-01,101.3024
1994-09-01,101.384
1994-10-01,101.4273
1994-11-01,101.4248
1994-12-01,101.3712
1995-01-01,101.2667
1995-02-01,101.1222
1995-03-01,100.95
1995-04-01,100.7502
1995-05-01,100.5056
1995-06-01,100.2083
1995-07-01,99.88011
1995-08-01,99.55375
1995-09-01,99.24983
1995-10-01,99.0048
1995-11-01,98.84232
1995-12-01,98.76678
1996-01-01,98.76955
1996-02-01,98.80032
1996-03-01,98.82539
1996-04-01,98.82938
1996-05-01,98.80972
1996-06-01,98.7678
1996-07-01,98.69816
1996-08-01,98.61606
1996-09-01,98.51357
1996-10-01,98.40977
1996-11-01,98.32944
1996-12-01,98.31436
1997-01-01,98.36884
1997-02-01,98.48852
1997-03-01,98.63736
1997-04-01,98.79582
1997-05-01,98.96432
1997-06-01,99.14016
1997-07-01,99.30228
1997-08-01,99.44608
1997-09-01,99.56836
1997-10-01,99.66636
1997-11-01,99.75603
1997-12-01,99.85616
1998-01-01,99.97267
1998-02-01,100.1186
1998-03-01,100.2846
1998-04-01,100.4396
1998-05-01,100.5663
1998-06-01,100.6378
1998-07-01,100.6394
1998-08-01,100.5705
1998-09-01,100.4391
1998-10-01,100.2603
1998-11-01,100.094
1998-12-01,99.96529
1999-01-01,99.88568
1999-02-01,99.8531
1999-03-01,99.88151
1999-04-01,99.99409
1999-05-01,100.1809
1999-06-01,100.4315
1999-07-01,100.7247
1999-08-01,101.0109
1999-09-01,101.2638
1999-10-01,101.4841
1999-11-01,101.6754
1999-12-01,101.8406
2000-01-01,101.9944
2000-02-01,102.1428
2000-03-01,102.2757
2000-04-01,102.3784
2000-05-01,102.447
2000-06-01,102.4848
2000-07-01,102.4871
2000-08-01,102.4588
2000-09-01,102.4089
2000-10-01,102.3322
2000-11-01,102.2218
2000-12-01,102.0749
2001-01-01,101.8917
2001-02-01,101.6686
2001-03-01,101.4073
2001-04-01,101.1183
2001-05-01,100.8021
2001-06-01,100.4595
2001-07-01,100.1024
2001-08-01,99.76431
2001-09-01,99.48381
2001-10-01,99.30267
2001-11-01,99.23282
2001-12-01,99.26069
2002-01-01,99.33879
2002-02-01,99.42332
2002-03-01,99.48695
2002-04-01,99.49975
2002-05-01,99.44543
2002-06-01,99.32203
2002-07-01,99.1618
2002-08-01,98.98672
2002-09-01,98.81241
2002-10-01,98.6613
2002-11-01,98.52446
2002-12-01,98.37572
2003-01-01,98.20181
2003-02-01,98.02094
2003-03-01,97.87469
2003-04-01,97.80147
2003-05-01,97.80384
2003-06-01,97.87203
2003-07-01,97.99287
2003-08-01,98.1442
2003-09-01,98.31763
2003-10-01,98.50843
2003-11-01,98.70752
2003-12-01,98.8906
2004-01-01,99.04788
2004-02-01,99.17866
2004-03-01,99.28964
2004-04-01,99.38377
2004-05-01,99.47097
2004-06-01,99.55123
2004-07-01,99.62809
2004-08-01,99.69991
2004-09-01,99.76768
2004-10-01,99.82455
2004-11-01,99.86348
2004-12-01,99.87386
2005-01-01,99.85359
2005-02-01,99.81282
2005-03-01,99.76369
2005-04-01,99.72179
2005-05-01,99.71066
2005-06-01,99.74112
2005-07-01,99.80403
2005-08-01,99.89658
2005-09-01,100.0097
2005-10-01,100.144
2005-11-01,100.3149
2005-12-01,100.5031
2006-01-01,100.6789
2006-02-01,100.8238
2006-03-01,100.9264
2006-04-01,100.9966
2006-05-01,101.04
2006-06-01,101.0846
2006-07-01,101.151
2006-08-01,101.2498
2006-09-01,101.3755
2006-10-01,101.5292
2006-11-01,101.6932
2006-12-01,101.8545
2007-01-01,102.0046
2007-02-01,102.1317
2007-03-01,102.2365
2007-04-01,102.3287
2007-05-01,102.4016
2007-06-01,102.4365
2007-07-01,102.4178
2007-08-01,102.3402
2007-09-01,102.2193
2007-10-01,102.0662
2007-11-01,101.8786
2007-12-01,101.6578
2008-01-01,101.393
2008-02-01,101.1061
2008-03-01,100.7963
2008-04-01,100.4564
2008-05-01,100.0685
2008-06-01,99.62912
2008-07-01,99.14207
2008-08-01,98.61227
2008-09-01,98.04388
2008-10-01,97.46957
2008-11-01,96.95962
2008-12-01,96.57092
2009-01-01,96.35175
2009-02-01,96.31477
2009-03-01,96.464
2009-04-01,96.77341
2009-05-01,97.17866
2009-06-01,97.62185
2009-07-01,98.08488
2009-08-01,98.55957
2009-09-01,99.02312
2009-10-01,99.42312
2009-11-01,99.71751
2009-12-01,99.88425
2010-01-01,99.9503
2010-02-01,99.95544
2010-03-01,99.94319
2010-04-01,99.93842
2010-05-01,99.96823
2010-06-01,100.0613
2010-07-01,100.2349
2010-08-01,100.4765
2010-09-01,100.76
2010-10-01,101.0524
2010-11-01,101.3229
2010-12-01,101.5397
2011-01-01,101.6884
2011-02-01,101.7495
