DATE,GDP
1980-01-01,107686.5
1980-04-01,110396.0
1980-07-01,113503.7
1980-10-01,115757.9
1981-01-01,119402.8
1981-04-01,123406.2
1981-07-01,128109.2
1981-10-01,133648.4
1982-01-01,139087.6
1982-04-01,143762.6
1982-07-01,146461.6
1982-10-01,149612.3
1983-01-01,154297.5
1983-04-01,158577.7
1983-07-01,163049.3
1983-10-01,166615.7
1984-01-01,170501.0
1984-04-01,173579.6
1984-07-01,176904.2
1984-10-01,178514.9
1985-01-01,181874.3
1985-04-01,186085.3
1985-07-01,189337.4
1985-10-01,192844.9
1986-01-01,196752.7
1986-04-01,200579.0
1986-07-01,204270.7
1986-10-01,206316.8
1987-01-01,206767.0
1987-04-01,210551.0
1987-07-01,213721.3
1987-10-01,218079.9
1988-01-01,222748.5
1988-04-01,226293.3
1988-07-01,231756.3
1988-10-01,236313.4
1989-01-01,241151.2
1989-04-01,244730.1
1989-07-01,249282.4
1989-10-01,254436.7
1990-01-01,257330.8
1990-04-01,260765.6
1990-07-01,262308.5
1990-10-01,264098.4
1991-01-01,266142.7
1991-04-01,269870.6
1991-07-01,272521.9
1991-10-01,275248.0
1992-01-01,279385.1
1992-04-01,279894.5
1992-07-01,280867.3
1992-10-01,281185.0
1993-01-01,282441.1
1993-04-01,283005.3
1993-07-01,283615.6
1993-10-01,285211.3
1994-01-01,287631.9
1994-04-01,291602.2
1994-07-01,294652.1
1994-10-01,298430.3
1995-01-01,300395.5
1995-04-01,303301.8
1995-07-01,304874.1
1995-10-01,306338.4
1996-01-01,309767.1
1996-04-01,311119.7
1996-07-01,312537.2
1996-10-01,314009.3
1997-01-01,316241.6
1997-04-01,320621.8
1997-07-01,324435.2
1997-10-01,328812.4
1998-01-01,333037.2
1998-04-01,336048.5
1998-07-01,337701.9
1998-10-01,340163.4
1999-01-01,342826.4
1999-04-01,345436.3
1999-07-01,350361.2
1999-10-01,355431.0
2000-01-01,361647.7
2000-04-01,366591.1
2000-07-01,371616.4
2000-10-01,375632.5
2001-01-01,379032.5
2001-04-01,381411.1
2001-07-01,385022.2
2001-10-01,385784.9
2002-01-01,390222.8
2002-04-01,393493.8
2002-07-01,397291.5
2002-10-01,399427.5
2003-01-01,401683.0
2003-04-01,402169.6
2003-07-01,409017.5
2003-10-01,411937.4
2004-01-01,418193.5
2004-04-01,420764.3
2004-07-01,424008.9
2004-10-01,429985.6
2005-01-01,433628.3
2005-04-01,437243.4
2005-07-01,442576.7
2005-10-01,447085.6
2006-01-01,452833.2
2006-04-01,460519.9
2006-07-01,464697.4
2006-10-01,470129.3
2007-01-01,477251.5
2007-04-01,482864.5
2007-07-01,487321.8
2007-10-01,491856.4
2008-01-01,499412.8
2008-04-01,499137.3
2008-07-01,498007.1
2008-10-01,492561.7
2009-01-01,482130.6
2009-04-01,482722.1
2009-07-01,483338.5
2009-10-01,488749.6
2010-01-01,492308.8
2010-04-01,496996.0
2010-07-01,501514.9
2010-10-01,503072.6
2011-01-01,512794.0
2011-04-01,513560.1
2011-07-01,515273.4
2011-10-01,519356.2
2012-01-01,520507.4
2012-04-01,520535.8
2012-07-01,523608.6
2012-10-01,523429.8
2013-01-01,526827.1
2013-04-01,532573.1
2013-07-01,530650.8
2013-10-01,533075.8
2014-01-01,535038.4
2014-04-01,537429.4
2014-07-01,541827.3
2014-10-01,542192.6
2015-01-01,546863.3
2015-04-01,548795.0
2015-07-01,552443.5
2015-10-01,554658.8
2016-01-01,557430.9
2016-04-01,555460.9
2016-07-01,557031.2
2016-10-01,560679.3
2017-01-01,565948.6
2017-04-01,571706.9
2017-07-01,575956.9
2017-10-01,580781.0
2018-01-01,582860.9
2018-04-01,585314.7
2018-07-01,591359.7
2018-10-01,597367.6
2019-01-01,604146.6
2019-04-01,609218.6
2019-07-01,611449.9
2019-10-01,610531.3
2020-01-01,587118.6
2020-04-01,533112.0
2020-07-01,596017.8
2020-10-01,601060.0
2021-01-01,607053.2
2021-04-01,617216.2
2021-07-01,637194.8
2021-10-01,643446.9
2022-01-01,648835.1
2022-04-01,655228.8
2022-07-01,668024.5
2022-10-01,680662.6
2023-01-01,691164.8
2023-04-01,706671.9
2023-07-01,711474.1
2023-10-01,720893.8
2024-01-01,724679.9
2024-04-01,725284.3
2024-07-01,735752.2
2024-10-01,735616.4
2025-01-01,739174.9
2025-04-01,741992.7
2025-07-01,748460.5
2025-10-01,753456.9
