DATE,CHNLOLITONOSTSAM
1992-05-01,100.3461
1992-06-01,100.5591
1992-07-01,100.7474
1992-08-01,100.9069
1992-09-01,101.0385
1992-10-01,101.1445
1992-11-01,101.2191
1992-12-01,101.2639
1993-01-01,101.2822
1993-02-01,101.2783
1993-03-01,101.2515
1993-04-01,101.197
1993-05-01,101.1144
1993-06-01,101.0017
1993-07-01,100.8615
1993-08-01,100.7155
1993-09-01,100.5972
1993-10-01,100.5253
1993-11-01,100.5096
1993-12-01,100.5448
1994-01-01,100.605
1994-02-01,100.6701
1994-03-01,100.7248
1994-04-01,100.7549
1994-05-01,100.7512
1994-06-01,100.7163
1994-07-01,100.6561
1994-08-01,100.5855
1994-09-01,100.5204
1994-10-01,100.4733
1994-11-01,100.4559
1994-12-01,100.4669
1995-01-01,100.5094
1995-02-01,100.5727
1995-03-01,100.6337
1995-04-01,100.6889
1995-05-01,100.7368
1995-06-01,100.7815
1995-07-01,100.8341
1995-08-01,100.8678
1995-09-01,100.8601
1995-10-01,100.8185
1995-11-01,100.7569
1995-12-01,100.7036
1996-01-01,100.6855
1996-02-01,100.7251
1996-03-01,100.8745
1996-04-01,101.1615
1996-05-01,101.607
1996-06-01,102.2001
1996-07-01,102.8496
1996-08-01,103.1962
1996-09-01,103.3644
1996-10-01,103.3413
1996-11-01,103.1373
1996-12-01,102.8089
1997-01-01,102.4014
1997-02-01,102.002
1997-03-01,101.635
1997-04-01,101.2033
1997-05-01,100.6801
1997-06-01,100.1224
1997-07-01,99.61035
1997-08-01,99.17976
1997-09-01,98.83924
1997-10-01,98.5859
1997-11-01,98.40738
1997-12-01,98.29273
1998-01-01,98.24006
1998-02-01,98.27431
1998-03-01,98.39971
1998-04-01,98.58329
1998-05-01,98.78394
1998-06-01,98.9652
1998-07-01,99.11824
1998-08-01,99.25378
1998-09-01,99.36233
1998-10-01,99.44189
1998-11-01,99.49756
1998-12-01,99.5424
1999-01-01,99.60261
1999-02-01,99.69808
1999-03-01,99.84587
1999-04-01,100.0237
1999-05-01,100.1959
1999-06-01,100.3082
1999-07-01,100.3088
1999-08-01,100.2248
1999-09-01,100.1074
1999-10-01,99.9969
1999-11-01,99.91948
1999-12-01,99.87613
2000-01-01,99.86394
2000-02-01,99.86106
2000-03-01,99.83807
2000-04-01,99.75485
2000-05-01,99.61666
2000-06-01,99.43787
2000-07-01,99.2095
2000-08-01,98.94456
2000-09-01,98.67005
2000-10-01,98.43449
2000-11-01,98.25731
2000-12-01,98.11723
2001-01-01,98.00862
2001-02-01,97.94599
2001-03-01,97.92204
2001-04-01,97.89948
2001-05-01,97.85593
2001-06-01,97.79573
2001-07-01,97.72766
2001-08-01,97.68254
2001-09-01,97.68475
2001-10-01,97.74876
2001-11-01,97.87288
2001-12-01,98.03894
2002-01-01,98.22864
2002-02-01,98.44627
2002-03-01,98.69563
2002-04-01,98.93476
2002-05-01,99.14775
2002-06-01,99.33698
2002-07-01,99.50192
2002-08-01,99.65634
2002-09-01,99.81992
2002-10-01,99.99863
2002-11-01,100.1902
2002-12-01,100.3692
2003-01-01,100.5231
2003-02-01,100.6572
2003-03-01,100.7788
2003-04-01,100.8643
2003-05-01,100.9068
2003-06-01,100.928
2003-07-01,100.9386
2003-08-01,100.9566
2003-09-01,100.9906
2003-10-01,101.0327
2003-11-01,101.0739
2003-12-01,101.0861
2004-01-01,101.0543
2004-02-01,100.99
2004-03-01,100.8775
2004-04-01,100.7235
2004-05-01,100.5668
2004-06-01,100.452
2004-07-01,100.3836
2004-08-01,100.3497
2004-09-01,100.329
2004-10-01,100.2991
2004-11-01,100.261
2004-12-01,100.2102
2005-01-01,100.158
2005-02-01,100.1216
2005-03-01,100.1176
2005-04-01,100.1389
2005-05-01,100.1723
2005-06-01,100.2148
2005-07-01,100.2477
2005-08-01,100.2588
2005-09-01,100.2451
2005-10-01,100.2253
2005-11-01,100.2168
2005-12-01,100.2285
2006-01-01,100.2645
2006-02-01,100.3278
2006-03-01,100.4173
2006-04-01,100.526
2006-05-01,100.6314
2006-06-01,100.7082
2006-07-01,100.7539
2006-08-01,100.8016
2006-09-01,100.8925
2006-10-01,101.0492
2006-11-01,101.2791
2006-12-01,101.5679
2007-01-01,101.903
2007-02-01,102.2853
2007-03-01,102.7228
2007-04-01,103.1518
2007-05-01,103.4715
2007-06-01,103.5988
2007-07-01,103.5128
2007-08-01,103.2841
2007-09-01,102.9295
2007-10-01,102.4855
2007-11-01,102.0235
2007-12-01,101.5752
2008-01-01,101.1185
2008-02-01,100.6292
2008-03-01,100.123
2008-04-01,99.55402
2008-05-01,98.90422
2008-06-01,98.19273
2008-07-01,97.46599
2008-08-01,96.77254
2008-09-01,96.17959
2008-10-01,95.74738
2008-11-01,95.52788
2008-12-01,95.53787
2009-01-01,95.7795
2009-02-01,96.20676
2009-03-01,96.75484
2009-04-01,97.3812
2009-05-01,98.06324
2009-06-01,98.77083
2009-07-01,99.43914
2009-08-01,99.98665
2009-09-01,100.3974
2009-10-01,100.694
2009-11-01,100.8912
2009-12-01,100.9629
2010-01-01,100.9221
2010-02-01,100.8001
2010-03-01,100.645
2010-04-01,100.4622
2010-05-01,100.2664
2010-06-01,100.0956
2010-07-01,99.99169
2010-08-01,99.96455
2010-09-01,100.0038
2010-10-01,100.09
2010-11-01,100.179
2010-12-01,100.2464
2011-01-01,100.3034
2011-02-01,100.3534
2011-03-01,100.3924
2011-04-01,100.3983
2011-05-01,100.3753
2011-06-01,100.3208
2011-07-01,100.2298
2011-08-01,100.0977
2011-09-01,99.94744
2011-10-01,99.80582
2011-11-01,99.6964
2011-12-01,99.628
2012-01-01,99.6077
2012-02-01,99.63006
2012-03-01,99.66783
2012-04-01,99.70899
2012-05-01,99.76261
2012-06-01,99.8224
2012-07-01,99.88584
2012-08-01,99.94905
2012-09-01,100.0162
2012-10-01,100.0997
2012-11-01,100.2053
2012-12-01,100.323
2013-01-01,100.4368
2013-02-01,100.5329
2013-03-01,100.6181
2013-04-01,100.6892
2013-05-01,100.7571
2013-06-01,100.8229
2013-07-01,100.8832
2013-08-01,100.9214
2013-09-01,100.9295
2013-10-01,100.9107
2013-11-01,100.869
2013-12-01,100.799
2014-01-01,100.7016
2014-02-01,100.5949
2014-03-01,100.4913
2014-04-01,100.3928
2014-05-01,100.3099
2014-06-01,100.245
2014-07-01,100.1996
2014-08-01,100.1693
2014-09-01,100.1471
2014-10-01,100.1425
2014-11-01,100.1615
2014-12-01,100.1874
2015-01-01,100.1998
2015-02-01,100.228
2015-03-01,100.3029
2015-04-01,100.3807
2015-05-01,100.4132
2015-06-01,100.371
2015-07-01,100.253
2015-08-01,100.1016
2015-09-01,99.96342
2015-10-01,99.8693
2015-11-01,99.81678
2015-12-01,99.78605
2016-01-01,99.77658
2016-02-01,99.79812
2016-03-01,99.86428
2016-04-01,99.9508
2016-05-01,100.0463
2016-06-01,100.149
2016-07-01,100.2544
2016-08-01,100.3432
2016-09-01,100.4159
2016-10-01,100.4806
2016-11-01,100.5425
2016-12-01,100.5878
2017-01-01,100.6197
2017-02-01,100.6599
2017-03-01,100.7107
2017-04-01,100.7616
2017-05-01,100.8091
2017-06-01,100.8357
2017-07-01,100.8184
2017-08-01,100.7432
2017-09-01,100.6111
2017-10-01,100.4431
2017-11-01,100.2648
2017-12-01,100.0794
2018-01-01,99.90152
2018-02-01,99.7477
2018-03-01,99.63286
2018-04-01,99.54038
2018-05-01,99.45487
2018-06-01,99.36187
2018-07-01,99.2606
2018-08-01,99.15465
2018-09-01,99.05407
2018-10-01,98.9631
2018-11-01,98.88708
2018-12-01,98.82571
2019-01-01,98.7847
2019-02-01,98.76415
2019-03-01,98.76199
2019-04-01,98.75894
2019-05-01,98.75402
2019-06-01,98.75076
2019-07-01,98.74412
2019-08-01,98.7249
2019-09-01,98.6955
2019-10-01,98.67544
2019-11-01,98.68955
2019-12-01,98.74545
2020-01-01,98.84306
2020-02-01,88.33437
2020-03-01,91.62889
2020-04-01,93.95593
2020-05-01,96.87975
2020-06-01,98.46479
2020-07-01,99.60324
2020-08-01,100.7135
2020-09-01,100.9564
2020-10-01,101.2246
2020-11-01,101.4423
2020-12-01,101.5775
2021-01-01,101.6222
2021-02-01,101.5759
2021-03-01,101.4585
2021-04-01,101.2768
2021-05-01,101.0449
2021-06-01,100.7738
2021-07-01,100.4738
2021-08-01,100.16
2021-09-01,99.85621
2021-10-01,99.59172
2021-11-01,99.38113
2021-12-01,99.19912
2022-01-01,99.02526
2022-02-01,98.85555
2022-03-01,98.69582
2022-04-01,98.54095
2022-05-01,98.40405
2022-06-01,98.29231
2022-07-01,98.21146
2022-08-01,98.1806
2022-09-01,98.21135
2022-10-01,98.31075
2022-11-01,98.48682
2022-12-01,98.72395
2023-01-01,98.99926
2023-02-01,99.30021
2023-03-01,99.59534
2023-04-01,99.86312
2023-05-01,100.1119
2023-06-01,100.3491
2023-07-01,100.5664
2023-08-01,100.7494
2023-09-01,100.8978
2023-10-01,101.0273
2023-11-01,101.1506
2023-12-01,101.2677
2024-01-01,101.3829
