Date,1,2,3,4,5,6
1989-07-01,0.6,-0.39,15.53,-99.99,-99.99,0.7
1989-08-01,1.63,8.78,-3.73,-99.99,-99.99,0.74
1989-09-01,14.41,3.32,-7.7,-99.99,-99.99,0.65
1989-10-01,-2.18,-0.49,-4.36,-99.99,-99.99,0.68
1989-11-01,0.72,0.43,2.22,-99.99,-99.99,0.69
1989-12-01,6.93,2.69,10.71,-99.99,-99.99,0.61
1990-01-01,1.02,8.24,12.96,-99.99,-99.99,0.57
1990-02-01,3.76,5.35,2.64,-99.99,-99.99,0.57
1990-03-01,-5.07,-1.87,2.88,-99.99,-99.99,0.64
1990-04-01,-1.12,1.76,-7.17,-99.99,-99.99,0.69
1990-05-01,8.13,-1.96,5.03,-99.99,-99.99,0.68
1990-06-01,3.65,5.64,-14.35,-99.99,-99.99,0.63
1990-07-01,7.13,1.16,-3.75,-99.99,-99.99,0.68
1990-08-01,-13.29,2.59,-1.65,-99.99,-99.99,0.66
1990-09-01,-11.63,7.75,1.11,-99.99,-99.99,0.6
1990-10-01,1.01,5.57,-10.21,-99.99,-99.99,0.68
1990-11-01,-4.3,1.71,-3.76,-99.99,-99.99,0.57
1990-12-01,0.14,-0.97,4.01,-99.99,-99.99,0.6
1991-01-01,2.02,0.47,-0.01,-99.99,-99.99,0.52
1991-02-01,12.31,-5.06,5.5,-99.99,-99.99,0.48
1991-03-01,2.36,4.55,5.55,-99.99,-99.99,0.44
1991-04-01,0.06,0.05,-3.26,-99.99,-99.99,0.53
1991-05-01,4.49,6.62,5.24,-99.99,-99.99,0.47
1991-06-01,-3.87,-1.55,-4.13,-99.99,-99.99,0.42
1991-07-01,0.99,-6.06,3.65,-1.46,-99.99,0.49
1991-08-01,0.09,-4.43,5.05,3.42,-99.99,0.46
1991-09-01,-3.5,-0.14,-1.32,-0.77,-99.99,0.46
1991-10-01,4.77,-4.22,0.95,-1.03,-99.99,0.42
1991-11-01,-0.49,2.99,2.44,5.59,-99.99,0.39
1991-12-01,8.52,-3.31,4.38,5.28,-99.99,0.38
1992-01-01,8.66,-5.72,2.71,-8.93,-99.99,0.34
1992-02-01,4.47,-4.35,3.64,-5.84,-99.99,0.28
1992-03-01,-2.65,3.73,-2.63,5.35,-99.99,0.34
1992-04-01,-0.96,3.84,1.61,0.62,-99.99,0.32
