DATE,DEULOLITONOSTSAM
1961-01-01,100.8466
1961-02-01,100.6923
1961-03-01,100.5191
1961-04-01,100.3382
1961-05-01,100.1657
1961-06-01,100.0246
1961-07-01,99.91451
1961-08-01,99.82996
1961-09-01,99.76566
1961-10-01,99.72577
1961-11-01,99.72247
1961-12-01,99.73952
1962-01-01,99.7612
1962-02-01,99.76884
1962-03-01,99.76752
1962-04-01,99.76188
1962-05-01,99.74014
1962-06-01,99.68548
1962-07-01,99.59759
1962-08-01,99.48317
1962-09-01,99.35069
1962-10-01,99.20352
1962-11-01,99.05945
1962-12-01,98.92874
1963-01-01,98.83437
1963-02-01,98.80105
1963-03-01,98.8531
1963-04-01,98.96011
1963-05-01,99.09486
1963-06-01,99.24375
1963-07-01,99.3921
1963-08-01,99.53616
1963-09-01,99.67786
1963-10-01,99.83472
1963-11-01,100.0363
1963-12-01,100.2904
1964-01-01,100.5912
1964-02-01,100.8794
1964-03-01,101.1184
1964-04-01,101.3022
1964-05-01,101.4294
1964-06-01,101.4896
1964-07-01,101.4799
1964-08-01,101.423
1964-09-01,101.3512
1964-10-01,101.2902
1964-11-01,101.2568
1964-12-01,101.2397
1965-01-01,101.2119
1965-02-01,101.1384
1965-03-01,101.0199
1965-04-01,100.8787
1965-05-01,100.7278
1965-06-01,100.5703
1965-07-01,100.4249
1965-08-01,100.2886
1965-09-01,100.154
1965-10-01,100.0135
1965-11-01,99.88911
1965-12-01,99.79562
1966-01-01,99.72008
1966-02-01,99.62046
1966-03-01,99.45846
1966-04-01,99.21587
1966-05-01,98.89565
1966-06-01,98.50827
1966-07-01,98.07306
1966-08-01,97.61302
1966-09-01,97.15875
1966-10-01,96.7476
1966-11-01,96.43748
1966-12-01,96.27245
1967-01-01,96.26035
1967-02-01,96.38698
1967-03-01,96.62324
1967-04-01,96.94395
1967-05-01,97.33158
1967-06-01,97.7708
1967-07-01,98.23871
1967-08-01,98.71239
1967-09-01,99.16124
1967-10-01,99.55453
1967-11-01,99.8747
1967-12-01,100.1189
1968-01-01,100.3063
1968-02-01,100.489
1968-03-01,100.6951
1968-04-01,100.9352
1968-05-01,101.1989
1968-06-01,101.4712
1968-07-01,101.7413
1968-08-01,101.9778
1968-09-01,102.1656
1968-10-01,102.3094
1968-11-01,102.4359
1968-12-01,102.5551
1969-01-01,102.6674
1969-02-01,102.8238
1969-03-01,102.9595
1969-04-01,103.0595
1969-05-01,103.0955
1969-06-01,103.0413
1969-07-01,102.8879
1969-08-01,102.6485
1969-09-01,102.3408
1969-10-01,101.9857
1969-11-01,101.6098
1969-12-01,101.2333
1970-01-01,100.9006
1970-02-01,100.6358
1970-03-01,100.4363
1970-04-01,100.2944
1970-05-01,100.2015
1970-06-01,100.1383
1970-07-01,100.0948
1970-08-01,100.0548
1970-09-01,100.0043
1970-10-01,99.94836
1970-11-01,99.89726
1970-12-01,99.84704
1971-01-01,99.77993
1971-02-01,99.68726
1971-03-01,99.55472
1971-04-01,99.3773
1971-05-01,99.1685
1971-06-01,98.93391
1971-07-01,98.68397
1971-08-01,98.44877
1971-09-01,98.29388
1971-10-01,98.26658
1971-11-01,98.38316
1971-12-01,98.63103
1972-01-01,98.97343
1972-02-01,99.36433
1972-03-01,99.77779
1972-04-01,100.1875
1972-05-01,100.5783
1972-06-01,100.9507
1972-07-01,101.2972
1972-08-01,101.6137
1972-09-01,101.8964
1972-10-01,102.1424
1972-11-01,102.3484
1972-12-01,102.4883
1973-01-01,102.514
1973-02-01,102.2394
1973-03-01,101.8465
1973-04-01,101.3775
1973-05-01,100.8644
1973-06-01,100.348
1973-07-01,99.87411
1973-08-01,99.47657
1973-09-01,99.16273
1973-10-01,98.93687
1973-11-01,98.81506
1973-12-01,98.80228
1974-01-01,98.88819
1974-02-01,99.0292
1974-03-01,99.17101
1974-04-01,99.26277
1974-05-01,99.26495
1974-06-01,99.15131
1974-07-01,98.92641
1974-08-01,98.60576
1974-09-01,98.23495
1974-10-01,97.88416
1974-11-01,97.60039
1974-12-01,97.41513
1975-01-01,97.36039
1975-02-01,97.43277
1975-03-01,97.61502
1975-04-01,97.89058
1975-05-01,98.23487
1975-06-01,98.64168
1975-07-01,99.08652
1975-08-01,99.5545
1975-09-01,100.029
1975-10-01,100.4748
1975-11-01,100.8614
1975-12-01,101.1708
1976-01-01,101.3973
1976-02-01,101.5375
1976-03-01,101.6085
1976-04-01,101.6389
1976-05-01,101.6413
1976-06-01,101.6109
1976-07-01,101.5435
1976-08-01,101.4335
1976-09-01,101.27
1976-10-01,101.0613
1976-11-01,100.8188
1976-12-01,100.5505
1977-01-01,100.2779
1977-02-01,100.0323
1977-03-01,99.81489
1977-04-01,99.63727
1977-05-01,99.51019
1977-06-01,99.43443
1977-07-01,99.4102
1977-08-01,99.43172
1977-09-01,99.47739
1977-10-01,99.5229
1977-11-01,99.5465
1977-12-01,99.54517
1978-01-01,99.53112
1978-02-01,99.53524
1978-03-01,99.59678
1978-04-01,99.73679
1978-05-01,99.9562
1978-06-01,100.2407
1978-07-01,100.5556
1978-08-01,100.8714
1978-09-01,101.1518
1978-10-01,101.3849
1978-11-01,101.5769
1978-12-01,101.7369
1979-01-01,101.8827
1979-02-01,102.0223
1979-03-01,102.1356
1979-04-01,102.1894
1979-05-01,102.1629
1979-06-01,102.0531
1979-07-01,101.8718
1979-08-01,101.6407
1979-09-01,101.3905
1979-10-01,101.1439
1979-11-01,100.9117
1979-12-01,100.7077
1980-01-01,100.5166
1980-02-01,100.3122
1980-03-01,100.0714
1980-04-01,99.79619
1980-05-01,99.51324
1980-06-01,99.2611
1980-07-01,99.07017
1980-08-01,98.93869
1980-09-01,98.84245
1980-10-01,98.75731
1980-11-01,98.68032
1980-12-01,98.61962
1981-01-01,98.56694
1981-02-01,98.51286
1981-03-01,98.45026
1981-04-01,98.38969
1981-05-01,98.33464
1981-06-01,98.30581
1981-07-01,98.31352
1981-08-01,98.3474
1981-09-01,98.40762
1981-10-01,98.47369
1981-11-01,98.52137
1981-12-01,98.54131
1982-01-01,98.52779
1982-02-01,98.47849
1982-03-01,98.37391
1982-04-01,98.20413
1982-05-01,97.99075
1982-06-01,97.76788
1982-07-01,97.57517
1982-08-01,97.47791
1982-09-01,97.52431
1982-10-01,97.74031
1982-11-01,98.10387
1982-12-01,98.55879
1983-01-01,99.03589
1983-02-01,99.47256
1983-03-01,99.83997
1983-04-01,100.1148
1983-05-01,100.3165
1983-06-01,100.4609
1983-07-01,100.5787
1983-08-01,100.6979
1983-09-01,100.8161
1983-10-01,100.9313
1983-11-01,101.0399
1983-12-01,101.1119
1984-01-01,101.1185
1984-02-01,101.0461
1984-03-01,100.9092
1984-04-01,100.7508
1984-05-01,100.6095
1984-06-01,100.5117
1984-07-01,100.4761
1984-08-01,100.4762
1984-09-01,100.4899
1984-10-01,100.5029
1984-11-01,100.509
1984-12-01,100.5116
1985-01-01,100.5074
1985-02-01,100.4945
1985-03-01,100.4782
1985-04-01,100.463
1985-05-01,100.4512
1985-06-01,100.4431
1985-07-01,100.4433
1985-08-01,100.4416
1985-09-01,100.432
1985-10-01,100.4014
1985-11-01,100.3435
1985-12-01,100.2694
1986-01-01,100.1932
1986-02-01,100.1191
1986-03-01,100.0533
1986-04-01,99.99671
1986-05-01,99.93279
1986-06-01,99.86643
1986-07-01,99.78445
1986-08-01,99.68069
1986-09-01,99.56395
1986-10-01,99.4367
1986-11-01,99.30871
1986-12-01,99.20016
1987-01-01,99.12703
1987-02-01,99.11718
1987-03-01,99.16349
1987-04-01,99.24569
1987-05-01,99.34438
1987-06-01,99.4445
1987-07-01,99.51772
1987-08-01,99.5628
1987-09-01,99.57507
1987-10-01,99.54978
1987-11-01,99.51146
1987-12-01,99.505
1988-01-01,99.5667
1988-02-01,99.6916
1988-03-01,99.85632
1988-04-01,100.0335
1988-05-01,100.1949
1988-06-01,100.3245
1988-07-01,100.4145
1988-08-01,100.4826
1988-09-01,100.5246
1988-10-01,100.5437
1988-11-01,100.5537
1988-12-01,100.5478
1989-01-01,100.5307
1989-02-01,100.5235
1989-03-01,100.5327
1989-04-01,100.5554
1989-05-01,100.5829
1989-06-01,100.6099
1989-07-01,100.6214
1989-08-01,100.622
1989-09-01,100.6246
1989-10-01,100.6397
1989-11-01,100.6793
1989-12-01,100.7439
1990-01-01,100.8253
1990-02-01,100.9234
1990-03-01,101.0407
1990-04-01,101.1662
1990-05-01,101.2824
1990-06-01,101.3713
1990-07-01,101.4209
1990-08-01,101.407
1990-09-01,101.3106
1990-10-01,101.1379
1990-11-01,100.9075
1990-12-01,100.6407
1991-01-01,100.3635
1991-02-01,100.1175
1991-03-01,99.93736
1991-04-01,99.83362
1991-05-01,99.78673
1991-06-01,99.77295
1991-07-01,99.77295
1991-08-01,99.78689
1991-09-01,99.80772
1991-10-01,99.82354
1991-11-01,99.81325
1991-12-01,99.76999
1992-01-01,99.69337
1992-02-01,99.5858
1992-03-01,99.4455
1992-04-01,99.27464
1992-05-01,99.0733
1992-06-01,98.83721
1992-07-01,98.55522
1992-08-01,98.2296
