DATE,GDP
1991-01-01,389815
1991-04-01,396773
1991-07-01,397785
1991-10-01,412480
1992-01-01,422287
1992-04-01,425828
1992-07-01,428598
1992-10-01,431623
1993-01-01,432411
1993-04-01,438363
1993-07-01,440966
1993-10-01,443780
1994-01-01,452583
1994-04-01,456359
1994-07-01,460378
1994-10-01,468003
1995-01-01,468223
1995-04-01,475016
1995-07-01,478202
1995-10-01,479068
1996-01-01,475524
1996-04-01,481295
1996-07-01,483811
1996-10-01,489117
1997-01-01,485613
1997-04-01,490378
1997-07-01,494679
1997-10-01,499194
1998-01-01,503130
1998-04-01,503379
1998-07-01,506275
1998-10-01,507898
1999-01-01,514317
1999-04-01,515316
1999-07-01,520592
1999-10-01,522614
2000-01-01,529375
2000-04-01,533170
2000-07-01,534089
2000-10-01,533250
2001-01-01,547492
2001-04-01,547604
2001-07-01,549871
2001-10-01,553495
2002-01-01,551668
2002-04-01,553587
2002-07-01,560474
2002-10-01,561316
2003-01-01,556128
2003-04-01,557305
2003-07-01,564823
2003-10-01,565996
2004-01-01,567211
2004-04-01,573608
2004-07-01,572463
2004-10-01,572679
2005-01-01,574315
2005-04-01,578003
2005-07-01,583076
2005-10-01,587093
2006-01-01,592100
2006-04-01,603871
2006-07-01,609667
2006-10-01,621330
2007-01-01,628202
2007-04-01,633349
2007-07-01,638905
2007-10-01,645098
2008-01-01,650492
2008-04-01,648823
2008-07-01,647137
2008-10-01,639522
2009-01-01,615571
2009-04-01,618581
2009-07-01,624956
2009-10-01,632913
2010-01-01,636727
2010-04-01,647996
2010-07-01,659036
2010-10-01,666054
2011-01-01,678714
2011-04-01,682474
2011-07-01,689503
2011-10-01,692457
2012-01-01,694811
2012-04-01,697672
2012-07-01,703673
2012-10-01,704449
2013-01-01,706273
2013-04-01,715570
2013-07-01,722709
2013-10-01,726679
2014-01-01,739433
2014-04-01,743248
2014-07-01,748844
2014-10-01,757610
2015-01-01,760053
2015-04-01,768647
2015-07-01,775003
2015-10-01,780655
2016-01-01,790265
2016-04-01,794808
2016-07-01,799143
2016-10-01,805769
2017-01-01,818689
2017-04-01,828333
2017-07-01,839457
2017-10-01,850792
2018-01-01,849366
2018-04-01,859286
2018-07-01,859359
2018-10-01,870795
2019-01-01,877381
2019-04-01,881579
2019-07-01,890615
2019-10-01,893910
2020-01-01,881557
2020-04-01,809941
2020-07-01,868891
2020-10-01,883442
2021-01-01,888814
2021-04-01,909204
2021-07-01,930352
2021-10-01,944825
2022-01-01,971767
2022-04-01,989273
2022-07-01,1001691
2022-10-01,1020051
2023-01-01,1038961
2023-04-01,1050287
2023-07-01,1060216
2023-10-01,1071317
2024-01-01,1074528
2024-04-01,1078214
2024-07-01,1083897
2024-10-01,1094780
2025-01-01,1107444
2025-04-01,1114388
2025-07-01,1121531
2025-10-01,1134235
