DATE,M2
1980-01-01,1080273000000
1980-02-01,1080016000000
1980-03-01,1090055000000
1980-04-01,1092061000000
1980-05-01,1097620000000
1980-06-01,1112044000000
1980-07-01,1117561000000
1980-08-01,1117515000000
1980-09-01,1124085000000
1980-10-01,1128916000000
1980-11-01,1154240000000
1980-12-01,1198035000000
1981-01-01,1185788000000
1981-02-01,1191439000000
1981-03-01,1195068000000
1981-04-01,1201981000000
1981-05-01,1216320000000
1981-06-01,1224320000000
1981-07-01,1224131000000
1981-08-01,1222519000000
1981-09-01,1235503000000
1981-10-01,1239115000000
1981-11-01,1256082000000
1981-12-01,1308299000000
1982-01-01,1304501000000
1982-02-01,1308889000000
1982-03-01,1313237000000
1982-04-01,1321306000000
1982-05-01,1333498000000
1982-06-01,1348117000000
1982-07-01,1354396000000
1982-08-01,1358537000000
1982-09-01,1370312000000
1982-10-01,1378429000000
1982-11-01,1391951000000
1982-12-01,1449908000000
1983-01-01,1442306000000
1983-02-01,1444592000000
1983-03-01,1441222000000
1983-04-01,1450437000000
1983-05-01,1460615000000
1983-06-01,1474462000000
1983-07-01,1487081000000
1983-08-01,1482811000000
1983-09-01,1487292000000
1983-10-01,1500376000000
1983-11-01,1516045000000
1983-12-01,1579251000000
1984-01-01,1560794000000
1984-02-01,1556309000000
1984-03-01,1555115000000
1984-04-01,1567986000000
1984-05-01,1576865000000
1984-06-01,1590888000000
1984-07-01,1601634000000
1984-08-01,1596946000000
1984-09-01,1623248000000
1984-10-01,1623302000000
1984-11-01,1634801000000
1984-12-01,1710855000000
1985-01-01,1693243000000
1985-02-01,1696299000000
1985-03-01,1700498000000
1985-04-01,1706597000000
1985-05-01,1703110000000
1985-06-01,1726676000000
1985-07-01,1729206000000
1985-08-01,1720281000000
1985-09-01,1737336000000
1985-10-01,1738990000000
1985-11-01,1750081000000
1985-12-01,1833589000000
1986-01-01,1805907000000
1986-02-01,1800065000000
1986-03-01,1815499000000
1986-04-01,1810348000000
1986-05-01,1814401000000
1986-06-01,1836445000000
1986-07-01,1844954000000
1986-08-01,1845874000000
1986-09-01,1861344000000
1986-10-01,1868051000000
1986-11-01,1893614000000
1986-12-01,1955310000000
1987-01-01,1935951000000
1987-02-01,1928710000000
1987-03-01,1934631000000
1987-04-01,1945622000000
1987-05-01,1958133000000
1987-06-01,1978993000000
1987-07-01,1979141000000
1987-08-01,1977508000000
1987-09-01,1989848000000
1987-10-01,1998287000000
1987-11-01,2019573000000
1987-12-01,2080922000000
1988-01-01,2062080000000
1988-02-01,2051778000000
1988-03-01,2048098000000
1988-04-01,2067842000000
1988-05-01,2081419000000
1988-06-01,2102394000000
1988-07-01,2121632000000
1988-08-01,2112574000000
1988-09-01,2119614000000
1988-10-01,2140644000000
1988-11-01,2159819000000
1988-12-01,2232947000000
1989-01-01,2206076000000
1989-02-01,2200475000000
1989-03-01,2206061000000
1989-04-01,2223905000000
1989-05-01,2231284000000
1989-06-01,2259786000000
1989-07-01,2281877000000
1989-08-01,2269840000000
1989-09-01,2286376000000
1989-10-01,2294257000000
1989-11-01,2316284000000
1989-12-01,2419118000000
1990-01-01,2379739000000
1990-02-01,2370043000000
1990-03-01,2359966000000
1990-04-01,2376184000000
1990-05-01,2375964000000
1990-06-01,2496900000000
1990-07-01,2504399000000
1990-08-01,2490324000000
1990-09-01,2528301000000
1990-10-01,2525949000000
1990-11-01,2542044000000
1990-12-01,2658683000000
1991-01-01,2600176000000
1991-02-01,2599248000000
1991-03-01,2600460000000
1991-04-01,2612112000000
1991-05-01,2613692000000
1991-06-01,2651888000000
1991-07-01,2645258000000
1991-08-01,2637304000000
1991-09-01,2657215000000
1991-10-01,2656288000000
1991-11-01,2689380000000
1991-12-01,2808376000000
1992-01-01,2735280000000
1992-02-01,2729984000000
1992-03-01,2742354000000
1992-04-01,2761474000000
1992-05-01,2774682000000
1992-06-01,2789467000000
1992-07-01,2781924000000
1992-08-01,2778097000000
1992-09-01,2814038000000
1992-10-01,2812531000000
1992-11-01,2847433000000
1992-12-01,2939888000000
1993-01-01,2882795000000
1993-02-01,2879792000000
1993-03-01,2902894000000
1993-04-01,2913546000000
1993-05-01,2933359000000
1993-06-01,2955816000000
1993-07-01,2953701000000
1993-08-01,2948714000000
1993-09-01,2966997000000
1993-10-01,2987300000000
1993-11-01,3020874000000
1993-12-01,3150266000000
1994-01-01,3105703000000
1994-02-01,3102600000000
1994-03-01,3126996000000
1994-04-01,3133737000000
1994-05-01,3129450000000
1994-06-01,3154660000000
1994-07-01,3149190000000
1994-08-01,3126004000000
1994-09-01,3135704000000
1994-10-01,3139823000000
1994-11-01,3148097000000
1994-12-01,3243755000000
1995-01-01,3176293000000
1995-02-01,3172637000000
1995-03-01,3176207000000
1995-04-01,3187017000000
1995-05-01,3192383000000
1995-06-01,3218329000000
1995-07-01,3212065000000
1995-08-01,3203359000000
1995-09-01,3233082000000
