DATE,EPU
1987-01-01,57.10735
1987-02-01,49.24059
1987-03-01,79.67975
1987-04-01,63.25882
1987-05-01,47.48835
1987-06-01,71.71052
1987-07-01,33.79103
1987-08-01,37.7887
1987-09-01,35.24237
1987-10-01,99.40361
1987-11-01,124.73959
1987-12-01,77.43884
1988-01-01,83.65722
1988-02-01,65.58227
1988-03-01,75.882
1988-04-01,65.33729
1988-05-01,72.29776
1988-06-01,65.37029
1988-07-01,44.8807
1988-08-01,69.29237
1988-09-01,72.89229
1988-10-01,51.69547
1988-11-01,82.80428
1988-12-01,61.84645
1989-01-01,48.0178
1989-02-01,47.93813
1989-03-01,47.94731
1989-04-01,41.01425
1989-05-01,44.27366
1989-06-01,81.83674
1989-07-01,71.61942
1989-08-01,57.913
1989-09-01,64.91487
1989-10-01,74.73102
1989-11-01,88.79294
1989-12-01,54.88849
1990-01-01,61.9367
1990-02-01,93.00526
1990-03-01,109.69106
1990-04-01,78.42129
1990-05-01,51.54217
1990-06-01,82.67878
1990-07-01,52.08985
1990-08-01,45.30054
1990-09-01,128.50286
1990-10-01,128.33419
1990-11-01,100.46349
1990-12-01,97.18814
1991-01-01,83.72122
1991-02-01,98.12363
1991-03-01,105.46522
1991-04-01,98.64008
1991-05-01,94.92087
1991-06-01,122.41663
1991-07-01,80.284
1991-08-01,79.84216
1991-09-01,62.66256
1991-10-01,105.20462
1991-11-01,80.81589
1991-12-01,84.47098
1992-01-01,52.97074
1992-02-01,60.1513
1992-03-01,56.16439
1992-04-01,70.48312
1992-05-01,91.90487
1992-06-01,113.02247
1992-07-01,102.32051
1992-08-01,74.15049
1992-09-01,179.83533
1992-10-01,135.07635
1992-11-01,113.55889
1992-12-01,98.88554
1993-01-01,182.15576
1993-02-01,120.84519
1993-03-01,152.96633
1993-04-01,81.60691
1993-05-01,143.73661
1993-06-01,105.10146
1993-07-01,111.65464
1993-08-01,118.42284
1993-09-01,164.53683
1993-10-01,108.80492
1993-11-01,111.52359
1993-12-01,60.99567
1994-01-01,107.00526
1994-02-01,64.06528
1994-03-01,107.48511
1994-04-01,81.08811
1994-05-01,72.14538
1994-06-01,103.82048
1994-07-01,104.21251
1994-08-01,87.25247
1994-09-01,59.39921
1994-10-01,101.16266
1994-11-01,121.02753
1994-12-01,124.67861
1995-01-01,128.99573
1995-02-01,132.60057
1995-03-01,114.96805
1995-04-01,89.53683
1995-05-01,72.16571
1995-06-01,82.42644
1995-07-01,64.45788
1995-08-01,82.95829
1995-09-01,104.31937
1995-10-01,98.60905
1995-11-01,87.03391
1995-12-01,83.24795
1996-01-01,77.21708
1996-02-01,127.78348
1996-03-01,132.01682
1996-04-01,79.61822
1996-05-01,119.47566
1996-06-01,108.2983
1996-07-01,104.59108
