DATE,NFCI
1971-01-08,0.59254
1971-01-15,0.62452
1971-01-22,0.66158
1971-01-29,0.70224
1971-02-05,0.74522
1971-02-12,0.78828
1971-02-19,0.83041
1971-02-26,0.87208
1971-03-05,0.91488
1971-03-12,0.96084
1971-03-19,1.01207
1971-03-26,1.07078
1971-04-02,1.13698
1971-04-09,1.2095
1971-04-16,1.28405
1971-04-23,1.35422
1971-04-30,1.4129
1971-05-07,1.45218
1971-05-14,1.46353
1971-05-21,1.4425
1971-05-28,1.38998
1971-06-04,1.31053
1971-06-11,1.21179
1971-06-18,1.10997
1971-06-25,1.02197
1971-07-02,0.96409
1971-07-09,0.95163
1971-07-16,0.99415
1971-07-23,1.09413
1971-07-30,1.2463
1971-08-06,1.43661
1971-08-13,1.6448
1971-08-20,1.8486
1971-08-27,2.02253
1971-09-03,2.15122
1971-09-10,2.22071
1971-09-17,2.23011
1971-09-24,2.18294
1971-10-01,2.08983
1971-10-08,1.96473
1971-10-15,1.82537
1971-10-22,1.68815
1971-10-29,1.5671
1971-11-05,1.47189
1971-11-12,1.40582
1971-11-19,1.36829
1971-11-26,1.35256
1971-12-03,1.35063
1971-12-10,1.35355
1971-12-17,1.35122
1971-12-24,1.33551
1971-12-31,1.30337
1972-01-07,1.24543
1972-01-14,1.17046
1972-01-21,1.07932
1972-01-28,0.97866
1972-02-04,0.87597
1972-02-11,0.77639
1972-02-18,0.68366
1972-02-25,0.60078
1972-03-03,0.52919
1972-03-10,0.46893
1972-03-17,0.41789
1972-03-24,0.37297
1972-03-31,0.33007
1972-04-07,0.28605
1972-04-14,0.2402
1972-04-21,0.19184
1972-04-28,0.14394
1972-05-05,0.0992
1972-05-12,0.06195
1972-05-19,0.03608
1972-05-26,0.02585
1972-06-02,0.03327
1972-06-09,0.05887
1972-06-16,0.09996
1972-06-23,0.15198
1972-06-30,0.20784
1972-07-07,0.25966
1972-07-14,0.30065
1972-07-21,0.32503
1972-07-28,0.32837
1972-08-04,0.31
1972-08-11,0.2714
1972-08-18,0.21692
1972-08-25,0.15203
1972-09-01,0.08368
1972-09-08,0.01902
1972-09-15,-0.03729
1972-09-22,-0.0824
1972-09-29,-0.11568
1972-10-06,-0.13894
1972-10-13,-0.15584
1972-10-20,-0.16894
1972-10-27,-0.18188
1972-11-03,-0.19693
1972-11-10,-0.21465
1972-11-17,-0.23464
1972-11-24,-0.25555
1972-12-01,-0.27302
1972-12-08,-0.28275
1972-12-15,-0.27984
1972-12-22,-0.25797
1972-12-29,-0.21227
1973-01-05,-0.13941
1973-01-12,-0.03749
1973-01-19,0.09155
1973-01-26,0.2433
1973-02-02,0.41125
1973-02-09,0.58549
1973-02-16,0.75474
1973-02-23,0.90947
1973-03-02,1.0406
1973-03-09,1.14284
1973-03-16,1.21355
1973-03-23,1.25568
1973-03-30,1.27291
1973-04-06,1.26968
1973-04-13,1.25305
1973-04-20,1.22807
1973-04-27,1.20007
1973-05-04,1.17218
1973-05-11,1.14783
1973-05-18,1.12917
1973-05-25,1.11854
1973-06-01,1.11873
1973-06-08,1.13297
1973-06-15,1.16329
1973-06-22,1.21206
1973-06-29,1.28116
1973-07-06,1.36974
1973-07-13,1.4765
1973-07-20,1.59683
1973-07-27,1.72657
1973-08-03,1.8586
1973-08-10,1.98749
1973-08-17,2.10775
1973-08-24,2.2143
1973-08-31,2.30195
1973-09-07,2.36603
1973-09-14,2.40416
1973-09-21,2.41702
1973-09-28,2.40621
1973-10-05,2.37403
1973-10-12,2.32871
1973-10-19,2.27583
1973-10-26,2.2244
1973-11-02,2.18002
1973-11-09,2.14655
1973-11-16,2.12421
1973-11-23,2.10657
