DATE,GBRLOLITONOSTSAM
1960-01-01,102.8513
1960-02-01,102.6137
1960-03-01,102.2333
1960-04-01,101.8194
1960-05-01,101.446
1960-06-01,101.1465
1960-07-01,100.9295
1960-08-01,100.7808
1960-09-01,100.6778
1960-10-01,100.5893
1960-11-01,100.5184
1960-12-01,100.4976
1961-01-01,100.5148
1961-02-01,100.5346
1961-03-01,100.4843
1961-04-01,100.3118
1961-05-01,100.0113
1961-06-01,99.59888
1961-07-01,99.09071
1961-08-01,98.55351
1961-09-01,98.10473
1961-10-01,97.81025
1961-11-01,97.68512
1961-12-01,97.67723
1962-01-01,97.7322
1962-02-01,97.83082
1962-03-01,97.9603
1962-04-01,98.11152
1962-05-01,98.23871
1962-06-01,98.33456
1962-07-01,98.44806
1962-08-01,98.60104
1962-09-01,98.76939
1962-10-01,98.93938
1962-11-01,99.09834
1962-12-01,99.23949
1963-01-01,99.37636
1963-02-01,99.55299
1963-03-01,99.77438
1963-04-01,100.0137
1963-05-01,100.2452
1963-06-01,100.4659
1963-07-01,100.709
1963-08-01,100.9648
1963-09-01,101.2029
1963-10-01,101.3839
1963-11-01,101.4737
1963-12-01,101.4843
1964-01-01,101.433
1964-02-01,101.349
1964-03-01,101.2757
1964-04-01,101.2545
1964-05-01,101.2867
1964-06-01,101.3694
1964-07-01,101.4564
1964-08-01,101.5043
1964-09-01,101.4573
1964-10-01,101.2761
1964-11-01,100.9799
1964-12-01,100.6154
1965-01-01,100.2616
1965-02-01,99.93857
1965-03-01,99.62969
1965-04-01,99.34524
1965-05-01,99.13796
1965-06-01,99.02319
1965-07-01,98.99324
1965-08-01,99.04749
1965-09-01,99.18454
1965-10-01,99.39368
1965-11-01,99.64491
1965-12-01,99.9224
1966-01-01,100.1879
1966-02-01,100.3919
1966-03-01,100.4842
1966-04-01,100.3931
1966-05-01,100.0502
1966-06-01,99.47427
1966-07-01,98.74692
1966-08-01,97.98667
1966-09-01,97.36615
1966-10-01,96.95871
1966-11-01,96.78846
1966-12-01,96.84586
1967-01-01,97.08331
1967-02-01,97.41798
1967-03-01,97.82809
1967-04-01,98.30446
1967-05-01,98.80226
1967-06-01,99.28125
1967-07-01,99.70324
1967-08-01,100.0683
1967-09-01,100.3751
1967-10-01,100.5915
1967-11-01,100.6943
1967-12-01,100.6772
1968-01-01,100.5766
1968-02-01,100.4233
1968-03-01,100.244
1968-04-01,100.106
1968-05-01,100.0954
1968-06-01,100.1912
1968-07-01,100.3869
1968-08-01,100.6251
1968-09-01,100.8162
1968-10-01,100.91
1968-11-01,100.8741
1968-12-01,100.7029
1969-01-01,100.4341
1969-02-01,100.1297
1969-03-01,99.81877
1969-04-01,99.50576
1969-05-01,99.17039
1969-06-01,98.84026
1969-07-01,98.54288
1969-08-01,98.29462
1969-09-01,98.07638
1969-10-01,97.91022
1969-11-01,97.82814
1969-12-01,97.85915
1970-01-01,97.97584
1970-02-01,98.11897
1970-03-01,98.23714
1970-04-01,98.29776
1970-05-01,98.2935
1970-06-01,98.24696
1970-07-01,98.16936
1970-08-01,98.08315
1970-09-01,98.01974
1970-10-01,97.98545
1970-11-01,97.98785
1970-12-01,98.03922
1971-01-01,98.14216
1971-02-01,98.31461
1971-03-01,98.58484
1971-04-01,98.96855
1971-05-01,99.4365
1971-06-01,99.96742
1971-07-01,100.5537
1971-08-01,101.1398
1971-09-01,101.7023
1971-10-01,102.2236
1971-11-01,102.697
1971-12-01,103.125
1972-01-01,103.4853
1972-02-01,103.8123
1972-03-01,104.1382
1972-04-01,104.4211
1972-05-01,104.5731
1972-06-01,104.5594
1972-07-01,104.4391
1972-08-01,104.2854
1972-09-01,104.1434
1972-10-01,104.047
1972-11-01,103.9609
1972-12-01,103.8489
1973-01-01,103.6878
1973-02-01,103.5124
1973-03-01,103.3376
1973-04-01,103.1572
1973-05-01,102.956
1973-06-01,102.7089
1973-07-01,102.3633
1973-08-01,101.8801
1973-09-01,101.2471
1973-10-01,100.5158
1973-11-01,99.7146
1973-12-01,98.90506
1974-01-01,98.19997
1974-02-01,97.69135
1974-03-01,97.32738
1974-04-01,97.05833
1974-05-01,96.85349
1974-06-01,96.65486
1974-07-01,96.4181
1974-08-01,96.17733
1974-09-01,95.9652
1974-10-01,95.78504
1974-11-01,95.68813
1974-12-01,95.72623
1975-01-01,95.92752
1975-02-01,96.25934
1975-03-01,96.66366
1975-04-01,97.09415
1975-05-01,97.52129
1975-06-01,97.90636
1975-07-01,98.22926
1975-08-01,98.51593
1975-09-01,98.81365
1975-10-01,99.09846
1975-11-01,99.42256
1975-12-01,99.77788
1976-01-01,100.1366
1976-02-01,100.4453
1976-03-01,100.6738
1976-04-01,100.7895
1976-05-01,100.7613
1976-06-01,100.6002
1976-07-01,100.3647
1976-08-01,100.0915
1976-09-01,99.83569
1976-10-01,99.67056
1976-11-01,99.61215
1976-12-01,99.63728
1977-01-01,99.75142
1977-02-01,99.96278
1977-03-01,100.2268
1977-04-01,100.538
1977-05-01,100.8737
1977-06-01,101.2059
1977-07-01,101.5326
1977-08-01,101.7983
1977-09-01,102.0026
1977-10-01,102.1229
1977-11-01,102.1484
1977-12-01,102.1155
1978-01-01,102.0561
1978-02-01,101.9815
1978-03-01,101.9217
1978-04-01,101.8904
1978-05-01,101.9028
1978-06-01,101.9702
1978-07-01,102.0412
1978-08-01,102.0768
1978-09-01,102.0481
1978-10-01,101.938
1978-11-01,101.8111
1978-12-01,101.743
1979-01-01,101.7574
1979-02-01,101.8475
