Date,1,2,3,4,5,6,7,8,9,10,11,12
1926-07-01,1.44,13.9,3.67,-1.14,8.02,3.15,0.83,7.04,0.12,1.85,-0.02,2.23
1926-08-01,3.99,3.7,2.41,3.43,5.1,1.98,2.17,-1.7,-0.72,4.17,4.26,4.35
1926-09-01,1.15,4.98,-0.07,-3.3,5.38,-0.35,2.42,2.05,0.21,0.69,-1.63,0.39
1926-10-01,-1.24,-8.39,-3.18,-0.78,-4.55,-5.38,-0.11,-3.27,-2.29,-0.57,-5.52,-2.75
1926-11-01,5.21,-0.17,4.03,0.01,5.09,4.79,1.63,4.4,6.45,5.43,2.54,2.11
1926-12-01,0.8,9.9,3.53,2.82,5.28,-1.8,1.99,-0.18,0.62,0.09,2.16,3.51
1927-01-01,-0.65,-0.92,-0.36,1.28,0.3,-0.77,1.88,-1.79,-2.54,5.07,-2.05,1.63
1927-02-01,3.36,8.96,4.61,1.47,9.56,4.6,3.97,4.54,3.62,1.71,2.71,5.15
1927-03-01,2.77,1.62,0.35,-6.04,6.03,0.57,5.62,0.37,-0.46,1.01,0.9,1.18
1927-04-01,3.51,3.14,0.17,-5.17,2.78,6.2,-2.07,1.71,4.48,2.74,2.46,0.8
1927-05-01,8.3,5.95,5.41,4.78,4.15,7.71,3.35,9.23,2.34,4.13,10.03,6.43
1927-06-01,-1.97,-3.02,-2.63,-3.15,-1.75,2.9,-2.16,-3.58,-0.61,0.54,-0.07,-2.24
1927-07-01,4.84,13.1,10.11,2.86,17.12,13.57,3.73,5.5,9.86,9.84,6.49,6.07
1927-08-01,2.73,7.02,3.21,-0.04,2.11,6.5,0.43,3.26,7.35,0.27,1.83,-1.16
1927-09-01,5.27,5.66,3.89,3.31,5.78,0.86,6.55,8.29,7.5,5.66,5.94,4.51
1927-10-01,-0.64,-4.41,-6.68,-2.07,-6.93,-7.16,-2.09,-4.35,-4.94,5.14,4.01,-4.27
1927-11-01,6.32,6.41,11.38,4.2,8.95,11.14,2.83,6.33,11.69,3.68,7.94,4.29
1927-12-01,2.5,7.78,3.73,-0.24,-0.04,2.14,1.33,2.24,-0.68,-0.47,11.17,1.37
1928-01-01,0.47,-3.34,-0.59,-1.88,-0.44,-0.44,0.29,5.88,-0.88,2.7,1.49,-1.12
1928-02-01,-3.97,1.28,-2.62,-0.18,0.99,-0.84,-0.3,-0.77,-1.12,-3.44,-2.89,-1.95
1928-03-01,4.4,27.5,6.45,5.62,12.69,22.47,1.97,6.65,8.47,9.94,9.57,5.74
1928-04-01,-0.48,1.46,2.03,15.25,0.06,2.31,3.13,10.96,0.02,2.35,9.35,3.96
1928-05-01,0.9,5.65,3.97,-5.35,2.69,1.69,6.57,1.5,3.81,9.3,1.69,-0.14
1928-06-01,-4.4,-4.13,-5.59,-4.08,-2.76,-5.32,-5.21,-3.44,-3.4,-3.12,-10.74,-3.94
1928-07-01,1.68,0.98,2.15,1.05,2.02,-0.03,-1.28,-1.23,5.45,2.4,0.33,-0.42
1928-08-01,6.11,9.1,8.18,2.41,8.92,11.18,4.55,6.48,13.56,14.72,5.16,4.71
1928-09-01,1.17,7.89,3.63,5.34,4.63,1.3,0.14,3.79,0.16,-1.14,2.63,0.93
1928-10-01,0.9,0.07,3.92,2.04,5.11,1.98,2.97,-1.91,5.89,0.05,1.5,-0.72
1928-11-01,6.59,4.53,12.75,17.28,12.89,21.69,6.68,22.01,15.31,5.05,10.18,9.98
1928-12-01,-0.31,-1.22,3.32,-4.36,1.94,8.28,-0.36,1.54,-1.32,-0.46,0.65,0.37
1929-01-01,3.22,1.31,7.08,-7.59,21.79,11.54,13.38,13.3,-3.88,3.41,8.52,5.29
1929-02-01,-2.54,0.0,4.83,-0.17,-0.58,-1.39,-1.15,-1.99,-2.41,0.04,0.92,-0.05
1929-03-01,-4.66,-1.88,-1.29,11.14,-3.57,5.64,4.32,-3.18,-5.13,-1.5,-1.15,-2.31
1929-04-01,1.78,-0.98,1.78,0.74,3.62,1.91,3.39,5.02,3.76,1.48,3.26,0.47
1929-05-01,-3.94,-15.16,-10.46,-5.59,-7.21,0.69,-8.77,4.68,-8.67,-7.89,-5.88,0.29
1929-06-01,5.33,7.01,10.7,1.14,19.59,18.22,13.8,23.48,9.51,4.53,6.33,5.75
1929-07-01,3.22,-2.97,4.12,0.17,4.82,9.42,13.68,9.17,1.04,2.6,8.39,6.27
1929-08-01,4.76,3.03,9.02,11.37,10.92,12.36,10.98,9.01,7.82,3.13,5.42,8.07
1929-09-01,-3.56,-8.37,-7.17,-3.04,-6.27,-8.34,-1.38,0.92,-5.48,-7.04,-5.2,-6.5
1929-10-01,-10.75,-28.99,-17.29,-10.17,-24.98,-29.61,-15.39,-29.72,-24.0,-18.04,-29.33,-9.35
1929-11-01,-8.45,-17.35,-13.43,-6.39,-15.95,-19.7,-9.47,-15.37,-12.33,-7.85,-14.17,-8.85
1929-12-01,0.66,4.92,0.09,-1.17,5.81,11.9,1.06,8.16,-6.05,1.09,0.05,-0.83
1930-01-01,5.77,5.96,6.44,-0.75,8.55,10.77,1.2,8.51,4.74,2.55,9.74,4.59
1930-02-01,2.19,2.44,2.62,-4.51,2.11,7.24,7.06,8.65,-5.14,2.29,6.17,2.92
1930-03-01,2.13,11.37,5.92,18.07,9.97,8.03,8.88,9.85,-2.45,6.37,8.83,4.22
1930-04-01,0.54,-7.83,-7.64,6.46,-4.95,1.59,-4.52,3.31,2.63,-1.27,-3.92,-6.72
1930-05-01,1.34,4.2,-1.6,-3.73,-2.43,-4.58,0.4,-1.28,-0.17,-1.52,-5.62,-0.36
1930-06-01,-11.06,-22.35,-15.46,-15.51,-17.87,-20.19,-8.32,-19.3,-16.29,-11.93,-21.71,-10.59
1930-07-01,3.13,12.11,4.3,5.19,5.71,4.14,1.27,4.08,2.69,6.52,4.36,3.28
1930-08-01,2.01,-1.89,-1.34,-3.15,3.87,1.74,1.74,1.19,4.99,7.77,1.28,-0.64
1930-09-01,-8.91,-16.81,-14.8,-15.52,-13.19,-19.18,-5.3,-11.94,-10.94,-8.75,-18.33,-9.39
1930-10-01,-4.98,-11.64,-9.26,-8.43,-10.72,-18.07,-4.12,-8.29,-8.63,-4.37,-15.49,-7.45
1930-11-01,0.18,5.33,-0.4,-3.74,-0.36,-3.49,-3.27,-8.76,2.78,-3.11,-8.42,-4.75
1930-12-01,-4.62,-1.27,-9.98,-12.52,-4.74,-10.61,-3.79,-3.68,-13.45,-6.92,-12.52,-8.43
1931-01-01,5.38,8.02,4.71,5.86,1.19,5.2,4.79,5.61,7.2,8.24,18.39,11.19
1931-02-01,6.81,17.42,13.53,5.97,11.69,23.61,5.95,15.31,14.8,7.83,17.31,3.96
1931-03-01,-1.71,-3.82,-7.29,-14.55,-6.31,-7.91,-3.61,-2.86,-3.35,1.79,-8.58,-9.5
1931-04-01,-5.32,-7.88,-14.95,-13.78,-10.73,-14.23,-4.25,-9.04,-4.83,-3.62,-15.77,-9.15
1931-05-01,-11.05,-16.33,-18.71,-12.16,-11.74,-12.38,-8.94,-11.17,-3.24,-10.36,-18.49,-17.24
1931-06-01,10.78,14.65,17.57,17.43,16.85,19.19,10.32,10.93,7.88,9.72,23.77,15.4
1931-07-01,-3.82,-2.11,-12.65,-3.64,-5.26,-10.65,-4.87,-5.41,-1.55,2.61,-8.84,-10.14
1931-08-01,-0.62,-2.9,-0.36,9.48,0.91,3.55,0.82,0.0,3.06,0.39,0.38,-5.0
1931-09-01,-24.97,-34.86,-28.97,-30.53,-31.79,-34.7,-21.7,-29.6,-30.4,-29.59,-40.25,-23.61
1931-10-01,6.95,12.97,5.56,15.03,7.62,11.68,4.34,10.48,14.13,11.27,12.02,0.25
1931-11-01,-4.41,-3.72,-9.59,-8.73,-5.66,-14.52,-6.86,-4.81,-9.62,-2.83,-11.18,-20.82
1931-12-01,-9.76,-8.79,-20.02,-18.96,-6.77,-13.77,-8.0,-13.25,-15.43,-4.1,-21.16,-14.97
1932-01-01,2.03,-6.9,1.81,-4.87,-4.35,-12.73,-4.04,-2.53,0.99,-2.66,3.75,7.99
1932-02-01,5.62,2.02,4.5,8.72,7.34,7.71,11.63,7.08,4.08,2.0,13.61,-3.37
1932-03-01,-6.2,-22.2,-14.64,-1.13,-12.87,-16.06,-10.13,-10.4,-8.65,-6.5,-15.41,-16.43
1932-04-01,-11.53,-29.52,-20.65,-14.26,-27.77,-22.52,-12.39,-15.65,-15.41,-19.77,-18.91,-23.06
1932-05-01,-21.12,-18.79,-21.31,-5.29,-12.91,-30.22,-10.81,-27.29,-29.37,-34.77,-30.44,-30.71
1932-06-01,1.07,-7.81,1.24,5.96,-8.02,7.94,-9.71,1.46,-0.42,10.87,6.11,-3.61
1932-07-01,24.77,44.98,46.7,33.93,30.35,49.48,16.7,29.42,27.15,29.21,52.05,57.0
1932-08-01,22.85,45.44,52.26,19.54,33.16,48.27,28.17,43.55,33.09,36.14,59.47,58.55
1932-09-01,-0.96,8.52,-5.62,-10.4,4.73,-6.1,0.31,-4.65,3.0,-11.93,-6.98,-3.41
1932-10-01,-11.42,-24.76,-15.94,-3.76,-14.7,-20.63,-8.13,-10.83,-12.68,-18.56,-17.17,-18.23
1932-11-01,-7.19,-2.93,-13.97,-4.56,-2.46,-8.85,-1.13,-3.62,-5.6,5.33,-3.39,-7.9
1932-12-01,3.78,4.33,-0.45,0.12,10.74,6.71,3.68,9.15,4.88,6.78,8.86,3.76
1933-01-01,4.63,0.91,4.72,-2.93,1.68,0.58,0.31,-4.4,-2.34,-1.14,1.51,10.66
1933-02-01,-9.06,-24.66,-17.42,-13.34,-17.26,-21.29,-7.77,-19.91,-18.13,-10.96,-20.15,-15.41
1933-03-01,10.33,9.15,13.71,3.79,6.33,8.02,-6.2,-13.05,8.5,-3.21,-6.92,6.43
1933-04-01,34.24,79.79,61.49,39.36,48.65,56.55,13.22,25.69,42.45,37.14,42.82,28.15
1933-05-01,12.68,26.03,25.78,17.48,26.02,19.81,17.37,19.3,17.28,23.66,26.23,32.93
1933-06-01,10.43,20.79,12.91,12.18,10.63,11.39,10.5,15.59,15.92,10.39,18.56,13.57
1933-07-01,-6.62,-7.06,-12.18,-12.05,-9.49,-11.48,-4.36,-13.49,-13.46,-19.11,-12.47,-5.2
1933-08-01,9.87,20.94,14.4,19.08,19.23,13.3,4.53,-1.24,7.12,-0.42,9.23,15.86
1933-09-01,-7.49,-15.41,-11.08,-2.69,-8.25,-18.41,-3.7,-19.76,-8.79,-1.34,-17.07,-16.29
1933-10-01,-9.12,-10.06,-10.01,-4.85,-4.67,-10.11,-7.18,-7.52,-7.84,-6.03,-12.9,-11.1
1933-11-01,5.21,25.48,12.05,14.71,14.43,13.33,5.63,-2.44,14.47,9.45,6.5,5.15
1933-12-01,-3.42,10.45,4.45,-1.21,5.04,0.95,-3.8,1.06,4.49,-11.78,3.51,4.96
1934-01-01,10.06,13.22,14.66,8.72,5.13,16.95,5.97,20.54,17.43,16.79,24.1,17.58
1934-02-01,-5.04,-2.07,-3.35,-3.39,-2.47,-7.4,2.12,-1.75,3.07,-3.6,-1.8,-1.92
1934-03-01,1.17,-0.3,-1.04,-1.33,-1.8,4.21,1.26,-1.81,2.4,-0.64,0.6,0.86
1934-04-01,3.08,-6.85,-2.24,-1.99,-2.77,-3.72,-1.25,-3.76,-1.24,8.0,-1.03,-1.73
1934-05-01,-2.99,-12.82,-11.35,-4.62,-6.76,-8.14,-4.3,-7.79,-7.97,-0.34,-8.34,-7.2
1934-06-01,3.86,-2.75,3.86,1.2,4.84,2.75,1.27,4.32,2.42,2.03,5.07,2.7
1934-07-01,-5.12,-13.84,-14.7,-9.74,-5.19,-13.9,-4.35,-17.26,-8.36,-1.9,-14.87,-18.11
1934-08-01,4.23,10.89,8.0,6.11,6.31,7.37,2.56,2.03,4.71,-3.07,5.66,4.26
1934-09-01,0.25,0.68,-1.91,-2.32,0.32,-0.57,1.79,1.61,2.56,0.82,-2.27,0.15
1934-10-01,0.61,-2.09,-1.11,-4.68,1.22,-2.26,-1.44,-7.6,1.62,-0.71,1.9,-3.22
1934-11-01,8.51,17.67,14.59,7.02,8.98,15.08,-1.73,-0.29,9.7,4.06,8.68,4.89
1934-12-01,-0.94,3.56,3.66,0.68,-0.17,4.16,-0.6,-8.64,-1.04,0.61,1.44,-0.55
1935-01-01,-1.4,-8.84,-3.17,-4.37,-0.85,1.25,-0.46,-3.17,-5.38,-0.86,-5.03,-7.18
1935-02-01,1.6,-3.5,-2.95,-3.38,0.92,-1.19,1.04,-12.19,-0.66,4.3,-1.79,-5.55
1935-03-01,-4.87,-5.82,-5.35,-3.82,-3.6,-4.96,-0.72,12.36,-4.36,-3.14,-1.72,-6.48
1935-04-01,5.99,5.72,9.97,15.49,8.27,9.15,9.13,11.15,6.92,3.18,6.3,9.5
1935-05-01,1.08,2.92,1.43,3.5,2.43,3.0,8.38,13.77,2.55,-4.08,5.76,3.37
1935-06-01,5.51,9.78,6.93,1.5,5.84,8.81,5.32,9.13,6.26,4.08,7.36,6.08
1935-07-01,3.14,19.09,13.42,0.14,5.1,11.57,5.74,9.23,7.51,3.2,8.06,8.15
1935-08-01,-1.57,8.98,2.34,-1.9,4.41,3.82,4.07,7.23,3.07,0.25,5.66,1.57
1935-09-01,1.69,11.1,3.21,-3.34,6.13,7.97,4.27,-2.04,-0.58,1.1,-1.82,1.28
1935-10-01,4.49,13.64,7.43,13.54,3.38,9.28,3.11,14.16,1.22,5.98,8.0,0.74
1935-11-01,1.09,3.42,5.87,2.79,1.63,7.5,9.72,0.83,2.9,1.74,12.7,13.4
1935-12-01,2.1,5.8,4.67,14.07,1.42,4.39,-0.14,5.63,-1.03,2.35,5.44,3.85
1936-01-01,3.24,3.89,5.87,14.11,4.76,7.34,4.17,12.54,-2.81,3.46,6.58,14.38
1936-02-01,0.6,3.74,7.14,1.22,2.36,0.13,6.57,-6.6,0.98,3.46,-0.83,4.0
1936-03-01,-2.09,10.18,2.47,1.66,2.67,-0.92,-3.43,0.65,1.15,3.51,-2.28,-3.32
1936-04-01,-4.46,-10.15,-9.99,-10.22,-6.78,-8.91,-5.63,-8.35,-5.25,-9.2,-7.61,-7.38
1936-05-01,4.97,4.05,6.45,-0.59,5.45,5.57,6.46,9.53,6.73,4.8,13.02,5.69
1936-06-01,2.32,6.87,0.02,1.73,4.04,0.6,2.43,3.62,5.29,1.28,3.73,1.16
1936-07-01,2.96,4.91,7.37,4.74,8.16,12.98,2.44,11.59,6.4,4.66,7.15,10.49
1936-08-01,0.84,-0.28,3.01,-0.68,-1.12,3.03,1.76,-1.02,2.5,-1.48,0.21,2.41
1936-09-01,-0.67,3.26,1.88,1.05,1.91,-0.92,0.31,-2.05,2.74,0.77,2.31,0.34
