DATE,GDP
1960-01-01,6427
1960-04-01,6486
1960-07-01,6580
1960-10-01,6713
1961-01-01,6883
1961-04-01,6883
1961-07-01,7121
1961-10-01,7037
1962-01-01,7134
1962-04-01,7309
1962-07-01,7383
1962-10-01,7416
1963-01-01,7367
1963-04-01,7752
1963-07-01,7871
1963-10-01,8117
1964-01-01,8144
1964-04-01,8435
1964-07-01,8620
1964-10-01,8857
1965-01-01,9021
1965-04-01,9065
1965-07-01,9286
1965-10-01,9467
1966-01-01,9609
1966-04-01,9775
1966-07-01,9959
1966-10-01,10064
1967-01-01,10161
1967-04-01,10417
1967-07-01,10487
1967-10-01,10622
1968-01-01,11102
1968-04-01,11235
1968-07-01,11591
1968-10-01,11883
1969-01-01,12091
1969-04-01,12271
1969-07-01,12545
1969-10-01,12869
1970-01-01,13223
1970-04-01,13806
1970-07-01,14256
1970-10-01,14771
1971-01-01,14990
1971-04-01,15501
1971-07-01,15997
1971-10-01,16398
1972-01-01,16603
1972-04-01,17392
1972-07-01,17763
1972-10-01,18837
1973-01-01,20050
1973-04-01,19879
1973-07-01,20563
1973-10-01,21317
1974-01-01,21136
1974-04-01,22654
1974-07-01,23899
1974-10-01,24997
1975-01-01,26815
1975-04-01,28130
1975-07-01,29260
1975-10-01,30890
1976-01-01,32448
1976-04-01,33320
1976-07-01,34548
1976-10-01,36679
1977-01-01,38036
1977-04-01,39241
1977-07-01,40335
1977-10-01,42163
1978-01-01,44136
1978-04-01,45901
1978-07-01,47202
1978-10-01,48902
1979-01-01,50455
1979-04-01,53962
1979-07-01,56764
1979-10-01,59785
1980-01-01,62083
1980-04-01,63691
1980-07-01,66013
1980-10-01,68169
1981-01-01,69957
1981-04-01,71408
1981-07-01,73442
1981-10-01,75743
1982-01-01,77593
1982-04-01,79106
1982-07-01,80536
1982-10-01,82778
1983-01-01,85858
1983-04-01,86421
1983-07-01,88777
1983-10-01,90844
1984-01-01,91822
1984-04-01,93603
1984-07-01,95037
1984-10-01,98146
1985-01-01,99621
1985-04-01,103408
1985-07-01,105374
1985-10-01,107052
1986-01-01,108967
1986-04-01,110308
1986-07-01,112237
1986-10-01,116049
1987-01-01,118411
1987-04-01,122020
1987-07-01,127443
1987-10-01,130166
1988-01-01,133648
1988-04-01,137021
1988-07-01,141211
1988-10-01,145397
1989-01-01,149089
1989-04-01,151744
1989-07-01,155873
1989-10-01,159889
1990-01-01,163591
1990-04-01,167263
1990-07-01,170618
1990-10-01,171505
1991-01-01,173745
1991-04-01,176366
1991-07-01,177818
1991-10-01,180143
1992-01-01,182024
1992-04-01,182472
1992-07-01,183139
1992-10-01,185586
1993-01-01,190217
1993-04-01,190433
1993-07-01,194181
1993-10-01,197559
1994-01-01,200471
1994-04-01,201365
1994-07-01,203978
1994-10-01,207713
1995-01-01,209386
1995-04-01,211504
1995-07-01,215396
1995-10-01,218635
1996-01-01,222304
1996-04-01,227104
1996-07-01,230833
1996-10-01,233368
1997-01-01,233344
1997-04-01,237250
1997-07-01,245353
1997-10-01,242592
1998-01-01,247175
1998-04-01,249234
1998-07-01,251492
1998-10-01,254903
1999-01-01,257115
1999-04-01,258836
1999-07-01,262328
1999-10-01,268448
2000-01-01,273551
2000-04-01,275103
2000-07-01,277076
2000-10-01,279029
2001-01-01,283724
2001-04-01,287603
2001-07-01,289333
2001-10-01,289882
2002-01-01,293878
2002-04-01,297001
2002-07-01,299863
2002-10-01,303904
2003-01-01,307576
2003-04-01,313623
2003-07-01,318875
2003-10-01,322428
2004-01-01,324300
2004-04-01,331067
2004-07-01,332518
2004-10-01,339258
2005-01-01,341839
2005-04-01,349602
2005-07-01,353424
2005-10-01,358384
2006-01-01,362595
2006-04-01,368522
2006-07-01,372582
2006-10-01,374381
2007-01-01,378672
2007-04-01,387949
2007-07-01,390894
2007-10-01,394214
2008-01-01,399716
2008-04-01,402687
2008-07-01,402137
2008-10-01,397677
2009-01-01,389775
2009-04-01,389151
2009-07-01,391179
2009-10-01,389300
2010-01-01,398126
2010-04-01,402937
2010-07-01,406177
2010-10-01,408599
2011-01-01,416521
2011-04-01,414040
2011-07-01,418119
2011-10-01,421265
2012-01-01,426653
2012-04-01,426698
2012-07-01,433287
2012-10-01,435070
2013-01-01,440038
2013-04-01,443626
2013-07-01,450725
2013-10-01,454683
2014-01-01,460682
2014-04-01,464667
2014-07-01,474115
2014-10-01,475602
2015-01-01,478016
2015-04-01,479382
2015-07-01,482690
2015-10-01,487928
2016-01-01,492644
2016-04-01,497056
2016-07-01,504373
2016-10-01,510682
2017-01-01,517306
2017-04-01,521616
2017-07-01,525161
2017-10-01,533139
2018-01-01,535163
2018-04-01,540719
2018-07-01,545160
2018-10-01,550517
2019-01-01,553984
2019-04-01,560995
2019-07-01,567451
2019-10-01,570531
2020-01-01,559365
2020-04-01,481227
2020-07-01,540319
2020-10-01,543809
2021-01-01,545116
2021-04-01,576525
2021-07-01,592707
2021-10-01,608304
2022-01-01,623014
2022-04-01,639293
2022-07-01,650233
2022-10-01,668409
2023-01-01,679194
2023-04-01,689618
2023-07-01,692982
2023-10-01,690370
2024-01-01,705573
2024-04-01,717865
2024-07-01,729877
2024-10-01,738129
2025-01-01,748000
2025-04-01,757927
2025-07-01,764673
2025-10-01,769261
