DATE,M2
1986-12-01,174191000000
1987-01-01,262968000000
1987-02-01,266218000000
1987-03-01,270734000000
1987-04-01,274944000000
1987-05-01,278344000000
1987-06-01,280374000000
1987-07-01,286049000000
1987-08-01,288866000000
1987-09-01,290025000000
1987-10-01,295567000000
1987-11-01,297022000000
1987-12-01,301011000000
1988-01-01,304806000000
1988-02-01,306884000000
1988-03-01,313346000000
1988-04-01,314804000000
1988-05-01,317938000000
1988-06-01,324277000000
1988-07-01,330771000000
1988-08-01,335437000000
1988-09-01,340578000000
1988-10-01,343193000000
1988-11-01,346102000000
1988-12-01,351650000000
1989-01-01,356073000000
1989-02-01,362287000000
1989-03-01,368012000000
1989-04-01,371210000000
1989-05-01,376903000000
1989-06-01,390486000000
1989-07-01,392326000000
1989-08-01,399861000000
1989-09-01,404682000000
1989-10-01,411907000000
1989-11-01,414610000000
1989-12-01,422174000000
1990-01-01,427998000000
1990-02-01,431577000000
1990-03-01,438776000000
1990-04-01,441979000000
1990-05-01,445056000000
1990-06-01,449679000000
1990-07-01,450157000000
1990-08-01,453851000000
1990-09-01,458698000000
1990-10-01,459954000000
1990-11-01,464510000000
1990-12-01,464516000000
1991-01-01,467233000000
1991-02-01,467610000000
1991-03-01,470771000000
1991-04-01,472921000000
1991-05-01,474285000000
1991-06-01,474809000000
1991-07-01,474786000000
1991-08-01,475380000000
1991-09-01,476594000000
1991-10-01,476768000000
1991-11-01,477577000000
1991-12-01,479061000000
1992-01-01,482847000000
1992-02-01,484774000000
1992-03-01,486438000000
1992-04-01,487072000000
1992-05-01,484684000000
1992-06-01,487266000000
1992-07-01,488505000000
1992-08-01,488499000000
1992-09-01,492538000000
1992-10-01,498617000000
1992-11-01,497922000000
1992-12-01,496567000000
1993-01-01,496713000000
1993-02-01,499925000000
1993-03-01,500283000000
1993-04-01,500602000000
1993-05-01,500975000000
1993-06-01,503989000000
1993-07-01,507599000000
1993-08-01,509412000000
1993-09-01,509911000000
1993-10-01,514199000000
1993-11-01,517689000000
1993-12-01,522243000000
1994-01-01,523474000000
1994-02-01,527892000000
1994-03-01,530373000000
1994-04-01,529673000000
1994-05-01,533834000000
1994-06-01,533684000000
1994-07-01,534132000000
1994-08-01,536389000000
1994-09-01,539568000000
1994-10-01,539707000000
1994-11-01,544362000000
1994-12-01,546327000000
1995-01-01,548914000000
1995-02-01,553236000000
1995-03-01,562081000000
1995-04-01,562340000000
1995-05-01,566786000000
1995-06-01,570590000000
1995-07-01,578032000000
1995-08-01,584455000000
1995-09-01,587990000000
1995-10-01,594035000000
1995-11-01,597470000000
1995-12-01,616963000000
1996-01-01,635650000000
1996-02-01,640399000000
1996-03-01,645361000000
1996-04-01,652289000000
1996-05-01,652669000000
1996-06-01,664275000000
1996-07-01,670855000000
1996-08-01,675854000000
1996-09-01,682605000000
1996-10-01,685806000000
1996-11-01,701685000000
1996-12-01,698391000000
1997-01-01,715304000000
1997-02-01,721483000000
1997-03-01,726346000000
1997-04-01,726381000000
1997-05-01,733373000000
1997-06-01,752940000000
1997-07-01,765379000000
1997-08-01,770144000000
1997-09-01,729318000000
1997-10-01,755877000000
1997-11-01,761428000000
1997-12-01,773564000000
1998-01-01,780986000000
1998-02-01,787123000000
1998-03-01,789368000000
1998-04-01,794200000000
1998-05-01,802712000000
1998-06-01,807697000000
1998-07-01,818211000000
1998-08-01,820036000000
1998-09-01,825473000000
1998-10-01,827868000000
1998-11-01,828719000000
1998-12-01,835054000000
1999-01-01,829584000000
1999-02-01,830031000000
1999-03-01,829630000000
1999-04-01,832706000000
1999-05-01,833982000000
1999-06-01,836533000000
1999-07-01,837385000000
1999-08-01,841524000000
1999-09-01,837500000000
1999-10-01,839312000000
1999-11-01,852870000000
1999-12-01,852950000000
2000-01-01,850119000000
2000-02-01,863968000000
2000-03-01,881540000000
2000-04-01,886139000000
2000-05-01,903250000000
2000-06-01,912916000000
