market,drawdown_threshold,freq,horizon,target,indicator,pseudo_r2,p_value,z_score,coef,odds_ratio,n_obs,n_crisis
FTSE100,0.03,D,5,Crisis_next_5D,HY_Spread,0.018804740048016133,3.9812172588112016e-06,4.612360502240828,0.3229478922653577,1.3811933781724388,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,Yield_Curve,0.00012728704187714435,0.7295030243729965,-0.3457866957339817,-0.04891228619229144,0.9522646527940297,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,Neely,0.005847181187459971,0.016839602039134417,2.390191233134809,0.47149259005713373,1.6023841117822786,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,PatroCorr,0.00500726793727202,0.032823245806372386,2.1342387059342682,1.1684115394254961,3.2168786929765956,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,SahmIndicator,0.0014150976048828978,0.23983202543616955,1.175406747096726,0.308134328425626,1.3608837820356214,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,VIX,0.03586761340362832,2.8830382840159643e-10,6.304940930994073,0.05406057188356332,1.0555485367818056,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,M2_Growth,0.006538664186870213,0.014001363819419915,2.457228398564392,0.045002797220580266,1.0460307858834665,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,BuffettDeviation,0.0026631970663283377,0.11666189941439764,-1.5689400896376169,-1.9774040239476371,0.1384281273779803,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,Systemic_Corr,0.01578116030701826,0.0001223279000093739,3.8414133883638524,2.513469477256482,12.347695880118554,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,Shiller_CAPE,0.021409380030442682,3.0237119873848107e-05,-4.171673119353313,-0.187996002287606,0.828618019802587,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,YC_10Y3M,0.00012728704187714435,0.7295030243729965,-0.3457866957339817,-0.04891228619229144,0.9522646527940297,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,CFNAI,0.01957204296488435,3.2218185337039348e-06,-4.656147053876246,-0.21043201659323812,0.8102341357578665,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,CISS,0.006849058318941226,0.006870797103629154,2.703042449396472,1.6143589572764814,5.024665865349537,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,Downside_Beta,0.0032583108192544286,0.09118189461092745,1.6891958992072458,0.7624259749504916,2.143469922393095,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,NFCI,0.018761395100867606,8.269515677193164e-06,4.458084883751255,2.108859182958544,8.238836915759206,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,EPU,6.747214850821859e-05,0.801227028233113,0.2517594161982371,0.00018078574632233858,1.0001808020890501,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,RSkew,0.004957783413704231,0.029608250128494495,-2.1752918867652142,-0.3010804968310664,0.7400182012289502,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,RSV_Ratio,0.00754802755785744,0.008213129282805931,2.6431802758594154,2.2089983878857464,9.106590552110292,2330,118
FTSE100,0.03,D,5,Crisis_next_5D,HillTail,0.00917681485755728,0.0024619881808781653,3.0279745531113154,2.531163175115974,12.568116558216724,2330,118
FTSE100,0.03,D,10,Crisis_next_10D,HY_Spread,0.002540260373179115,0.05907993808758606,1.8875980052599415,0.1310236952642177,1.139994793469797,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,Yield_Curve,2.295462435242257e-06,0.9555819598649576,0.05569854344578535,0.00647069327226573,1.0064916734356333,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,Neely,3.2535990623472344e-05,0.8353012686899683,0.20790740303756483,0.03567429016986134,1.0363182524730805,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,PatroCorr,0.001524908005854475,0.1624081748329247,1.397017945142233,0.6088597432141681,1.8383340303868383,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,SahmIndicator,0.0008693182298784574,0.281125380079696,1.0777947116939586,0.23392088203014477,1.2635445191758194,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,VIX,0.007601084761765242,0.0008388275931504115,3.339654227702212,0.027707633537855606,1.0280950599618823,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,M2_Growth,0.003701999756045793,0.02914925958059174,2.181462034867847,0.032249860083649835,1.032775522448114,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,BuffettDeviation,0.00040569930277445376,0.4649634723922277,0.73069827017314,0.7320286618052962,2.0792945172993917,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,Systemic_Corr,0.006992295447719066,0.002623176831784477,3.0087583332422128,1.5991570568221398,4.948859058705436,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,Shiller_CAPE,0.0008843061846339761,0.2915417434917028,-1.054745484134162,-0.032167161931874425,0.9683446981786938,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,YC_10Y3M,2.295462435242257e-06,0.9555819598649576,0.05569854344578535,0.00647069327226573,1.0064916734356333,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,CFNAI,0.013554641344564522,8.611898889873103e-06,-4.44937885533029,-0.17597865466671853,0.8386358841084725,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,CISS,3.867087874809272e-06,0.9443008293972912,-0.06986535377990562,-0.04220314597310626,0.9586750098219446,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,Downside_Beta,0.0012963769544762638,0.20401190367866373,1.2702041952106942,0.4457059694090049,1.5615922431340468,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,NFCI,0.0025477928333078603,0.06343745449587317,1.8561129905974512,0.8116976893272971,2.2517274773110794,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,EPU,0.0025288692798440815,0.0756899014727831,-1.7762610405339783,-0.0010972077667154977,0.9989033939456382,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,RSkew,7.405187624021092e-05,0.7558413769624728,-0.31094639029164867,-0.03591673255737605,0.964720619957657,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,RSV_Ratio,0.00019385987280584605,0.6160777054786163,0.5014169609761727,0.3362889787729835,1.39974346251945,2325,185
FTSE100,0.03,D,10,Crisis_next_10D,HillTail,0.000329431467801955,0.5108106884067962,0.6575758943746336,0.4920179823145056,1.6356135310577176,2325,185
FTSE100,0.03,D,15,Crisis_next_15D,HY_Spread,0.0013560421723218807,0.1351698644704711,1.4940220180189059,0.09559539962935762,1.1003137865544819,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,Yield_Curve,1.5933768507503387e-05,0.8749030559979154,0.1574336998034581,0.016207069604474544,1.0163391165572728,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,Neely,0.0003170882444882839,0.485543708285043,-0.6974140548247796,-0.10875844307450476,0.8969470551049881,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,PatroCorr,0.0003840827579995043,0.440210209569431,0.7718382913185002,0.29575436682166895,1.3441399509106842,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,SahmIndicator,0.00013277205748307708,0.6516289014575845,-0.4515004490740155,-0.0929112436595758,0.9112743780858004,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,VIX,0.002795080994507204,0.029990453694339034,2.1702164338666217,0.017362338004468868,1.0175139395095614,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,M2_Growth,0.004051210544461004,0.01227372967739815,2.504175036303333,0.03278942771066501,1.0333329250506773,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,BuffettDeviation,0.003418655946536564,0.020787477020911778,2.311822317532194,2.0482572169017113,7.754375129395026,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,Systemic_Corr,0.006743962706298956,0.001193908233849774,3.240331471231418,1.5255284136226044,4.597572347409737,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,Shiller_CAPE,0.000720945940848372,0.2947381248534535,-1.0477840237528389,-0.0280510468196752,0.9723387307345249,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,YC_10Y3M,1.5933768507503387e-05,0.8749030559979154,0.1574336998034581,0.016207069604474544,1.0163391165572728,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,CFNAI,0.016906553195789376,6.828183461810001e-08,-5.395634460871335,-0.19227495193134522,0.8250799799673865,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,CISS,6.701132374575813e-05,0.738964561334474,0.3332248501196449,0.17312933193309107,1.1890198733789503,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,Downside_Beta,0.0009926426115707265,0.22077967689295486,1.2244575335121035,0.37607798388798247,1.4565607176100155,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,NFCI,0.0013807627012449863,0.13641580161243275,1.4892718335741488,0.5903630521571244,1.8046434761869157,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,EPU,0.003591653089303426,0.02041660360372907,-2.318602423239757,-0.0012733601416264793,0.9987274502373941,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,RSkew,4.151948973518671e-08,0.9936539299904885,0.007953703118909135,0.0008157050635388929,1.0008160378413908,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,RSV_Ratio,5.024933052122371e-05,0.7786011138726462,0.28114248828700045,0.16655333197963604,1.1812265313398371,2320,243
FTSE100,0.03,D,15,Crisis_next_15D,HillTail,0.00019994124150390924,0.5797491180992304,-0.5537512173187772,-0.3863978403284045,0.6795001393400062,2320,243
FTSE100,0.03,W,4,Crisis_next_4W,HY_Spread,0.024068570110800325,0.12037464764001844,1.5532029883475473,0.36149756668023825,1.4354775290042336,112,17
FTSE100,0.03,W,4,Crisis_next_4W,Yield_Curve,0.013591265669696484,0.2768623767233549,1.0873947809209386,0.4911425609145101,1.634182306524203,112,17
FTSE100,0.03,W,4,Crisis_next_4W,Neely,0.02066709115051557,0.15208363358307356,1.4322103394257921,0.7847245778986736,2.1918031865540755,112,17
FTSE100,0.03,W,4,Crisis_next_4W,PatroCorr,0.004535983351612094,0.5138865187623629,0.6527979913155304,0.9823437827517502,2.670708472585106,112,17
FTSE100,0.03,W,4,Crisis_next_4W,SahmIndicator,1.937944762619992e-05,0.9656209894180976,0.043101041070253254,0.033342536877768954,1.0339046290569813,112,17
FTSE100,0.03,W,4,Crisis_next_4W,VIX,0.014269081182218146,0.2287490245275532,1.203587574210239,0.03958375748779648,1.0403776346528086,112,17
FTSE100,0.03,W,4,Crisis_next_4W,M2_Growth,0.07306090111434882,0.013161697053498475,2.479363841706764,0.14167332348834522,1.152200190311424,112,17
FTSE100,0.03,W,4,Crisis_next_4W,BuffettDeviation,0.004428939000336585,0.5143839853010802,0.6520266425870554,2.2478866772143586,9.467706359860463,112,17
FTSE100,0.03,W,4,Crisis_next_4W,Systemic_Corr,0.008089776332434573,0.38003467631538046,0.8778324045205297,1.6763597977588949,5.346059768839536,112,17
FTSE100,0.03,W,4,Crisis_next_4W,Shiller_CAPE,0.01571261046335304,0.24713185644327695,-1.1573439685172313,-0.13628075931970748,0.8725976081830483,112,17
FTSE100,0.03,W,4,Crisis_next_4W,YC_10Y3M,0.013591265669696484,0.2768623767233549,1.0873947809209386,0.4911425609145101,1.634182306524203,112,17
FTSE100,0.03,W,4,Crisis_next_4W,CFNAI,0.02826283719036793,0.0943278092940004,-1.672997392811493,-0.2414612211990174,0.7854792631424139,112,17
FTSE100,0.03,W,4,Crisis_next_4W,CISS,0.003238221593877877,0.5642602614905614,0.5765251706959055,1.1127086044063625,3.0425884118523947,112,17
FTSE100,0.03,W,4,Crisis_next_4W,Downside_Beta,0.03060467689098878,0.079740334002193,-1.7521947039985257,-1.728334078821273,0.1775799979678958,112,17
FTSE100,0.03,W,4,Crisis_next_4W,NFCI,0.0006159590178929086,0.8073914905414228,0.24379254996785607,0.3802008621640338,1.4625783365816478,112,17
FTSE100,0.03,W,4,Crisis_next_4W,EPU,0.009035589590628001,0.34699728520035633,0.9404295216649964,0.001840958504214667,1.0018426541086747,112,17
FTSE100,0.03,W,4,Crisis_next_4W,RSkew,8.622126034030231e-05,0.9278721698154356,0.09052230509174732,0.03692497229165302,1.0376151680294314,112,17
FTSE100,0.03,W,4,Crisis_next_4W,RSV_Ratio,0.004669521759894546,0.5069555448922307,0.6635856489596791,1.6152818551775303,5.02930525944438,112,17
FTSE100,0.03,W,4,Crisis_next_4W,HillTail,0.00047515160584044036,0.8328234235627477,-0.21108182333667572,-0.5583733878884493,0.5721389555117888,112,17
FTSE100,0.03,W,8,Crisis_next_8W,HY_Spread,0.006466181069496257,0.4157306866432099,0.8138503502588407,0.19566687753131318,1.2161217203802404,111,17
FTSE100,0.03,W,8,Crisis_next_8W,Yield_Curve,0.00017422991243398744,0.897937837920815,0.1282667998495078,0.05175479278158007,1.0531174788429443,111,17
FTSE100,0.03,W,8,Crisis_next_8W,Neely,0.006998149627143735,0.4069836072613132,0.8292134998987915,0.46430628058713025,1.5909101607258658,111,17
FTSE100,0.03,W,8,Crisis_next_8W,PatroCorr,5.116969100671387e-05,0.9444093609611364,0.06972899790190888,0.10360066444023275,1.1091574404584013,111,17
FTSE100,0.03,W,8,Crisis_next_8W,SahmIndicator,0.009260693570836809,0.37712916145414976,-0.8831982601923156,-0.8177965042894436,0.4414032137877429,111,17
