DATE,M2
1967-01-01,28250000000000
1967-02-01,27956800000000
1967-03-01,28620700000000
1967-04-01,28952600000000
1967-05-01,28816400000000
1967-06-01,29432400000000
1967-07-01,29828100000000
1967-08-01,30033800000000
1967-09-01,30663100000000
1967-10-01,30884400000000
1967-11-01,31365000000000
1967-12-01,32760900000000
1968-01-01,32696100000000
1968-02-01,32373000000000
1968-03-01,32990400000000
1968-04-01,33397800000000
1968-05-01,33608400000000
1968-06-01,34254400000000
1968-07-01,34604900000000
1968-08-01,34726900000000
1968-09-01,35231300000000
1968-10-01,35407200000000
1968-11-01,36182400000000
1968-12-01,37874200000000
1969-01-01,37894000000000
1969-02-01,37458300000000
1969-03-01,38159000000000
1969-04-01,38893400000000
1969-05-01,39210700000000
1969-06-01,40000100000000
1969-07-01,40612200000000
1969-08-01,41001400000000
1969-09-01,41626900000000
1969-10-01,41966800000000
1969-11-01,42888100000000
1969-12-01,44948800000000
1970-01-01,45038100000000
1970-02-01,44593100000000
1970-03-01,45300600000000
1970-04-01,46143800000000
1970-05-01,46684400000000
1970-06-01,47434900000000
1970-07-01,48154700000000
1970-08-01,48473200000000
1970-09-01,49039100000000
1970-10-01,49460900000000
1970-11-01,50349100000000
1970-12-01,52590000000000
1971-01-01,52692400000000
1971-02-01,52369100000000
1971-03-01,53344400000000
1971-04-01,54540900000000
1971-05-01,55458900000000
1971-06-01,56690000000000
1971-07-01,58149500000000
1971-08-01,58971500000000
1971-09-01,60115400000000
1971-10-01,60756800000000
1971-11-01,61848700000000
1971-12-01,65587300000000
1972-01-01,65915300000000
1972-02-01,65604100000000
1972-03-01,67245300000000
1972-04-01,68806000000000
1972-05-01,69619000000000
1972-06-01,71790100000000
1972-07-01,73888900000000
1972-08-01,74527500000000
1972-09-01,76292200000000
1972-10-01,77641000000000
1972-11-01,79454000000000
1972-12-01,82967200000000
1973-01-01,83126300000000
1973-02-01,83169400000000
1973-03-01,85313600000000
1973-04-01,87587300000000
1973-05-01,88037200000000
1973-06-01,89939300000000
1973-07-01,90724100000000
1973-08-01,90829500000000
1973-09-01,91978200000000
1973-10-01,91916300000000
1973-11-01,93209100000000
1973-12-01,96213500000000
1974-01-01,95975000000000
1974-02-01,95337700000000
1974-03-01,96200200000000
1974-04-01,97500000000000
1974-05-01,98296300000000
1974-06-01,100073400000000
1974-07-01,100792700000000
1974-08-01,101033900000000
1974-09-01,101696500000000
1974-10-01,101760000000000
1974-11-01,103617500000000
1974-12-01,107499900000000
1975-01-01,107387500000000
1975-02-01,106704800000000
1975-03-01,107993200000000
1975-04-01,109996300000000
1975-05-01,110638500000000
1975-06-01,112508300000000
1975-07-01,114005500000000
1975-08-01,114710100000000
1975-09-01,115709500000000
1975-10-01,116267300000000
1975-11-01,118009800000000
1975-12-01,123067800000000
1976-01-01,123463000000000
1976-02-01,123020300000000
1976-03-01,124916600000000
1976-04-01,126694900000000
1976-05-01,127792500000000
1976-06-01,130754900000000
1976-07-01,131710300000000
1976-08-01,132109400000000
1976-09-01,133117400000000
1976-10-01,133544700000000
1976-11-01,134890400000000
1976-12-01,140072100000000
1977-01-01,139600700000000
1977-02-01,138311100000000
1977-03-01,140154200000000
1977-04-01,141249300000000
1977-05-01,142075300000000
1977-06-01,145103000000000
1977-07-01,146452300000000
1977-08-01,146553300000000
1977-09-01,148144300000000
1977-10-01,147730600000000
