market,drawdown_threshold,freq,horizon,target,indicator,pseudo_r2,p_value,z_score,coef,odds_ratio,n_obs,n_crisis
Nikkei,0.03,D,5,Crisis_next_5D,HY_Spread,0.003138796984124892,0.0019883877896134366,3.091961286574353,0.07804443042852219,1.0811706944802109,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,Yield_Curve,0.0007113239889959821,0.15335254955956865,1.4277891749009792,0.16090316474756516,1.1745712234057566,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,Neely,0.00014746025104406257,0.5162688100378274,0.6491076306078252,0.06864468036664848,1.0710555744548467,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,PatroCorr,0.0006652620031589729,0.17126147783303058,1.3681616658272457,0.5062236082839984,1.6590142626098796,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,SahmIndicator,8.447862737237521e-06,0.8763645008915983,0.15557947957022059,0.027485724885955576,1.0278669420847026,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,VIX,0.008353445358067701,3.673652287001377e-07,5.085134712735004,0.031024105078529728,1.0315103682252733,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,M2_Growth,0.003177436795653521,0.0023287586840067165,-3.044747323895708,-0.23084887736196216,0.7938594271014529,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,BuffettDeviation,0.0008000255798760181,0.13109196419654962,-1.5098097980621272,-0.2392260199855126,0.7872369309834244,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,Systemic_Corr,0.00013390423870474066,0.538496702322915,0.6150878548436123,0.23084511798834986,1.2596641250260767,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,Shiller_CAPE,0.006230060293450301,2.6441511815742355e-05,-4.202130074918893,-0.04308149352093509,0.9578333296758615,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,YC_10Y3M,0.0007113239889959821,0.15335254955956865,1.4277891749009792,0.16090316474756516,1.1745712234057566,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,CFNAI,1.0814750226240122e-05,0.7598462538754267,-0.30568269044728513,-0.020977618510361725,0.9792408811938311,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,CISS,0.0022851141085581395,0.008526747375598092,2.6304676923342973,0.9851897648596741,2.6783200872355235,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,Downside_Beta,2.6680486332808506e-05,0.7832318787128273,-0.27510980515755695,-0.0669247227604171,0.9352656028997888,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,NFCI,0.0012127060713844617,0.05477489740716839,1.9206575279647564,0.3008177763481931,1.3509631416698458,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,EPU,0.0013658019366959984,0.05655617491405009,-1.9067252542473478,-0.000963967116959531,0.9990364973500862,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,RSkew,0.003088241308269568,0.0028802999073815954,-2.9802321681842967,-0.23132566797152898,0.7934810126007037,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,RSV_Ratio,0.0011532723785359078,0.07116766802523608,1.8044060965729067,0.7739949853866434,2.1684117462168784,4114,450
Nikkei,0.03,D,5,Crisis_next_5D,HillTail,0.005395677652264341,0.00010743173462290264,-3.8731634283913206,-1.8350429697091126,0.15960664336972935,4114,450
Nikkei,0.03,D,10,Crisis_next_10D,HY_Spread,0.00011629484766373377,0.5135842952553913,0.6532667948811457,0.015365364891727419,1.0154840190534007,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,Yield_Curve,0.0025669183593092226,0.002217749021023149,3.0594079860885013,0.29290005421031656,1.3403088255131925,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,Neely,2.4376522634983466e-05,0.7667382939496017,-0.29664402744415796,-0.027004085089203895,0.9733572652649592,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,PatroCorr,0.0006708813503117916,0.12082650482437322,1.5513137852854886,0.48829752466829124,1.6295396060863157,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,SahmIndicator,0.0003631942270770905,0.2611651841537278,-1.123641403191393,-0.18045241318572633,0.8348924096216848,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,VIX,0.0003011442252426333,0.2914022812814919,1.055050385962017,0.006206175213657232,1.0062254734210783,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,M2_Growth,0.0021887118267225336,0.0044746130931232,-2.842607551386108,-0.18562635130262628,0.8305838835950196,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,BuffettDeviation,0.00014688196037992984,0.466979979877028,-0.7274015914547003,-0.09889853843364835,0.9058346107596351,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,Systemic_Corr,4.676683281423788e-05,0.6809826511375401,0.4111225834655787,0.1305004882484663,1.139398496202993,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,Shiller_CAPE,0.0015867940917909662,0.016497439298578057,-2.397720697862025,-0.020889043397315826,0.9793276214070374,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,YC_10Y3M,0.0025669183593092226,0.002217749021023149,3.0594079860885013,0.29290005421031656,1.3403088255131925,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,CFNAI,0.0012216790679853151,0.03952518850832738,2.058677025611688,0.1293132752063399,1.138046590107186,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,CISS,6.222679027900746e-05,0.6257358497455765,0.487737410336361,0.16908007962466612,1.1842149666170865,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,Downside_Beta,0.00042912126512362203,0.21371947359780208,-1.243402706100975,-0.2580332336535317,0.7725695563713155,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,NFCI,2.44166584439931e-05,0.7652810822390077,0.29855306412788735,0.043634203413952195,1.044600173815073,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,EPU,0.0020484860842243657,0.008548360333120338,-2.629607090002729,-0.0011417353592441952,0.9988589161725885,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,RSkew,0.0036031462653438595,0.00028388741032044497,-3.6295757552636325,-0.24067812299830793,0.7860946114477042,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,RSV_Ratio,0.001370101555854819,0.02634766196964632,2.2210487162877244,0.8097375409005181,2.2473180801871195,4109,660
Nikkei,0.03,D,10,Crisis_next_10D,HillTail,0.0035517248606795615,0.00036598674074737967,-3.5634684215201693,-1.4215494461431106,0.24133978404751322,4109,660
Nikkei,0.03,D,15,Crisis_next_15D,HY_Spread,0.00027793249302598966,0.2920741452788823,1.0535824115006303,0.023296919003081177,1.0235704119385374,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,Yield_Curve,0.002230866938441989,0.0030030467434773826,2.967425883961148,0.2700800022549833,1.3100692550354884,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,Neely,0.0002755968511921614,0.3001341274479732,-1.0361458012157012,-0.08996974383467525,0.913958837742592,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,PatroCorr,0.0008321790713012867,0.0721688232363618,1.7980516497957872,0.5378445221043222,1.712312030818798,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,SahmIndicator,0.0002656202238193739,0.3157997585183203,-1.0031266485499297,-0.15056938418238805,0.8602180424112014,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,VIX,1.9820318432506312e-05,0.7796488098201813,0.27977672475397625,0.0015954481092355607,1.0015967215136972,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,M2_Growth,0.0020555719968129438,0.004175408571271182,-2.864596540919197,-0.17778474810863434,0.8371225963189638,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,BuffettDeviation,1.911464869219781e-05,0.7844677152632022,-0.2735015314673335,-0.03539929515754528,0.9652199316569442,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,Systemic_Corr,0.0002763167405123168,0.299831456955987,1.0367948912723426,0.313949345568952,1.368820397972771,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,Shiller_CAPE,0.0008638317778615345,0.06553512405127129,-1.8415901423319603,-0.015198622066867869,0.9849162940639263,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,YC_10Y3M,0.002230866938441989,0.0030030467434773826,2.967425883961148,0.2700800022549833,1.3100692550354884,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,CFNAI,0.0010900308263515068,0.04239910796912031,2.0295813918310373,0.11972093235100509,1.1271822475836968,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,CISS,0.0002687157512605287,0.2985692498494249,1.0395064715899307,0.3368880222805916,1.4005822209543042,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,Downside_Beta,0.0004853797500158352,0.1686033658287205,-1.3767053440991952,-0.2706217974663751,0.762904974444314,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,NFCI,6.121675784143132e-05,0.6218493290554772,0.4932310666827146,0.06784518335863926,1.0701996109433856,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,EPU,0.003360639208126459,0.0005101287108223207,-3.4753807661510216,-0.0014665124666103123,0.9985345623373284,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,RSkew,0.00048561489947951397,0.1664008608184261,-1.3838615214743086,-0.08764763378797112,0.9160836167725859,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,RSV_Ratio,2.0078055855909938e-05,0.7791499504588135,-0.2804269664318594,-0.0959244789883067,0.9085326267810292,4104,757
Nikkei,0.03,D,15,Crisis_next_15D,HillTail,0.004621507509242173,2.377242901524544e-05,-4.22614930629534,-1.5998006362648054,0.20193677285115155,4104,757
Nikkei,0.03,W,4,Crisis_next_4W,HY_Spread,0.0006325607315895709,0.7286308136970975,-0.34694742929982314,-0.035880186156100106,0.9647558776688205,206,38
Nikkei,0.03,W,4,Crisis_next_4W,Yield_Curve,0.00980050095847329,0.16399846750299252,1.391748838395555,0.5493861930490103,1.7321894615597235,206,38
Nikkei,0.03,W,4,Crisis_next_4W,Neely,0.0037203833657843965,0.38834675993590184,0.8626194008320068,0.31979071003244564,1.3768395754694123,206,38
Nikkei,0.03,W,4,Crisis_next_4W,PatroCorr,0.0019468282925765301,0.5392101518856618,0.6140078318035703,0.796006389737056,2.2166707092882625,206,38
Nikkei,0.03,W,4,Crisis_next_4W,SahmIndicator,0.0009729514478785672,0.6706500393108277,-0.42525603532154227,-0.2999816670684021,0.740831802175978,206,38
Nikkei,0.03,W,4,Crisis_next_4W,VIX,0.014665446129398574,0.08211509117081085,1.7385435056730627,0.040856760456464775,1.041702881813075,206,38
Nikkei,0.03,W,4,Crisis_next_4W,M2_Growth,0.0018757647091941498,0.5398449119106941,-0.6130475310708258,-0.17085569624125194,0.842943204568327,206,38
