k,mean_hill,std_hill
3,0.2359,0.1513
4,0.2461,0.1363
5,0.2503,0.1251
6,0.2577,0.12
7,0.2658,0.1165
8,0.2739,0.1144
9,0.2824,0.1151
10,0.2894,0.1101
11,0.2952,0.107
12,0.3019,0.105
13,0.3109,0.1038
14,0.318,0.1034
15,0.3238,0.1023
16,0.3311,0.1026
17,0.3397,0.1016
18,0.3488,0.1026
19,0.3569,0.1033
20,0.3663,0.1051
21,0.3758,0.1085
22,0.3843,0.1099
23,0.3931,0.1121
24,0.4005,0.115
25,0.4073,0.1173
26,0.4137,0.12
27,0.4203,0.1213
28,0.4272,0.1212
29,0.4339,0.1219
30,0.4409,0.1236
31,0.4477,0.1256
32,0.4552,0.1277
33,0.4631,0.1306
34,0.4711,0.1324
35,0.4789,0.1347
36,0.4883,0.1367
37,0.4976,0.1382
38,0.5057,0.1385
39,0.5148,0.1391
40,0.5238,0.1399
